OBJECTID,PRECINCTID,ELECTIONYE,COUNTYFIPS,MCDFIPS,WARD,PRECINCT,ShapeSTArea,ShapeSTLength
1372,WP-081-00240-00001,2018,81,240,0,1,2647618.219,8160.253635
1373,WP-081-00240-00002,2018,81,240,0,2,4054691.009,12217.11091
1374,WP-081-00240-00003,2018,81,240,0,3,12311225.36,25727.43259
1375,WP-081-00240-00004,2018,81,240,0,4,13843531.26,26119.53992
1376,WP-081-00240-00005,2018,81,240,0,5,41104073.85,29586.16816
1377,WP-081-00240-00006,2018,81,240,0,6,4140907.852,11406.09997
1378,WP-081-00240-00007,2018,81,240,0,7,2764433.577,11225.68155
1379,WP-081-00240-00008,2018,81,240,0,8,14536639.79,22908.40797
1380,WP-081-01160-00001,2018,81,1160,0,1,20342663.12,22101.95358
1381,WP-081-01160-00002,2018,81,1160,0,2,17846709.07,19923.71091
1382,WP-081-01160-00003,2018,81,1160,0,3,21639277.23,23532.66649
1383,WP-081-01160-00004,2018,81,1160,0,4,13532920.07,17318.55681
1384,WP-081-01160-00005,2018,81,1160,0,5,16998783.41,31260.83984
1385,WP-081-01840-00002,2018,81,1840,0,2,1643133.496,9198.089061
1386,WP-081-01840-00003,2018,81,1840,0,3,2923453.491,9947.83269
1387,WP-081-01840-00005,2018,81,1840,0,5,30395748.57,36880.87305
1388,WP-081-01840-00006,2018,81,1840,0,6,657123.7437,3941.117045
1389,WP-081-09780-00001,2018,81,9780,0,1,93238094.63,38683.71865
1390,WP-081-12240-00001,2018,81,12240,0,1,7922858.801,11386.97097
1391,WP-081-12240-00002,2018,81,12240,0,2,6420565.306,11307.31848
1392,WP-081-12240-00003,2018,81,12240,0,3,3328628.21,9594.56699
1393,WP-081-12240-00004,2018,81,12240,0,4,23296987.58,24815.50843
1394,WP-081-12240-00005,2018,81,12240,0,5,23826600.72,22777.75425
1395,WP-081-12240-00006,2018,81,12240,0,6,4341383.633,11887.50975
1396,WP-081-12240-00007,2018,81,12240,0,7,21936723.89,22240.96752
1397,WP-081-12240-00008,2018,81,12240,0,8,2622030.987,6499.885463
1398,WP-081-12500-00001,2018,81,12500,0,1,3639948.982,10819.66144
1399,WP-081-12500-00006,2018,81,12500,0,6,8931932.828,14450.56785
1400,WP-081-12500-00004,2018,81,12500,0,4,18998170.37,18223.60964
1401,WP-081-12500-00005,2018,81,12500,0,5,23751437.32,34199.56551
1402,WP-081-13080-00001,2018,81,13080,0,1,32816144.36,27803.94366
1403,WP-081-13080-00002,2018,81,13080,0,2,22505634.25,30913.52931
1404,WP-081-13080-00003,2018,81,13080,0,3,7554638.04,14726.93942
