TOTALS: 41 of 41 Precincts ,RegisteredVoters,BallotsCast,Turnout,Lynn Afendoulis (REP),Bill Saxton (DEM),WriteIn
Totals,77640,53433,68%,30783,20430,117
Cannon Township Precinct 1,2060,1524,73%,988,477,0
Cannon Township Precinct 2,1931,1341,69%,895,404,2
Cannon Township Precinct 3,1591,1175,73%,699,427,4
Cannon Township Precinct 4,2241,1608,71%,1052,483,5
Cannon Township Precinct 5,1562,1147,73%,772,322,3
Cannon Township Precinct 6,1862,1343,72%,870,409,0
Courtland Township Precinct 1,2011,1433,71%,891,477,5
Courtland Township Precinct 2,2201,1518,68%,1011,422,2
Courtland Township Precinct 3,2268,1427,62%,932,419,3
East Grand Rapids Ward 1 Precinct 1,1509,1137,75%,474,636,1
East Grand Rapids Ward 1 Precinct 2,1476,1134,76%,515,591,1
East Grand Rapids Ward 2 Precinct 3,1514,1116,73%,477,609,2
East Grand Rapids Ward 2 Precinct 4,1391,1052,75%,413,610,1
East Grand Rapids Ward 3 Precinct 5,1476,1091,73%,427,639,1
East Grand Rapids Ward 3 Precinct 6,1506,1125,74%,398,691,0
Grand Rapids Charter Township Precinct 1,1513,1075,71%,691,346,2
Grand Rapids Charter Township Precinct 2,1016,738,72%,423,289,2
Grand Rapids Charter Township Precinct 3,1812,1358,74%,759,560,2
Grand Rapids Charter Township Precinct 4,1733,1263,72%,675,556,3
Grand Rapids Charter Township Precinct 5,1863,1364,73%,694,626,5
Grand Rapids Charter Township Precinct 6,1720,1276,74%,712,517,2
Grand Rapids Charter Township Precinct 7,1043,669,64%,366,278,0
Grand Rapids Charter Township Precinct 8,1783,1300,72%,719,532,2
Grand Rapids Charter Township Precinct 9,1156,892,77%,556,299,3
Nelson Township Precinct 1,2306,1112,48%,693,354,4
Nelson Township Precinct 2,1580,968,61%,636,265,5
Oakfield Township Precinct 1,1557,983,63%,608,328,3
Oakfield Township Precinct 2,1812,1080,59%,704,336,2
Oakfield Township Precinct 3 ,1321,783,59%,466,268,1
Plainfield Charter Township Precinct 1,2614,1944,74%,1168,687,1
Plainfield Charter Township Precinct 2,2249,1437,63%,836,527,8
Plainfield Charter Township Precinct 3,2112,1215,57%,612,547,3
Plainfield Charter Township Precinct 4,2300,1467,63%,771,623,5
Plainfield Charter Township Precinct 5,2123,1393,65%,737,600,5
Plainfield Charter Township Precinct 6,3012,2043,67%,1266,690,4
Plainfield Charter Township Precinct 7,2717,1948,71%,1206,678,4
Plainfield Charter Township Precinct 8,2819,1909,67%,1004,821,5
Plainfield Charter Township Precinct 9,2445,1611,65%,925,609,3
Plainfield Charter Township Precinct 10,1777,1345,75%,788,492,4
Plainfield Charter Township Precinct 11,1706,1286,75%,789,462,0
Spencer Township Precinct 1,2952,1803,61%,1165,524,9
