TOTALS: 36 of 36 Precincts ,RegisteredVoters,BallotsCast,Turnout,Mark E. Huizenga (REP),Meagan L. Carr (DEM),WriteIn
Totals,67778,42733,63%,24445,15964,143
Algoma Township Precinct 1,1246,830,66%,545,239,2
Algoma Township Precinct 2,1512,1078,71%,695,313,2
Algoma Township Precinct 3,1597,1108,69%,746,317,2
Algoma Township Precinct 4,1731,1092,63%,615,407,1
Algoma Township Precinct 5,2098,1452,69%,836,500,4
Alpine Township Precinct 1,1052,688,65%,414,229,2
Alpine Township Precinct 2,1344,835,62%,377,412,8
Alpine Township Precinct 3,2208,1494,67%,760,635,8
Alpine Township Precinct 4,2164,1175,54%,664,454,0
Alpine Township Precinct 5,1013,694,68%,433,232,2
Alpine Township Precinct 6,1936,672,34%,171,453,4
Cedar Springs Precinct 1,2310,1087,47%,632,380,4
Grandville Precinct 1,1577,1029,65%,573,404,4
Grandville Precinct 2,2014,1232,61%,674,496,3
Grandville Precinct 3,2197,1391,63%,827,486,5
Grandville Precinct 4,1979,1483,74%,905,512,4
Grandville Precinct 5,2147,1489,69%,903,523,9
Grandville Precinct 6,1655,1182,71%,734,392,6
Rockford Precinct 1,1866,1204,64%,583,550,3
Rockford Precinct 2,2510,1730,68%,883,741,4
Solon Township Precinct 1,1814,1095,60%,683,360,3
Solon Township Precinct 2,2765,1630,58%,1061,487,6
Sparta Township Precinct 1,2898,1650,56%,903,647,8
Sparta Township Precinct 2,1516,912,60%,602,261,2
Sparta Township Precinct 3,1969,1135,57%,720,350,5
Tyrone Township Precinct 1,1760,1063,60%,697,310,5
Tyrone Township Precinct 2,1401,819,58%,536,247,2
Walker Ward 1 Precinct 1,2037,997,48%,385,567,7
Walker Ward 1 Precinct 2,1733,1176,67%,657,464,5
Walker Ward 1 Precinct 3,1996,1316,65%,635,612,8
Walker Ward 2 Precinct 4,2243,1567,69%,951,549,4
Walker Ward 2 Precinct 5,1904,1341,70%,792,478,1
Walker Ward 2 Precinct 6,1880,1193,63%,658,451,1
Walker Ward 3 Precinct 7,1966,1352,68%,719,550,6
Walker Ward 3 Precinct 8,1759,1268,72%,812,396,2
Walker Ward 3 Precinct 9,1981,1274,64%,664,560,1
