TOTALS: 38 of 38 Precincts ,RegisteredVoters,BallotsCast,Turnout,Daniel Allen Schutte (REP),David LaGrand (DEM),Jacob Straley (GRN),WriteIn
Totals,66150,31964,48%,5841,23709,952,90
Grand Rapids Ward 1 Precinct 1,2432,1089,44%,243,733,46,6
Grand Rapids Ward 1 Precinct 2,1324,516,38%,94,373,22,4
Grand Rapids Ward 1 Precinct 4,1786,1157,64%,199,889,30,1
Grand Rapids Ward 1 Precinct 5,1312,691,52%,161,450,28,2
Grand Rapids Ward 1 Precinct 8,1265,920,72%,288,564,28,5
Grand Rapids Ward 1 Precinct 9,2671,895,33%,185,640,29,2
Grand Rapids Ward 1 Precinct 10,1757,1061,60%,331,652,25,0
Grand Rapids Ward 1 Precinct 12,1895,732,38%,160,505,30,1
Grand Rapids Ward 1 Precinct 13,2150,940,43%,270,591,31,3
Grand Rapids Ward 1 Precinct 15,2003,573,28%,61,475,17,1
Grand Rapids Ward 1 Precinct 16,2074,678,32%,86,549,19,1
Grand Rapids Ward 1 Precinct 17,2352,1170,49%,351,707,42,6
Grand Rapids Ward 1 Precinct 18,1152,438,38%,35,370,12,3
Grand Rapids Ward 1 Precinct 22,747,238,31%,34,187,4,1
Grand Rapids Ward 1 Precinct 24,1782,479,26%,33,397,19,2
Grand Rapids Ward 2 Precinct 25,1324,797,60%,116,617,34,1
Grand Rapids Ward 2 Precinct 27,1297,757,58%,178,533,15,2
Grand Rapids Ward 2 Precinct 29,1926,806,41%,163,555,41,5
Grand Rapids Ward 2 Precinct 30,1694,1248,73%,305,881,24,2
Grand Rapids Ward 2 Precinct 32,1428,746,52%,165,523,25,1
Grand Rapids Ward 2 Precinct 34,2128,1248,58%,352,808,27,3
Grand Rapids Ward 2 Precinct 36,1025,560,54%,179,330,22,4
Grand Rapids Ward 2 Precinct 38,2774,1449,52%,329,974,49,4
Grand Rapids Ward 2 Precinct 39,1064,600,56%,69,490,15,1
Grand Rapids Ward 2 Precinct 48,1482,839,56%,142,624,33,1
Grand Rapids Ward 2 Precinct 49,2046,1136,55%,178,871,40,0
Grand Rapids Ward 2 Precinct 50,2306,1432,62%,180,1149,42,1
Grand Rapids Ward 3 Precinct 52,915,521,56%,44,439,20,1
Grand Rapids Ward 3 Precinct 60,2375,1329,55%,134,1115,29,5
Grand Rapids Ward 3 Precinct 62,1823,851,46%,120,680,20,0
Grand Rapids Ward 3 Precinct 63,1860,891,47%,95,753,14,1
Grand Rapids Ward 3 Precinct 66,2363,819,34%,40,721,19,7
Grand Rapids Ward 3 Precinct 67,2799,1032,36%,56,929,18,2
Grand Rapids Ward 3 Precinct 70,1791,660,36%,28,590,11,4
Grand Rapids Ward 3 Precinct 72,871,603,69%,140,430,9,0
Grand Rapids Ward 3 Precinct 74,1371,808,58%,187,556,29,3
Grand Rapids Ward 3 Precinct 75,1209,602,49%,73,488,17,1
Grand Rapids Ward 3 Precinct 76,1577,653,41%,37,571,17,3
