TOTALS: 38 of 38 Precincts ,RegisteredVoters,BallotsCast,Turnout,Tommy Brann (REP),Dana Knight (DEM),Patty Malowney (LIB),Brandon Hoezee (UST),WriteIn
Totals,68335,39088,57%,22514,13819,866,398,78
Byron Township Precinct 1,2421,1747,72%,1383,266,30,12,5
Byron Township Precinct 2,2599,1956,75%,1448,397,24,10,0
Byron Township Precinct 3,2685,1108,41%,546,461,30,17,3
Byron Township Precinct 4,2009,1514,75%,1213,227,23,3,1
Byron Township Precinct 5,2372,1731,72%,1390,241,29,11,0
Byron Township Precinct 6,1468,1077,73%,779,241,15,6,1
Byron Township Precinct 7,2234,1469,65%,1031,335,35,11,0
Byron Township Precinct 8,2169,1526,70%,979,436,29,11,1
Wyoming Ward 1 Precinct 1,1870,915,48%,424,428,20,14,2
Wyoming Ward 1 Precinct 2,1311,535,40%,248,246,14,7,3
Wyoming Ward 1 Precinct 3,2130,940,44%,385,483,21,13,0
Wyoming Ward 1 Precinct 4,2019,1071,53%,536,466,20,8,6
Wyoming Ward 1 Precinct 5,2086,1037,49%,488,482,23,16,1
Wyoming Ward 1 Precinct 6,1502,729,48%,338,338,21,13,3
Wyoming Ward 1 Precinct 7,1890,1143,60%,698,383,22,11,2
Wyoming Ward 1 Precinct 8,1230,576,46%,282,250,20,5,0
Wyoming Ward 1 Precinct 9,2268,1029,45%,435,503,26,20,3
Wyoming Ward 2 Precinct 10,1478,665,44%,252,363,10,17,1
Wyoming Ward 2 Precinct 11,1351,568,42%,186,334,16,10,4
Wyoming Ward 2 Precinct 12,1280,508,39%,196,264,22,4,3
Wyoming Ward 2 Precinct 13,1666,873,52%,415,404,14,15,0
Wyoming Ward 2 Precinct 14,1166,666,57%,386,234,22,7,2
Wyoming Ward 2 Precinct 15,968,530,54%,256,231,12,6,0
Wyoming Ward 2 Precinct 16,1352,771,57%,399,293,37,9,3
Wyoming Ward 2 Precinct 17,1923,793,41%,278,451,20,10,5
Wyoming Ward 2 Precinct 18,1211,667,55%,325,281,19,11,1
Wyoming Ward 2 Precinct 19,1853,1047,56%,500,466,27,19,4
Wyoming Ward 2 Precinct 20,1939,1002,51%,484,433,31,17,2
Wyoming Ward 3 Precinct 21,2306,1266,54%,695,480,21,12,3
Wyoming Ward 3 Precinct 22,1327,781,58%,415,308,12,8,0
Wyoming Ward 3 Precinct 23,2223,1060,47%,453,519,31,17,5
Wyoming Ward 3 Precinct 24,2330,1202,51%,606,493,39,11,2
Wyoming Ward 3 Precinct 25,1673,1175,70%,748,353,25,7,0
Wyoming Ward 3 Precinct 26,1254,791,63%,439,301,19,1,2
Wyoming Ward 3 Precinct 27,1233,767,62%,439,273,21,2,1
Wyoming Ward 3 Precinct 28,1984,1344,67%,838,411,24,14,3
Wyoming Ward 3 Precinct 29,1566,1104,70%,685,356,16,5,2
Wyoming Ward 3 Precinct 30,1989,1405,70%,916,388,26,8,4
