TOTALS: 33 of 33 Precincts ,RegisteredVoters,BallotsCast,Turnout,Thomas A. Albert (REP),Lauren Taylor (DEM),Sue Norman (NPA),WriteIn
Totals,52927,37465,70%,21689,12947,1077,45
Ada Township Precinct 1,1184,871,73%,442,367,20,1
Ada Township Precinct 2,2221,1588,71%,824,635,49,3
Ada Township Precinct 3,1308,942,72%,517,356,26,3
Ada Township Precinct 4,1038,785,75%,499,238,12,0
Ada Township Precinct 5,1910,1374,71%,839,439,34,2
Ada Township Precinct 6,892,612,68%,298,264,14,1
Ada Township Precinct 7,1078,793,73%,400,330,30,0
Ada Township Precinct 8,1120,816,72%,435,325,15,1
Bowne Township Precinct 1,2363,1677,70%,1189,364,44,2
Caledonia Township Precinct 1,1133,758,66%,413,271,37,0
Caledonia Township Precinct 2,2162,1486,68%,964,384,61,1
Caledonia Township Precinct 3,2063,1480,71%,977,397,47,3
Caledonia Township Precinct 4,1291,953,73%,635,251,20,0
Caledonia Township Precinct 5,2334,1566,67%,1009,446,41,2
Caledonia Township Precinct 6,1871,1284,68%,737,440,44,1
Cascade Charter Township Precinct 1,1348,1041,77%,623,337,21,0
Cascade Charter Township Precinct 2,1661,1245,74%,704,456,29,1
Cascade Charter Township Precinct 3,1105,849,76%,463,331,22,0
Cascade Charter Township Precinct 4,1619,1263,78%,678,508,26,1
Cascade Charter Township Precinct 5,2259,1714,75%,1011,585,49,0
Cascade Charter Township Precinct 6,1465,1097,74%,515,473,41,1
Cascade Charter Township Precinct 7,1187,792,66%,419,306,21,0
Cascade Charter Township Precinct 8,1292,1035,80%,516,455,24,2
Cascade Charter Township Precinct 9,1392,1098,78%,602,429,22,0
Cascade Charter Township Precinct 10,1318,974,73%,581,330,19,1
Grattan Township Precinct 1,1502,993,66%,678,252,26,0
Grattan Township Precinct 2,1598,1133,70%,634,428,27,1
Lowell Precinct 1,1606,965,60%,434,429,59,5
Lowell Precinct 2,1377,738,53%,372,292,33,1
Lowell Charter Township Precinct 1,2438,1661,68%,999,535,44,3
Lowell Charter Township Precinct 2,2269,1350,59%,703,516,57,4
Vergennes Township Precinct 1,1870,1365,72%,874,401,29,1
Vergennes Township Precinct 2,1653,1167,70%,705,377,34,4
