TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,Tom Leonard (REP),Dana Nessel (DEM),Lisa Lane Gioia (LIB),Gerald T. Van Sickle (UST),Chris Graveline (NPA),Write In
Totals,459016,283519,61%,135015,125055,6824,2149,4606,421
Ada Township Precinct 1,1184,871,73%,481,335,12,3,15,2
Ada Township Precinct 2,2221,1588,71%,840,641,22,3,24,2
Ada Township Precinct 3,1308,942,72%,539,348,17,2,3,2
Ada Township Precinct 4,1038,785,75%,515,226,15,1,8,0
Ada Township Precinct 5,1910,1374,71%,844,440,35,6,14,2
Ada Township Precinct 6,892,612,68%,308,258,16,1,5,1
Ada Township Precinct 7,1078,793,73%,411,326,18,4,16,1
Ada Township Precinct 8,1120,816,72%,456,308,15,3,7,0
Algoma Township Precinct 1,1246,830,66%,534,220,18,11,19,0
Algoma Township Precinct 2,1512,1078,71%,698,295,18,10,13,1
Algoma Township Precinct 3,1597,1108,69%,715,299,20,15,19,2
Algoma Township Precinct 4,1731,1092,63%,596,381,33,13,20,0
Algoma Township Precinct 5,2098,1452,69%,809,495,27,11,25,0
Alpine Township Precinct 1,1052,688,65%,413,208,19,3,13,2
Alpine Township Precinct 2,1344,835,62%,368,374,28,7,18,1
Alpine Township Precinct 3,2208,1494,67%,749,607,38,12,36,3
Alpine Township Precinct 4,2164,1175,54%,653,423,30,9,18,0
Alpine Township Precinct 5,1013,694,68%,430,218,13,7,9,0
Alpine Township Precinct 6,1936,672,34%,145,430,39,6,16,5
Bowne Township Precinct 1,2363,1677,70%,1217,351,32,13,12,1
Byron Township Precinct 1,2421,1747,72%,1293,325,41,16,21,5
Byron Township Precinct 2,2599,1956,75%,1363,453,24,13,32,0
Byron Township Precinct 3,2685,1108,41%,495,488,34,20,22,2
Byron Township Precinct 4,2009,1514,75%,1174,260,25,11,15,0
Byron Township Precinct 5,2372,1731,72%,1326,303,29,7,16,0
Byron Township Precinct 6,1468,1077,73%,722,274,17,5,22,0
Byron Township Precinct 7,2234,1469,65%,963,403,30,11,18,2
Byron Township Precinct 8,2169,1526,70%,915,504,25,13,24,0
Caledonia Township Precinct 1,1133,758,66%,429,260,16,9,17,0
Caledonia Township Precinct 2,2162,1486,68%,978,393,27,11,12,0
Caledonia Township Precinct 3,2063,1480,71%,981,375,41,20,24,2
Caledonia Township Precinct 4,1291,953,73%,659,227,22,6,10,1
Caledonia Township Precinct 5,2334,1566,67%,1033,429,26,8,25,0
Caledonia Township Precinct 6,1871,1284,68%,766,411,26,12,17,1
Cannon Township Precinct 1,2060,1524,73%,935,484,27,3,25,0
Cannon Township Precinct 2,1931,1341,69%,828,409,36,8,23,1
Cannon Township Precinct 3,1591,1175,73%,682,408,31,3,11,3
Cannon Township Precinct 4,2241,1608,71%,1003,518,22,4,17,1
Cannon Township Precinct 5,1562,1147,73%,731,334,23,9,16,2
Cannon Township Precinct 6,1862,1343,72%,837,415,25,5,17,2
Cascade Charter Township Precinct 1,1348,1041,77%,651,327,11,5,16,0
Cascade Charter Township Precinct 2,1661,1245,74%,714,460,20,1,20,2
Cascade Charter Township Precinct 3,1105,849,76%,459,340,11,2,12,0
Cascade Charter Township Precinct 4,1619,1263,78%,678,499,26,4,11,0
Cascade Charter Township Precinct 5,2259,1714,75%,1039,569,25,9,25,0
Cascade Charter Township Precinct 6,1465,1097,74%,550,454,21,5,28,1
Cascade Charter Township Precinct 7,1187,792,66%,440,304,15,4,4,1
Cascade Charter Township Precinct 8,1292,1035,80%,516,458,15,3,16,2
Cascade Charter Township Precinct 9,1392,1098,78%,625,408,17,2,17,1
Cascade Charter Township Precinct 10,1318,974,73%,587,320,25,8,5,0
Cedar Springs Precinct 1,2310,1087,47%,606,349,40,17,29,3
Courtland Township Precinct 1,2011,1433,71%,855,482,27,6,17,2
Courtland Township Precinct 2,2201,1518,68%,959,410,33,15,35,0
Courtland Township Precinct 3,2268,1427,62%,920,402,28,12,20,1
East Grand Rapids Ward 1 Precinct 1,1509,1137,75%,451,639,10,1,13,2
East Grand Rapids Ward 1 Precinct 2,1476,1134,76%,507,568,13,2,17,1
East Grand Rapids Ward 2 Precinct 3,1514,1116,73%,441,604,12,2,19,0
East Grand Rapids Ward 2 Precinct 4,1391,1052,75%,388,594,22,3,14,2
East Grand Rapids Ward 3 Precinct 5,1476,1091,73%,385,638,19,1,18,0
East Grand Rapids Ward 3 Precinct 6,1506,1125,74%,377,685,11,3,15,0
Gaines Charter Township Precinct 1,2081,1502,72%,1079,327,28,8,14,0
Gaines Charter Township Precinct 2,1630,1069,65%,628,382,20,3,15,0
Gaines Charter Township Precinct 3,2172,1272,58%,807,374,30,9,19,3
Gaines Charter Township Precinct 4,2879,1178,40%,531,522,36,19,33,4
Gaines Charter Township Precinct 5,1905,937,49%,377,486,21,10,17,1
Gaines Charter Township Precinct 6,1965,1385,70%,951,363,25,10,14,0
Gaines Charter Township Precinct 7,2566,1811,70%,1194,496,41,10,22,3
Gaines Charter Township Precinct 8,2266,1430,63%,876,446,29,14,17,5
Gaines Charter Township Precinct 9,1764,1133,64%,551,521,18,5,12,1
Grand Rapids Ward 1 Precinct 1,2432,1089,44%,274,670,46,11,36,5
Grand Rapids Ward 1 Precinct 2,1324,516,38%,100,346,31,8,12,0
Grand Rapids Ward 1 Precinct 3,1992,1336,67%,431,825,29,6,15,3
