TOTALS: 11 of 11 Precincts ,RegisteredVoters,BallotsCast,Turnout,YvonneBoucher,BruceDennett,ChuckFedewa,DonPayment,JasonPierson,WriteIn
Totals,24660,13610,55%,6123,5135,5207,2493,5120,151
Byron Township Precinct 1,2421,1747,72%,809,677,705,227,649,34
Byron Township Precinct 2,2599,1956,75%,922,853,798,401,700,8
Byron Township Precinct 3,2685,197,7%,79,48,60,49,84,7
Byron Township Precinct 4,2009,1483,73%,601,566,513,333,571,5
Byron Township Precinct 5,2372,1726,72%,735,713,595,278,747,13
Byron Township Precinct 6,1468,1077,73%,502,418,419,171,387,5
Byron Township Precinct 7,2234,1469,65%,648,651,549,318,487,18
Byron Township Precinct 8,2169,1526,70%,727,446,676,315,566,22
Gaines Charter Township Precinct 3,2172,318,14%,128,72,86,79,120,6
Gaines Charter Township Precinct 6,1965,300,15%,128,97,88,41,121,0
Gaines Charter Township Precinct 7,2566,1811,70%,844,594,718,281,688,33
