TOTALS: 11 of 11 Precincts ,RegisteredVoters,BallotsCast,Turnout,WriteIn
Totals,24660,13610,55%,830
Byron Township Precinct 1,2421,1747,72%,113
Byron Township Precinct 2,2599,1956,75%,104
Byron Township Precinct 3,2685,197,7%,18
Byron Township Precinct 4,2009,1483,73%,78
Byron Township Precinct 5,2372,1726,72%,97
Byron Township Precinct 6,1468,1077,73%,54
Byron Township Precinct 7,2234,1469,65%,96
Byron Township Precinct 8,2169,1526,70%,96
Gaines Charter Township Precinct 3,2172,318,14%,24
Gaines Charter Township Precinct 6,1965,300,15%,15
Gaines Charter Township Precinct 7,2566,1811,70%,135
