TOTALS: 11 of 11 Precincts ,RegisteredVoters,BallotsCast,Turnout,AdamJ.Diffenderfer,JasonSaidoo,MarcyWhite,WriteIn
Totals,21320,11793,55%,4121,4940,5769,104
Bowne Township Precinct 1,2363,841,35%,328,384,365,2
Caledonia Township Precinct 1,1133,758,66%,216,352,411,8
Caledonia Township Precinct 2,2162,1486,68%,547,622,777,9
Caledonia Township Precinct 3,2063,1480,71%,563,709,675,11
Caledonia Township Precinct 4,1291,938,72%,301,435,450,11
Caledonia Township Precinct 5,2334,1566,67%,576,698,817,10
Caledonia Township Precinct 6,1871,1284,68%,488,493,700,11
Cascade Charter Township Precinct 10,1318,497,37%,141,197,218,3
Gaines Charter Township Precinct 1,2081,1502,72%,527,517,619,14
Gaines Charter Township Precinct 8,2266,1430,63%,430,528,732,25
Lowell Charter Township Precinct 1,2438,11,0%,4,5,5,0
