TOTALS: 11 of 11 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,21320,11793,55%,5450,5790
Bowne Township Precinct 1,2363,841,35%,346,455
Caledonia Township Precinct 1,1133,758,66%,438,299
Caledonia Township Precinct 2,2162,1486,68%,678,759
Caledonia Township Precinct 3,2063,1480,71%,656,771
Caledonia Township Precinct 4,1291,938,72%,411,491
Caledonia Township Precinct 5,2334,1566,67%,757,746
Caledonia Township Precinct 6,1871,1284,68%,731,496
Cascade Charter Township Precinct 10,1318,497,37%,219,242
Gaines Charter Township Precinct 1,2081,1502,72%,559,864
Gaines Charter Township Precinct 8,2266,1430,63%,652,660
Lowell Charter Township Precinct 1,2438,11,0%,3,7
