TOTALS: 10 of 10 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,14646,11108,75%,6778,3641
Cascade Charter Township Precinct 1,1348,1041,77%,625,335
Cascade Charter Township Precinct 2,1661,1245,74%,808,365
Cascade Charter Township Precinct 3,1105,849,76%,524,285
Cascade Charter Township Precinct 4,1619,1263,78%,802,370
Cascade Charter Township Precinct 5,2259,1714,75%,1081,565
Cascade Charter Township Precinct 6,1465,1097,74%,675,346
Cascade Charter Township Precinct 7,1187,792,66%,455,259
Cascade Charter Township Precinct 8,1292,1035,80%,655,319
Cascade Charter Township Precinct 9,1392,1098,78%,724,319
Cascade Charter Township Precinct 10,1318,974,73%,429,478
