TOTALS: 10 of 10 Precincts ,RegisteredVoters,BallotsCast,Turnout,WriteIn
Totals,21350,8694,40%,1270
Algoma Township Precinct 3,1597,1108,69%,148
Cedar Springs Precinct 1,2310,1087,47%,198
Courtland Township Precinct 2,2201,882,40%,142
Courtland Township Precinct 3,2268,485,21%,58
Nelson Township Precinct 1,2306,696,30%,97
Nelson Township Precinct 2,1580,968,61%,141
Oakfield Township Precinct 1,1557,585,37%,61
Solon Township Precinct 1,1814,1095,60%,184
Solon Township Precinct 2,2765,1072,38%,153
Spencer Township Precinct 1,2952,716,24%,88
