TOTALS: 10 of 10 Precincts ,RegisteredVoters,BallotsCast,Turnout,TraciSlager,WriteIn
Totals,21350,8696,40%,5447,111
Algoma Township Precinct 3,1597,1108,69%,660,15
Cedar Springs Precinct 1,2310,1087,47%,723,13
Courtland Township Precinct 2,2201,882,40%,543,10
Courtland Township Precinct 3,2268,487,21%,305,5
Nelson Township Precinct 1,2306,696,30%,427,9
Nelson Township Precinct 2,1580,968,61%,601,10
Oakfield Township Precinct 1,1557,585,37%,383,6
Solon Township Precinct 1,1814,1095,60%,685,25
Solon Township Precinct 2,2765,1072,38%,680,9
Spencer Township Precinct 1,2952,716,24%,440,9
