TOTALS: 144 of 144 Precincts ,RegisteredVoters,BallotsCast,Turnout,TheodoreVonk  (REP),DeborahHavens  (DEM),WriteIn
Totals,26015,17924,68%,9121,6972,70
Plainfield Charter Township Precinct 1,2614,1944,74%,1051,712,6
Plainfield Charter Township Precinct 2,2249,1437,63%,749,522,13
Plainfield Charter Township Precinct 4,2300,1467,63%,676,613,9
Plainfield Charter Township Precinct 6,3012,2043,67%,1143,714,3
Plainfield Charter Township Precinct 7,2717,1948,71%,1077,686,6
Plainfield Charter Township Precinct 8,2819,1909,67%,866,841,7
Plainfield Charter Township Precinct 9,2445,1611,65%,814,627,6
Plainfield Charter Township Precinct 10,1777,1345,75%,721,507,6
Plainfield Charter Township Precinct 11,1706,1286,75%,709,483,2
Rockford Precinct 1,1866,1204,64%,511,539,6
Rockford Precinct 2,2510,1730,68%,804,728,6
