TOTALS: 12 of 12 Precincts ,RegisteredVoters,BallotsCast,Turnout,EmilyPostBrieve  (REP),WriteIn
Totals,23986,14994,62%,10801,540
Caledonia Township Precinct 1,1133,758,66%,539,9
Caledonia Township Precinct 4,1291,953,73%,690,19
Caledonia Township Precinct 5,2334,1566,67%,1196,22
Gaines Charter Township Precinct 1,2081,1502,72%,1167,27
Gaines Charter Township Precinct 2,1630,1069,65%,760,42
Gaines Charter Township Precinct 3,2172,1272,58%,933,45
Gaines Charter Township Precinct 4,2879,1178,40%,757,99
Gaines Charter Township Precinct 5,1905,937,49%,530,92
Gaines Charter Township Precinct 6,1965,1385,70%,1074,34
Gaines Charter Township Precinct 7,2566,1811,70%,1363,38
Gaines Charter Township Precinct 8,2266,1430,63%,1053,31
Gaines Charter Township Precinct 9,1764,1133,64%,739,82
