TOTALS: 18 of 18 Precincts ,RegisteredVoters,BallotsCast,Turnout,JimSaalfeld  (REP),AugustTreu  (DEM),WriteIn
Totals,25899,18853,72%,10051,7298,46
Ada Township Precinct 1,1184,871,73%,454,321,3
Ada Township Precinct 2,2221,1588,71%,827,604,2
Ada Township Precinct 3,1308,942,72%,534,318,6
Ada Township Precinct 4,1038,785,75%,483,232,0
Ada Township Precinct 5,1910,1374,71%,838,404,2
Ada Township Precinct 6,892,612,68%,306,235,1
Ada Township Precinct 7,1078,793,73%,403,309,0
Ada Township Precinct 8,1120,816,72%,444,290,3
East Grand Rapids Ward 1 Precinct 1,1509,1137,75%,450,623,0
Grand Rapids Charter Township Precinct 1,1513,1075,71%,642,345,2
Grand Rapids Charter Township Precinct 2,1016,738,72%,394,292,1
Grand Rapids Charter Township Precinct 3,1812,1358,74%,712,571,1
Grand Rapids Charter Township Precinct 4,1733,1263,72%,641,544,6
Grand Rapids Charter Township Precinct 5,1863,1364,73%,659,611,5
Grand Rapids Charter Township Precinct 6,1720,1276,74%,667,520,4
Grand Rapids Charter Township Precinct 7,1043,669,64%,348,282,1
Grand Rapids Charter Township Precinct 8,1783,1300,72%,691,517,7
Grand Rapids Charter Township Precinct 9,1156,892,77%,558,280,2
