TOTALS: 12 of 12 Precincts ,RegisteredVoters,BallotsCast,Turnout,JillMartinez  (REP),MonicaSparks  (DEM),CharlotteAikens  (GRN),WriteIn
Totals,20335,10391,51%,4171,5393,312,26
Kentwood Ward 1 Precinct 1,2072,1009,48%,444,498,18,4
Kentwood Ward 1 Precinct 2,2787,1711,61%,706,879,43,3
Kentwood Ward 1 Precinct 3,1524,971,63%,424,474,21,1
Kentwood Ward 1 Precinct 4,1385,654,47%,223,377,19,0
Kentwood Ward 1 Precinct 5,1192,647,54%,284,321,11,4
Kentwood Ward 1 Precinct 6,2226,1085,48%,455,552,24,2
Wyoming Ward 1 Precinct 1,1870,915,48%,365,487,34,0
Wyoming Ward 1 Precinct 2,1311,535,40%,194,292,21,3
Wyoming Ward 1 Precinct 6,1502,729,48%,262,395,36,4
Wyoming Ward 1 Precinct 8,1230,576,46%,230,288,22,1
Wyoming Ward 1 Precinct 9,2268,1029,45%,365,573,41,3
Wyoming Ward 2 Precinct 15,968,530,54%,219,257,22,1
