TOTALS: 12 of 12 Precincts ,RegisteredVoters,BallotsCast,Turnout,JessicaAnnTyson  (REP),BetsyMelton   (DEM),WriteIn
Totals,24679,14435,58%,5818,7506,53
Kentwood Ward 1 Precinct 7,1944,1075,55%,406,599,3
Kentwood Ward 1 Precinct 8,2348,1578,67%,749,742,2
Kentwood Ward 1 Precinct 9,2145,1149,53%,444,611,7
Kentwood Ward 2 Precinct 10,2150,1401,65%,582,705,5
Kentwood Ward 2 Precinct 11,2803,1759,62%,764,869,5
Kentwood Ward 2 Precinct 12,1551,929,59%,338,525,3
Kentwood Ward 2 Precinct 13,2030,1206,59%,549,553,8
Kentwood Ward 2 Precinct 14,787,514,65%,236,231,1
Kentwood Ward 2 Precinct 15,2618,1231,47%,342,803,8
Kentwood Ward 2 Precinct 16,2612,1825,69%,836,823,4
Kentwood Ward 2 Precinct 17,1674,765,45%,248,458,2
Kentwood Ward 2 Precinct 18,2017,1003,49%,324,587,5
