TOTALS: 12 of 12 Precincts ,RegisteredVoters,BallotsCast,Turnout,KyleBrethauer  (REP),CarolM.Hennessy  (DEM),WriteIn
Totals,22661,12087,53%,3462,7356,64
Grand Rapids Ward 1 Precinct 1,2432,1089,44%,256,701,12
Grand Rapids Ward 1 Precinct 2,1324,516,38%,96,367,4
Grand Rapids Ward 1 Precinct 5,1312,691,52%,159,454,4
Grand Rapids Ward 1 Precinct 6,2149,1457,67%,534,776,4
Grand Rapids Ward 1 Precinct 8,1265,920,72%,270,570,6
Grand Rapids Ward 1 Precinct 12,1895,732,38%,150,505,1
Grand Rapids Ward 1 Precinct 13,2150,940,43%,274,579,4
Grand Rapids Ward 1 Precinct 14,2101,1271,60%,369,773,3
Grand Rapids Ward 1 Precinct 17,2352,1170,49%,339,705,4
Grand Rapids Ward 1 Precinct 20,2160,1614,74%,648,808,8
Grand Rapids Ward 1 Precinct 22,747,238,31%,30,188,2
Grand Rapids Ward 2 Precinct 38,2774,1449,52%,337,930,12
