TOTALS: 11 of 11 Precincts ,RegisteredVoters,BallotsCast,Turnout,JoelHerbertTownsend  (REP),JimTalen  (DEM),WriteIn
Totals,20636,9805,47%,2034,6895,40
Grand Rapids Ward 1 Precinct 3,1992,1336,67%,391,830,4
Grand Rapids Ward 1 Precinct 4,1786,1157,64%,228,834,3
Grand Rapids Ward 1 Precinct 9,2671,895,33%,198,618,7
Grand Rapids Ward 1 Precinct 15,2003,573,28%,70,458,7
Grand Rapids Ward 1 Precinct 16,2074,678,32%,99,525,2
Grand Rapids Ward 1 Precinct 24,1782,479,26%,43,382,2
Grand Rapids Ward 2 Precinct 39,1064,600,56%,84,460,3
Grand Rapids Ward 2 Precinct 50,2306,1432,62%,191,1104,5
Grand Rapids Ward 3 Precinct 51,1724,885,51%,254,547,4
Grand Rapids Ward 3 Precinct 57,1234,805,65%,241,493,0
Grand Rapids Ward 3 Precinct 65,2000,965,48%,235,644,3
