TOTALS: 14 of 14 Precincts ,RegisteredVoters,BallotsCast,Turnout,JennaVandeKamp  (REP),DavidBulkowski  (DEM),WriteIn
Totals,23822,13573,56%,3227,9034,97
Grand Rapids Ward 1 Precinct 19,2134,990,46%,274,609,13
Grand Rapids Ward 2 Precinct 25,1324,797,60%,133,603,5
Grand Rapids Ward 2 Precinct 27,1297,757,58%,197,493,9
Grand Rapids Ward 2 Precinct 28,2027,1159,57%,329,725,6
Grand Rapids Ward 2 Precinct 29,1926,806,41%,176,556,8
Grand Rapids Ward 2 Precinct 31,2277,1205,52%,328,742,9
Grand Rapids Ward 2 Precinct 32,1428,746,52%,178,492,3
Grand Rapids Ward 2 Precinct 33,1072,742,69%,146,517,3
Grand Rapids Ward 2 Precinct 34,2128,1248,58%,378,737,13
Grand Rapids Ward 2 Precinct 40,1864,1218,65%,185,922,13
Grand Rapids Ward 2 Precinct 42,1918,1359,70%,444,782,5
Grand Rapids Ward 2 Precinct 48,1482,839,56%,159,610,6
Grand Rapids Ward 2 Precinct 49,2046,1136,55%,198,828,3
Grand Rapids Ward 3 Precinct 61,899,571,63%,102,418,1
