TOTALS: 14 of 14 Precincts ,RegisteredVoters,BallotsCast,Turnout,CourtneyPanter  (REP),RobertWomack  (DEM),WriteIn
Totals,24965,12306,49%,1839,9519,85
Grand Rapids Ward 1 Precinct 18,1152,438,38%,37,363,8
Grand Rapids Ward 3 Precinct 52,915,521,56%,61,425,2
Grand Rapids Ward 3 Precinct 59,2393,1610,67%,469,984,8
Grand Rapids Ward 3 Precinct 60,2375,1329,55%,166,1059,8
Grand Rapids Ward 3 Precinct 62,1823,851,46%,131,659,7
Grand Rapids Ward 3 Precinct 63,1860,891,47%,108,730,2
Grand Rapids Ward 3 Precinct 66,2363,819,34%,43,715,11
Grand Rapids Ward 3 Precinct 67,2799,1032,36%,64,916,6
Grand Rapids Ward 3 Precinct 68,1642,1135,69%,232,804,8
Grand Rapids Ward 3 Precinct 70,1791,660,36%,29,584,8
Grand Rapids Ward 3 Precinct 71,1695,957,56%,162,723,4
Grand Rapids Ward 3 Precinct 74,1371,808,58%,204,531,5
Grand Rapids Ward 3 Precinct 75,1209,602,49%,91,462,2
Grand Rapids Ward 3 Precinct 76,1577,653,41%,42,564,6
