TOTALS: 14 of 14 Precincts ,RegisteredVoters,BallotsCast,Turnout,ThomasAntor  (REP),JeremiahAnway  (DEM),WriteIn
Totals,24284,14815,61%,8422,4802,56
Algoma Township Precinct 1,1246,830,66%,545,186,0
Algoma Township Precinct 2,1512,1078,71%,705,249,2
Algoma Township Precinct 3,1597,1108,69%,708,278,4
Algoma Township Precinct 4,1731,1092,63%,609,366,3
Algoma Township Precinct 5,2098,1452,69%,782,454,2
Alpine Township Precinct 1,1052,688,65%,416,195,1
Alpine Township Precinct 2,1344,835,62%,358,389,6
Alpine Township Precinct 3,2208,1494,67%,768,581,8
Alpine Township Precinct 4,2164,1175,54%,668,395,5
Alpine Township Precinct 5,1013,694,68%,445,187,4
Alpine Township Precinct 6,1936,672,34%,162,444,5
Sparta Township Precinct 1,2898,1650,56%,921,555,8
Sparta Township Precinct 2,1516,912,60%,600,223,4
Sparta Township Precinct 3,1969,1135,57%,735,300,4
