TOTALS: 11 of 11 Precincts ,RegisteredVoters,BallotsCast,Turnout,RogerC.Morgan  (REP),WriteIn
Totals,23368,13955,59%,9973,331
Cedar Springs Precinct 1,2310,1087,47%,772,28
Courtland Township Precinct 1,2011,1433,71%,1020,30
Courtland Township Precinct 2,2201,1518,68%,1104,30
Courtland Township Precinct 3,2268,1427,62%,1008,30
Nelson Township Precinct 1,2306,1112,48%,773,30
Nelson Township Precinct 2,1580,968,61%,663,20
Solon Township Precinct 1,1814,1095,60%,781,27
Solon Township Precinct 2,2765,1630,58%,1206,37
Spencer Township Precinct 1,2952,1803,61%,1274,61
Tyrone Township Precinct 1,1760,1063,60%,775,19
Tyrone Township Precinct 2,1401,819,58%,597,19
