TOTALS: 15 of 15 Precincts ,RegisteredVoters,BallotsCast,Turnout,DianeJones  (REP),KariSmith  (DEM),WriteIn
Totals,25543,17345,67%,10007,5537,55
Cannon Township Precinct 1,2060,1524,73%,897,467,2
Cannon Township Precinct 2,1931,1341,69%,832,407,3
Cannon Township Precinct 3,1591,1175,73%,681,386,7
Cannon Township Precinct 4,2241,1608,71%,964,498,5
Cannon Township Precinct 5,1562,1147,73%,725,305,3
Cannon Township Precinct 6,1862,1343,72%,797,390,2
Grattan Township Precinct 1,1502,993,66%,618,263,2
Grattan Township Precinct 2,1598,1133,70%,598,409,5
Lowell Precinct 1,1606,965,60%,438,434,6
Lowell Precinct 2,1377,738,53%,369,279,2
Oakfield Township Precinct 1,1557,983,63%,548,326,5
Oakfield Township Precinct 2,1812,1080,59%,633,338,2
Oakfield Township Precinct 3 ,1321,783,59%,424,256,3
Vergennes Township Precinct 1,1870,1365,72%,817,405,1
Vergennes Township Precinct 2,1653,1167,70%,666,374,7
