TOTALS: 16 of 16 Precincts ,RegisteredVoters,BallotsCast,Turnout,MandyBolter  (REP),NevilleJ.Mark  (DEM),WriteIn
Totals,27812,20046,72%,11872,6224,48
Bowne Township Precinct 1,2363,1677,70%,1165,340,9
Caledonia Township Precinct 2,2162,1486,68%,967,364,3
Caledonia Township Precinct 3,2063,1480,71%,980,377,4
Caledonia Township Precinct 6,1871,1284,68%,757,412,1
Cascade Charter Township Precinct 1,1348,1041,77%,657,306,1
Cascade Charter Township Precinct 2,1661,1245,74%,722,400,3
Cascade Charter Township Precinct 3,1105,849,76%,481,295,4
Cascade Charter Township Precinct 4,1619,1263,78%,710,422,0
Cascade Charter Township Precinct 5,2259,1714,75%,1048,515,4
Cascade Charter Township Precinct 6,1465,1097,74%,552,422,3
Cascade Charter Township Precinct 7,1187,792,66%,421,283,2
Cascade Charter Township Precinct 8,1292,1035,80%,522,414,3
Cascade Charter Township Precinct 9,1392,1098,78%,615,373,1
Cascade Charter Township Precinct 10,1318,974,73%,567,303,1
Lowell Charter Township Precinct 1,2438,1661,68%,977,515,4
Lowell Charter Township Precinct 2,2269,1350,59%,731,483,5
