TOTALS: 14 of 14 Precincts ,RegisteredVoters,BallotsCast,Turnout,StanStek  (REP),PamDeGryse  (DEM),WriteIn
Totals,24659,16502,66%,8161,6616,62
Grand Rapids Ward 1 Precinct 7,937,622,66%,275,275,6
Grand Rapids Ward 1 Precinct 10,1757,1061,60%,369,577,4
Grand Rapids Ward 1 Precinct 11,819,634,77%,298,281,1
Grand Rapids Ward 1 Precinct 21,1827,1363,74%,726,510,2
Grand Rapids Ward 1 Precinct 23,1820,1338,73%,652,524,8
Walker Ward 1 Precinct 1,2037,997,48%,357,557,8
Walker Ward 1 Precinct 2,1733,1176,67%,574,480,4
Walker Ward 1 Precinct 3,1996,1316,65%,592,583,9
Walker Ward 2 Precinct 4,2243,1567,69%,875,527,6
Walker Ward 2 Precinct 5,1904,1341,70%,735,452,0
Walker Ward 2 Precinct 6,1880,1193,63%,617,421,2
Walker Ward 3 Precinct 7,1966,1352,68%,656,542,6
Walker Ward 3 Precinct 8,1759,1268,72%,779,375,3
Walker Ward 3 Precinct 9,1981,1274,64%,656,512,3
