TOTALS: 13 of 13 Precincts ,RegisteredVoters,BallotsCast,Turnout,StanPonstein  (REP),MikeJohnson  (DEM),WriteIn
Totals,21785,12650,58%,6439,5071,57
Grandville Precinct 1,1577,1029,65%,561,355,5
Grandville Precinct 2,2014,1232,61%,660,460,4
Grandville Precinct 3,2197,1391,63%,821,437,5
Grandville Precinct 4,1979,1483,74%,909,447,4
Grandville Precinct 5,2147,1489,69%,892,460,5
Grandville Precinct 6,1655,1182,71%,720,352,6
Wyoming Ward 2 Precinct 10,1478,665,44%,230,387,2
Wyoming Ward 2 Precinct 11,1351,568,42%,155,364,3
Wyoming Ward 2 Precinct 12,1280,508,39%,165,301,6
Wyoming Ward 2 Precinct 13,1666,873,52%,368,437,2
Wyoming Ward 2 Precinct 14,1166,666,57%,348,276,3
Wyoming Ward 2 Precinct 16,1352,771,57%,362,324,8
Wyoming Ward 2 Precinct 17,1923,793,41%,248,471,4
