TOTALS: 12 of 12 Precincts ,RegisteredVoters,BallotsCast,Turnout,MattKallman  (REP),BobSmith  (DEM),WriteIn
Totals,26082,16319,62%,9725,5037,45
Byron Township Precinct 1,2421,1747,72%,1250,332,5
Byron Township Precinct 2,2599,1956,75%,1301,459,2
Byron Township Precinct 3,2685,1108,41%,502,498,9
Byron Township Precinct 4,2009,1514,75%,1132,257,3
Byron Township Precinct 5,2372,1731,72%,1286,300,1
Byron Township Precinct 6,1468,1077,73%,700,272,1
Byron Township Precinct 7,2234,1469,65%,924,392,6
Byron Township Precinct 8,2169,1526,70%,863,501,6
Wyoming Ward 1 Precinct 3,2130,940,44%,325,525,4
Wyoming Ward 1 Precinct 4,2019,1071,53%,451,515,3
Wyoming Ward 1 Precinct 5,2086,1037,49%,385,551,0
Wyoming Ward 1 Precinct 7,1890,1143,60%,606,435,5
