TOTALS: 31 of 31 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,47960,27915,58%,17026,9573
Ada Township Precinct 1,1184,871,73%,526,300
Ada Township Precinct 2,2221,1588,71%,1088,422
Ada Township Precinct 3,1308,872,66%,492,348
Ada Township Precinct 4,1038,659,63%,359,272
Ada Township Precinct 5,1910,951,49%,496,410
Ada Township Precinct 6,892,612,68%,406,183
Ada Township Precinct 7,1078,793,73%,490,276
Ada Township Precinct 8,1120,372,33%,184,177
Cannon Township Precinct 1,2060,58,2%,33,23
Cascade Charter Township Precinct 1,1348,1041,77%,614,367
Cascade Charter Township Precinct 2,1661,1245,74%,774,422
Cascade Charter Township Precinct 3,1105,849,76%,479,334
Cascade Charter Township Precinct 4,1619,1263,78%,798,401
Cascade Charter Township Precinct 5,2259,1425,63%,900,471
Cascade Charter Township Precinct 6,1465,1097,74%,637,394
Cascade Charter Township Precinct 7,1187,792,66%,441,280
Cascade Charter Township Precinct 8,1292,1035,80%,663,331
Cascade Charter Township Precinct 9,1392,1098,78%,691,368
Cascade Charter Township Precinct 10,1318,420,31%,227,173
Grand Rapids Ward 2 Precinct 46,2268,66,2%,41,18
Grand Rapids Ward 3 Precinct 64,1984,316,15%,183,99
Grand Rapids Charter Township Precinct 1,1513,1075,71%,659,366
Grand Rapids Charter Township Precinct 2,1016,738,72%,434,272
Grand Rapids Charter Township Precinct 3,1812,942,51%,579,292
TOTALS: 31 of 31 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Grand Rapids Charter Township Precinct 4,1733,1263,72%,782,434
Grand Rapids Charter Township Precinct 5,1863,1364,73%,946,351
Grand Rapids Charter Township Precinct 6,1720,1101,64%,649,404
Grand Rapids Charter Township Precinct 7,1043,470,45%,237,210
Grand Rapids Charter Township Precinct 8,1783,1300,72%,833,415
Grand Rapids Charter Township Precinct 9,1156,414,35%,247,150
Kentwood Ward 2 Precinct 16,2612,1825,69%,1138,610
