TOTALS: 31 of 31 Precincts ,RegisteredVoters,BallotsCast,Turnout,MarthaW.Atwater,KrisCovelle,VikSrinivasan,BobTsironis,WriteIn
Totals,47960,27915,58%,13880,8944,7745,5182,262
Ada Township Precinct 1,1184,871,73%,465,312,225,156,4
Ada Township Precinct 2,2221,1588,71%,709,544,465,253,13
Ada Township Precinct 3,1308,872,66%,395,247,254,172,18
Ada Township Precinct 4,1038,659,63%,303,178,162,143,5
Ada Township Precinct 5,1910,951,49%,475,292,303,200,14
Ada Township Precinct 6,892,612,68%,290,226,187,119,9
Ada Township Precinct 7,1078,793,73%,442,206,260,149,6
Ada Township Precinct 8,1120,372,33%,190,123,89,86,2
Cannon Township Precinct 1,2060,58,2%,31,18,11,12,0
Cascade Charter Township Precinct 1,1348,1041,77%,475,365,296,177,1
Cascade Charter Township Precinct 2,1661,1245,74%,763,296,488,203,7
Cascade Charter Township Precinct 3,1105,849,76%,454,222,228,177,7
Cascade Charter Township Precinct 4,1619,1263,78%,701,417,353,234,8
Cascade Charter Township Precinct 5,2259,1425,63%,711,548,414,289,7
Cascade Charter Township Precinct 6,1465,1097,74%,592,360,283,207,6
Cascade Charter Township Precinct 7,1187,792,66%,402,229,154,176,4
Cascade Charter Township Precinct 8,1292,1035,80%,580,357,302,150,7
Cascade Charter Township Precinct 9,1392,1098,78%,558,390,324,211,6
Cascade Charter Township Precinct 10,1318,420,31%,205,121,112,87,1
Grand Rapids Ward 2 Precinct 46,2268,66,2%,33,11,8,14,2
Grand Rapids Ward 3 Precinct 64,1984,316,15%,139,109,66,33,6
Grand Rapids Charter Township Precinct 1,1513,1075,71%,505,268,340,237,14
Grand Rapids Charter Township Precinct 2,1016,738,72%,367,211,180,148,7
Grand Rapids Charter Township Precinct 3,1812,942,51%,465,299,211,135,4
TOTALS: 31 of 31 Precincts ,RegisteredVoters,BallotsCast,Turnout,MarthaW.Atwater,KrisCovelle,VikSrinivasan,BobTsironis,WriteIn
Grand Rapids Charter Township Precinct 4,1733,1263,72%,608,468,337,190,25
Grand Rapids Charter Township Precinct 5,1863,1364,73%,661,393,394,258,15
Grand Rapids Charter Township Precinct 6,1720,1101,64%,532,317,241,226,11
Grand Rapids Charter Township Precinct 7,1043,470,45%,204,172,69,73,7
Grand Rapids Charter Township Precinct 8,1783,1300,72%,550,451,378,280,22
Grand Rapids Charter Township Precinct 9,1156,414,35%,205,103,141,64,4
Kentwood Ward 2 Precinct 16,2612,1825,69%,870,691,470,323,20
