TOTALS: 77 of 77 Precincts ,RegisteredVoters,BallotsCast,Turnout,TonyBaker,MichaelBukala,KymberlieDavis,JoseFlores,JohnM.Matias,ChadPatton,KimberleyWilliams,WriteIn
Totals,137243,76482,55%,25485,17343,33070,28914,23796,21100,36522,1793
Grand Rapids  Ward 1  Precinct 1,2432,1089,44%,331,257,492,399,273,247,474,36
Grand Rapids  Ward 1  Precinct 2,1324,516,38%,151,126,239,202,147,144,235,18
Grand Rapids  Ward 1  Precinct 3,1992,1335,67%,430,268,650,571,452,358,633,16
Grand Rapids  Ward 1  Precinct 4,1786,1157,64%,379,210,484,526,383,332,563,7
Grand Rapids  Ward 1  Precinct 5,1312,691,52%,190,163,280,269,219,158,309,21
Grand Rapids  Ward 1  Precinct 6,2149,1457,67%,476,391,582,463,441,495,633,19
Grand Rapids  Ward 1  Precinct 7,937,622,66%,209,163,244,219,180,169,284,17
Grand Rapids  Ward 1  Precinct 8,1265,920,72%,386,240,414,355,305,318,430,20
Grand Rapids  Ward 1  Precinct 9,2671,895,33%,246,197,399,302,222,211,390,29
Grand Rapids  Ward 1  Precinct 10,1757,1061,60%,338,272,507,414,373,322,472,35
Grand Rapids  Ward 1  Precinct 11,819,634,77%,237,165,251,240,222,196,250,18
Grand Rapids  Ward 1  Precinct 12,1895,732,38%,171,160,276,265,189,145,314,24
Grand Rapids  Ward 1  Precinct 13,2150,940,43%,268,199,363,316,236,255,419,35
Grand Rapids  Ward 1  Precinct 14,2101,1271,60%,449,319,549,472,350,366,620,28
Grand Rapids  Ward 1  Precinct 15,2003,573,28%,188,125,219,327,179,105,258,20
Grand Rapids  Ward 1  Precinct 16,2074,678,32%,149,168,243,390,204,112,275,17
Grand Rapids  Ward 1  Precinct 17,2352,1170,49%,298,289,502,445,322,299,485,37
Grand Rapids  Ward 1  Precinct 18,1152,438,38%,139,60,193,174,112,89,247,11
Grand Rapids  Ward 1  Precinct 19,2134,990,46%,283,263,387,376,293,246,466,50
Grand Rapids  Ward 1  Precinct 20,2160,1614,74%,611,484,622,523,557,615,734,29
Grand Rapids  Ward 1  Precinct 21,1827,1363,74%,526,380,507,436,430,438,608,26
Grand Rapids  Ward 1  Precinct 22,747,238,31%,68,42,94,112,67,38,105,7
Grand Rapids  Ward 1  Precinct 23,1820,1324,72%,469,414,557,442,456,402,501,14
Grand Rapids  Ward 1  Precinct 24,1782,479,26%,102,72,185,236,119,73,212,18
Grand Rapids  Ward 2  Precinct 25,1324,797,60%,231,155,350,355,212,184,402,41
Grand Rapids  Ward 2  Precinct 26,1710,1009,59%,360,254,404,358,363,306,483,26
Grand Rapids  Ward 2  Precinct 27,1297,757,58%,228,189,311,282,231,223,348,12
Grand Rapids  Ward 2  Precinct 28,2027,1159,57%,350,269,501,452,307,312,588,23
Grand Rapids  Ward 2  Precinct 29,1926,806,41%,258,190,366,316,209,159,365,9
Grand Rapids  Ward 2  Precinct 30,1694,1248,73%,423,285,569,481,394,360,540,11
Grand Rapids  Ward 2  Precinct 31,2277,1205,52%,346,287,528,431,329,303,549,32
Grand Rapids  Ward 2  Precinct 32,1428,746,52%,196,169,276,275,204,196,352,8
Grand Rapids  Ward 2  Precinct 33,1072,742,69%,271,139,352,291,296,222,395,23
Grand Rapids  Ward 2  Precinct 34,2128,1247,58%,423,293,495,422,355,344,639,25
Grand Rapids  Ward 2  Precinct 35,1960,1356,69%,512,367,584,504,421,444,628,35
Grand Rapids  Ward 2  Precinct 36,1025,560,54%,188,120,219,183,142,127,251,22
Grand Rapids  Ward 2  Precinct 37,2460,1635,66%,547,505,684,625,503,484,682,29
Grand Rapids  Ward 2  Precinct 38,2774,1449,52%,365,267,590,499,364,315,598,61
Grand Rapids  Ward 2  Precinct 39,1064,600,56%,192,98,267,226,179,182,313,3
Grand Rapids  Ward 2  Precinct 40,1864,1218,65%,379,202,514,436,377,325,577,49
"

Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,938,709,1127,895,834,906,1243,57
Grand Rapids  Ward 2  Precinct 42,1918,1359,70%,471,350,578,496,413,415,629,10
Grand Rapids  Ward 2  Precinct 43,1741,1142,65%,404,282,485,404,356,311,500,19
Grand Rapids  Ward 2  Precinct 44,1887,1259,66%,421,432,572,476,430,377,570,16
Grand Rapids  Ward 2  Precinct 45,2124,1495,70%,517,368,702,521,572,466,658,16
Grand Rapids  Ward 2  Precinct 46,2268,1182,52%,386,272,485,447,383,340,566,29
Grand Rapids  Ward 2  Precinct 47,1676,1275,76%,508,306,542,493,534,438,633,17
Grand Rapids  Ward 2  Precinct 48,1482,839,56%,263,204,375,310,223,212,391,27
Grand Rapids  Ward 2  Precinct 49,2046,1136,55%,330,207,472,396,291,267,548,40
Grand Rapids  Ward 2  Precinct 50,2306,1432,62%,489,262,706,579,405,396,670,31
Grand Rapids  Ward 3  Precinct 51,1724,301,17%,104,82,118,118,104,76,141,12
Grand Rapids  Ward 3  Precinct 52,915,521,56%,173,78,276,234,163,135,294,8
Grand Rapids  Ward 3  Precinct 53,2863,1739,60%,674,369,702,698,688,582,785,25
Grand Rapids  Ward 3  Precinct 54,1502,937,62%,339,221,396,296,383,290,442,16
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,503,330,623,516,463,479,746,32
Grand Rapids  Ward 3  Precinct 56,2007,1108,55%,439,279,522,455,373,325,618,11
Grand Rapids  Ward 3  Precinct 57,1234,617,50%,267,140,283,247,237,156,318,6
Grand Rapids  Ward 3  Precinct 58,1771,479,27%,177,119,206,194,186,141,233,6
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,560,325,775,633,556,499,801,13
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,482,235,624,599,408,342,720,32
Grand Rapids  Ward 3  Precinct 61,899,571,63%,199,113,262,200,205,176,277,13
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,306,165,413,335,261,224,525,25
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,311,171,410,412,254,179,528,10
Grand Rapids  Ward 3  Precinct 64,1984,569,28%,190,121,246,184,153,124,284,18
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,316,233,446,371,321,235,455,34
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,244,115,422,332,241,148,457,33
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,359,131,485,408,289,207,638,23
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,446,160,523,421,416,382,623,32
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,353,205,375,310,327,314,418,10
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,212,106,281,249,153,100,408,46
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,339,179,454,389,283,208,499,39
Grand Rapids  Ward 3  Precinct 72,871,603,69%,197,129,273,231,172,138,279,7
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,260,172,373,302,263,225,383,28
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,221,134,315,327,210,183,378,30
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,190,124,275,226,190,122,356,15
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,208,87,282,239,152,127,381,22
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,326,212,417,361,287,236,500,24
