TOTALS: 9 of 9 Precincts ,RegisteredVoters,BallotsCast,Turnout,AngelaBurnside  (REP),WriteIn
Totals,19228,11717,60%,8760,485
Gaines Charter Township Precinct 1,2081,1502,72%,1219,25
Gaines Charter Township Precinct 2,1630,1069,65%,791,39
Gaines Charter Township Precinct 3,2172,1272,58%,986,42
Gaines Charter Township Precinct 4,2879,1178,40%,789,108
Gaines Charter Township Precinct 5,1905,937,49%,562,95
Gaines Charter Township Precinct 6,1965,1385,70%,1106,32
Gaines Charter Township Precinct 7,2566,1811,70%,1434,37
Gaines Charter Township Precinct 8,2266,1430,63%,1097,30
Gaines Charter Township Precinct 9,1764,1133,64%,776,77
