TOTALS: 9 of 9 Precincts ,RegisteredVoters,BallotsCast,Turnout,CrystalOsterink (REP),WriteIn
Totals,19228,11717,60%,8622,483
Gaines Charter Township Precinct 1,2081,1502,72%,1195,26
Gaines Charter Township Precinct 2,1630,1069,65%,780,38
Gaines Charter Township Precinct 3,2172,1272,58%,978,44
Gaines Charter Township Precinct 4,2879,1178,40%,776,104
Gaines Charter Township Precinct 5,1905,937,49%,549,95
Gaines Charter Township Precinct 6,1965,1385,70%,1095,33
Gaines Charter Township Precinct 7,2566,1811,70%,1409,35
Gaines Charter Township Precinct 8,2266,1430,63%,1071,33
Gaines Charter Township Precinct 9,1764,1133,64%,769,75
