TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,Bill Schuette / Lisa Posthumus Lyons (REP),"Gretchen Whitmer / Garlin D. Gilchrist II (DEM)
",Bill Gelineau / Angelique Chaiser Thomas (LIB),Todd Schleiger / Earl P. Lackie (UST),Jennifer V. Kurland / Charin H. Davenport (GRN),Keith Butkovich / Raymond Warner (NLP),Write In
Totals,459016,283522,61%,129988,141629,4773,1357,2014,527,327
Ada Township Precinct 1,1184,871,73%,442,399,12,2,2,1,2
Ada Township Precinct 2,2221,1588,71%,809,731,22,6,5,1,2
Ada Township Precinct 3,1308,942,72%,525,386,16,3,2,1,1
Ada Township Precinct 4,1038,785,75%,499,265,6,2,3,0,0
Ada Township Precinct 5,1910,1374,71%,818,502,32,4,9,0,2
Ada Township Precinct 6,892,612,68%,295,293,10,2,4,0,2
Ada Township Precinct 7,1078,793,73%,394,376,12,0,7,0,0
Ada Township Precinct 8,1120,816,72%,439,357,11,1,2,0,0
Algoma Township Precinct 1,1246,830,66%,513,277,20,5,4,1,0
Algoma Township Precinct 2,1512,1078,71%,659,372,14,6,11,2,2
Algoma Township Precinct 3,1597,1108,69%,695,360,23,10,5,0,2
Algoma Township Precinct 4,1731,1092,63%,587,441,31,8,5,3,0
Algoma Township Precinct 5,2098,1452,69%,795,611,19,6,3,1,0
Alpine Township Precinct 1,1052,688,65%,415,244,11,3,4,1,0
Alpine Township Precinct 2,1344,835,62%,351,439,17,11,7,1,0
Alpine Township Precinct 3,2208,1494,67%,697,727,21,14,15,0,5
Alpine Township Precinct 4,2164,1175,54%,637,473,18,5,19,2,0
Alpine Township Precinct 5,1013,694,68%,408,261,9,3,2,5,0
Alpine Township Precinct 6,1936,672,34%,152,463,18,6,19,1,3
Bowne Township Precinct 1,2363,1677,70%,1193,429,20,10,6,3,0
Byron Township Precinct 1,2421,1747,72%,1264,414,31,7,10,3,3
Byron Township Precinct 2,2599,1956,75%,1319,581,18,6,3,3,1
Byron Township Precinct 3,2685,1108,41%,488,540,30,9,14,6,3
Byron Township Precinct 4,2009,1514,75%,1161,317,19,4,3,3,1
Byron Township Precinct 5,2372,1731,72%,1299,391,21,3,7,0,0
Byron Township Precinct 6,1468,1077,73%,693,344,18,6,7,1,1
Byron Township Precinct 7,2234,1469,65%,931,485,27,6,3,0,5
Byron Township Precinct 8,2169,1526,70%,892,589,17,7,9,1,2
Caledonia Township Precinct 1,1133,758,66%,421,298,10,6,12,2,1
Caledonia Township Precinct 2,2162,1486,68%,973,476,13,8,6,1,0
Caledonia Township Precinct 3,2063,1480,71%,966,455,28,9,8,3,0
Caledonia Township Precinct 4,1291,953,73%,659,267,16,2,2,1,1
Caledonia Township Precinct 5,2334,1566,67%,1029,487,20,8,8,2,1
Caledonia Township Precinct 6,1871,1284,68%,724,516,22,8,6,3,0
Cannon Township Precinct 1,2060,1524,73%,911,565,22,1,9,4,2
Cannon Township Precinct 2,1931,1341,69%,799,487,27,6,9,1,1
Cannon Township Precinct 3,1591,1175,73%,656,473,24,5,6,0,2
Cannon Township Precinct 4,2241,1608,71%,963,610,15,2,3,2,0
Cannon Township Precinct 5,1562,1147,73%,738,374,16,2,6,1,1
Cannon Township Precinct 6,1862,1343,72%,802,492,17,3,12,2,1
Cascade Charter Township Precinct 1,1348,1041,77%,616,409,2,1,3,0,0
Cascade Charter Township Precinct 2,1661,1245,74%,697,527,15,1,0,0,1
Cascade Charter Township Precinct 3,1105,849,76%,447,376,13,0,7,0,0
Cascade Charter Township Precinct 4,1619,1263,78%,666,556,25,2,2,2,1
Cascade Charter Township Precinct 5,2259,1714,75%,1012,664,14,2,2,1,0
Cascade Charter Township Precinct 6,1465,1097,74%,514,538,21,6,5,1,2
Cascade Charter Township Precinct 7,1187,792,66%,423,340,16,3,4,0,0
Cascade Charter Township Precinct 8,1292,1035,80%,502,504,13,3,4,1,1
Cascade Charter Township Precinct 9,1392,1098,78%,578,489,15,1,3,1,0
Cascade Charter Township Precinct 10,1318,974,73%,561,378,18,5,3,1,0
Cedar Springs Precinct 1,2310,1087,47%,599,417,30,12,9,2,2
Courtland Township Precinct 1,2011,1433,71%,840,545,20,8,6,1,3
Courtland Township Precinct 2,2201,1518,68%,952,500,22,11,8,3,1
Courtland Township Precinct 3,2268,1427,62%,888,487,18,7,8,4,3
East Grand Rapids Ward 1 Precinct 1,1509,1137,75%,415,692,10,1,3,1,0
East Grand Rapids Ward 1 Precinct 2,1476,1134,76%,476,629,14,1,4,0,0
East Grand Rapids Ward 2 Precinct 3,1514,1116,73%,404,689,8,0,3,0,1
East Grand Rapids Ward 2 Precinct 4,1391,1052,75%,363,664,10,2,3,0,0
East Grand Rapids Ward 3 Precinct 5,1476,1091,73%,364,705,14,1,4,0,0
East Grand Rapids Ward 3 Precinct 6,1506,1125,74%,341,759,11,0,6,0,0
Gaines Charter Township Precinct 1,2081,1502,72%,1077,386,15,7,12,1,0
Gaines Charter Township Precinct 2,1630,1069,65%,602,441,19,2,0,2,0
Gaines Charter Township Precinct 3,2172,1272,58%,793,428,23,7,6,2,1
Gaines Charter Township Precinct 4,2879,1178,40%,513,579,32,14,22,3,4
Gaines Charter Township Precinct 5,1905,937,49%,347,556,13,3,10,2,1
Gaines Charter Township Precinct 6,1965,1385,70%,911,440,14,5,2,2,1
Gaines Charter Township Precinct 7,2566,1811,70%,1151,604,22,9,7,2,0
Gaines Charter Township Precinct 8,2266,1430,63%,863,514,19,7,7,2,2
Gaines Charter Township Precinct 9,1764,1133,64%,536,574,13,0,4,0,1
Grand Rapids Ward 1 Precinct 1,2432,1089,44%,280,744,26,7,8,6,2
Grand Rapids Ward 1 Precinct 2,1324,516,38%,89,388,18,6,9,1,0
Grand Rapids Ward 1 Precinct 3,1992,1336,67%,396,899,17,4,4,2,2
Grand Rapids Ward 1 Precinct 4,1786,1157,64%,242,871,12,7,9,2,0
Grand Rapids Ward 1 Precinct 5,1312,691,52%,171,471,20,1,10,3,0
Grand Rapids Ward 1 Precinct 6,2149,1457,67%,625,782,12,7,7,6,0
Grand Rapids Ward 1 Precinct 7,937,622,66%,278,312,14,2,4,5,0
Grand Rapids Ward 1 Precinct 8,1265,920,72%,313,549,27,7,12,3,3
Grand Rapids Ward 1 Precinct 9,2671,895,33%,186,663,12,3,18,1,2
Grand Rapids Ward 1 Precinct 10,1757,1061,60%,373,636,17,1,8,4,1
Grand Rapids Ward 1 Precinct 11,819,634,77%,305,310,5,4,6,0,1
Grand Rapids Ward 1 Precinct 12,1895,732,38%,150,532,17,11,8,1,1
