TOTALS: 249 of 249 Precincts ,RegisteredVoters,BallotsCast,Turnout,KathyS.Crosby,CarlosSanchez,SherylSiegel,TroyWilliams,WriteIn
Totals,454381,278802,61%,107740,85153,85430,63305,3293
Ada Township  Precinct 1,1184,871,73%,408,269,240,153,2
Ada Township  Precinct 2,2221,1588,71%,501,480,488,257,12
Ada Township  Precinct 3,1308,942,72%,326,241,318,219,14
Ada Township  Precinct 4,1038,785,75%,302,210,186,193,4
Ada Township  Precinct 5,1910,1374,71%,579,395,392,260,13
Ada Township  Precinct 6,892,612,68%,199,181,206,106,5
Ada Township  Precinct 7,1078,793,73%,301,260,251,153,2
Ada Township  Precinct 8,1120,816,72%,336,210,178,221,4
Algoma Township  Precinct 1,1246,830,66%,364,203,233,190,6
Algoma Township  Precinct 2,1512,1078,71%,313,239,340,249,2
Algoma Township  Precinct 3,1597,1108,69%,357,219,431,319,13
Algoma Township  Precinct 4,1731,1092,63%,388,206,255,269,6
Algoma Township  Precinct 5,2098,1452,69%,526,331,403,260,4
Alpine Township  Precinct 1,1052,688,65%,219,214,228,144,4
Alpine Township  Precinct 2,1344,835,62%,324,200,352,192,4
Alpine Township  Precinct 3,2208,1494,67%,682,327,465,426,25
Alpine Township  Precinct 4,2164,1175,54%,475,313,364,253,12
Alpine Township  Precinct 5,1013,694,68%,216,174,268,181,8
Alpine Township  Precinct 6,1936,672,34%,256,203,241,155,15
Bowne Township  Precinct 1,2363,1656,70%,623,307,399,568,14
Byron Township  Precinct 1,2421,1747,72%,688,391,453,386,24
Byron Township  Precinct 2,2599,1956,75%,638,539,631,515,9
Byron Township  Precinct 3,2685,1108,41%,394,248,435,308,32
Byron Township  Precinct 4,2009,1514,75%,534,267,395,548,5
Byron Township  Precinct 5,2372,1726,72%,680,410,430,413,8
Byron Township  Precinct 6,1468,1077,73%,327,323,345,255,8
Byron Township  Precinct 7,2234,1469,65%,435,289,612,419,10
Byron Township  Precinct 8,2169,1526,70%,656,334,426,434,12
Caledonia Township  Precinct 1,1133,758,66%,316,203,223,161,7
Caledonia Township  Precinct 2,2162,1486,68%,489,434,492,378,7
Caledonia Township  Precinct 3,2063,1480,71%,496,323,539,447,13
Caledonia Township  Precinct 4,1291,953,73%,379,173,267,267,10
Caledonia Township  Precinct 5,2334,1566,67%,668,411,461,337,17
Caledonia Township  Precinct 6,1871,1284,68%,470,347,498,296,11
Cannon Township  Precinct 1,2060,1524,73%,501,341,519,351,14
Cannon Township  Precinct 2,1931,1341,69%,566,308,359,370,15
Cannon Township  Precinct 3,1591,1175,73%,481,301,319,227,16
Cannon Township  Precinct 4,2241,1608,71%,546,518,518,365,16
Cannon Township  Precinct 5,1562,1147,73%,414,264,403,306,11
Cannon Township  Precinct 6,1862,1343,72%,504,286,339,375,9
Cascade Charter Township  Precinct 1,1348,1041,77%,448,334,297,205,0
Cascade Charter Township  Precinct 2,1661,1245,74%,453,430,431,218,7
Cascade Charter Township  Precinct 3,1105,849,76%,328,256,277,168,9
Cascade Charter Township  Precinct 4,1619,1263,78%,537,370,318,283,11
Cascade Charter Township  Precinct 5,2259,1714,75%,771,535,497,332,11
Cascade Charter Township  Precinct 6,1465,1097,74%,417,350,387,216,5
Cascade Charter Township  Precinct 7,1187,792,66%,295,225,292,175,4
Cascade Charter Township  Precinct 8,1292,1035,80%,418,326,310,211,8
Cascade Charter Township  Precinct 9,1392,1098,78%,480,336,299,186,3
Cascade Charter Township  Precinct 10,1318,974,73%,302,287,322,191,11
Cedar Springs  Precinct 1,2310,1087,47%,373,205,429,337,8
Courtland Township  Precinct 1,2011,1433,71%,496,369,460,346,9
Courtland Township  Precinct 2,2201,1518,68%,475,257,556,446,17
Courtland Township  Precinct 3,2268,1427,62%,595,283,379,408,16
East Grand Rapids  Ward 1  Precinct 1,1509,1137,75%,430,447,345,166,1
East Grand Rapids  Ward 1  Precinct 2,1476,1134,76%,463,445,328,118,8
East Grand Rapids  Ward 2  Precinct 3,1514,1116,73%,388,451,333,155,12
East Grand Rapids  Ward 2  Precinct 4,1391,1052,75%,388,379,310,173,13
East Grand Rapids  Ward 3  Precinct 5,1476,1091,73%,451,413,228,158,9
East Grand Rapids  Ward 3  Precinct 6,1506,1125,74%,456,448,311,135,12
Gaines Charter Township  Precinct 1,2081,1502,72%,604,362,392,359,9
Gaines Charter Township  Precinct 2,1630,1069,65%,335,361,347,266,15
Gaines Charter Township  Precinct 3,2172,1272,58%,379,247,502,366,28
Gaines Charter Township  Precinct 4,2879,1178,40%,519,311,342,370,28
Gaines Charter Township  Precinct 5,1905,937,49%,386,327,248,213,29
Gaines Charter Township  Precinct 6,1965,1385,70%,435,423,459,345,16
Gaines Charter Township  Precinct 7,2566,1811,70%,633,404,694,532,18
Gaines Charter Township  Precinct 8,2266,1430,63%,640,348,384,475,20
Gaines Charter Township  Precinct 9,1764,1133,64%,494,407,303,289,14
Grand Rapids  Ward 1  Precinct 1,2432,1089,44%,363,390,374,197,26
Grand Rapids  Ward 1  Precinct 2,1324,516,38%,202,189,179,94,8
Grand Rapids  Ward 1  Precinct 3,1992,1336,67%,581,518,337,299,7
Grand Rapids  Ward 1  Precinct 4,1786,1157,64%,486,530,278,162,7
Grand Rapids  Ward 1  Precinct 5,1312,691,52%,200,286,212,106,15
Grand Rapids  Ward 1  Precinct 6,2149,1457,67%,543,408,550,345,12
Grand Rapids  Ward 1  Precinct 7,937,622,66%,270,189,142,151,10
Grand Rapids  Ward 1  Precinct 8,1265,920,72%,411,374,262,135,11
Grand Rapids  Ward 1  Precinct 9,2671,895,33%,312,335,329,137,19
Grand Rapids  Ward 1  Precinct 10,1757,1061,60%,408,329,381,234,10
Grand Rapids  Ward 1  Precinct 11,819,634,77%,282,215,151,161,5
Grand Rapids  Ward 1  Precinct 12,1895,732,38%,290,248,188,99,12
Grand Rapids  Ward 1  Precinct 13,2150,940,43%,327,371,265,173,19
Grand Rapids  Ward 1  Precinct 14,2101,1271,60%,474,397,417,262,14
Grand Rapids  Ward 1  Precinct 15,2003,573,28%,220,328,121,101,6
Grand Rapids  Ward 1  Precinct 16,2074,678,32%,226,360,162,109,6
Grand Rapids  Ward 1  Precinct 17,2352,1170,49%,399,413,396,208,17
Grand Rapids  Ward 1  Precinct 18,1152,438,38%,159,176,120,113,14
Grand Rapids  Ward 1  Precinct 19,2134,990,46%,429,312,268,236,22
Grand Rapids  Ward 1  Precinct 20,2160,1614,74%,742,538,462,302,19
Grand Rapids  Ward 1  Precinct 21,1827,1363,74%,467,491,480,284,15
Grand Rapids  Ward 1  Precinct 22,747,238,31%,76,110,54,72,5
Grand Rapids  Ward 1  Precinct 23,1820,1338,73%,588,385,330,353,8
Grand Rapids  Ward 1  Precinct 24,1782,479,26%,175,236,91,93,6
Grand Rapids  Ward 2  Precinct 25,1324,797,60%,262,347,265,115,15
Grand Rapids  Ward 2  Precinct 26,1710,1009,59%,371,355,359,210,9
Grand Rapids  Ward 2  Precinct 27,1297,757,58%,318,251,195,155,8
Grand Rapids  Ward 2  Precinct 28,2027,1159,57%,507,447,343,176,13
Grand Rapids  Ward 2  Precinct 29,1926,806,41%,297,340,262,133,7
Grand Rapids  Ward 2  Precinct 30,1694,1248,73%,487,485,379,198,8
Grand Rapids  Ward 2  Precinct 31,2277,1205,52%,503,406,284,254,13
Grand Rapids  Ward 2  Precinct 32,1428,746,52%,318,247,227,113,6
Grand Rapids  Ward 2  Precinct 33,1072,742,69%,289,331,224,87,9
Grand Rapids  Ward 2  Precinct 34,2128,1247,58%,423,396,425,344,15
Grand Rapids  Ward 2  Precinct 35,1960,1356,69%,626,466,366,313,20
Grand Rapids  Ward 2  Precinct 36,1025,560,54%,255,189,163,101,11
Grand Rapids  Ward 2  Precinct 37,2460,1635,66%,563,626,539,310,19
Grand Rapids  Ward 2  Precinct 38,2774,1449,52%,509,445,445,235,33
Grand Rapids  Ward 2  Precinct 39,1064,600,56%,251,252,131,80,6
Grand Rapids  Ward 2  Precinct 40,1864,1218,65%,522,557,292,119,32
"
    
    
    Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,931,940,941,550,52
Grand Rapids  Ward 2  Precinct 42,1918,1359,70%,541,442,467,237,6
Grand Rapids  Ward 2  Precinct 43,1741,1142,65%,467,357,307,244,15
Grand Rapids  Ward 2  Precinct 44,1887,1259,66%,604,443,432,214,8
Grand Rapids  Ward 2  Precinct 45,2124,1495,70%,567,624,466,270,11
Grand Rapids  Ward 2  Precinct 46,2268,1248,55%,474,381,452,278,20
Grand Rapids  Ward 2  Precinct 47,1676,1275,76%,607,515,314,250,10
Grand Rapids  Ward 2  Precinct 48,1482,840,56%,374,336,250,116,11
Grand Rapids  Ward 2  Precinct 49,2046,1136,55%,408,444,337,147,30
Grand Rapids  Ward 2  Precinct 50,2306,1432,62%,599,577,412,222,17
Grand Rapids  Ward 3  Precinct 51,1724,885,51%,370,307,212,269,20
Grand Rapids  Ward 3  Precinct 52,915,521,56%,220,242,119,103,5
Grand Rapids  Ward 3  Precinct 53,2863,1739,60%,608,685,540,340,15
Grand Rapids  Ward 3  Precinct 54,1502,1022,68%,394,328,332,240,10
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,590,523,374,336,17
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,586,512,368,294,7
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,283,351,239,203,4
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,462,397,371,261,13
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,714,614,381,365,11
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,593,650,320,213,10
Grand Rapids  Ward 3  Precinct 61,899,571,63%,242,237,163,71,6
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,308,344,249,254,15
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,379,409,184,264,10
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,404,308,234,180,15
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,327,416,294,248,14
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,286,333,206,232,24
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,440,428,209,296,16
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,509,547,252,166,19
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,355,384,316,178,2
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,236,237,175,177,24
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,422,391,201,193,28
Grand Rapids  Ward 3  Precinct 72,871,603,69%,235,230,152,89,5
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,246,321,250,149,13
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,294,280,243,179,11
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,271,236,136,148,8
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,255,262,168,163,18
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,317,402,271,181,12
