TOTALS: 9 of 9 Precincts ,RegisteredVoters,BallotsCast,Turnout,VasChristopoulos (REP),WriteIn
Totals,13639,9935,72%,6613,350
Grand Rapids Charter Township Precinct 1,1513,1075,71%,773,22
Grand Rapids Charter Township Precinct 2,1016,738,72%,494,25
Grand Rapids Charter Township Precinct 3,1812,1358,74%,866,45
Grand Rapids Charter Township Precinct 4,1733,1263,72%,858,48
Grand Rapids Charter Township Precinct 5,1863,1364,73%,859,62
Grand Rapids Charter Township Precinct 6,1720,1276,74%,828,49
Grand Rapids Charter Township Precinct 7,1043,669,64%,441,23
Grand Rapids Charter Township Precinct 8,1783,1300,72%,861,58
Grand Rapids Charter Township Precinct 9,1156,892,77%,633,18
