TOTALS: 15 of 15 Precincts ,RegisteredVoters,BallotsCast,Turnout,ChristopherOrme,WriteIn
Totals,28826,17165,59%,11546,147
Byron Township Precinct 4,2009,31,1%,24,0
Grandville Precinct 1,1577,1029,65%,709,4
Grandville Precinct 2,2014,1232,61%,863,12
Grandville Precinct 3,2197,1391,63%,946,11
Grandville Precinct 4,1979,1483,74%,1030,4
Grandville Precinct 5,2147,1489,69%,1045,13
Grandville Precinct 6,1655,1179,71%,812,14
Walker Ward 3 Precinct 7,1966,559,28%,376,5
Walker Ward 3 Precinct 8,1759,1268,72%,843,7
Walker Ward 3 Precinct 9,1981,1274,64%,881,13
Wyoming Ward 3 Precinct 24,2330,1202,51%,782,10
Wyoming Ward 3 Precinct 25,1673,1175,70%,734,15
Wyoming Ward 3 Precinct 28,1984,1344,67%,889,18
Wyoming Ward 3 Precinct 29,1566,1104,70%,707,9
Wyoming Ward 3 Precinct 30,1989,1405,70%,905,12
