TOTALS: 30 of 30 Precincts ,RegisteredVoters,BallotsCast,Turnout,StevenM.Timmers,WriteIn
Totals,50378,26960,53%,18764,553
Wyoming  Ward 1  Precinct 1,1870,915,48%,676,15
Wyoming  Ward 1  Precinct 2,1311,535,40%,394,17
Wyoming  Ward 1  Precinct 3,2130,940,44%,671,23
Wyoming  Ward 1  Precinct 4,2019,1071,53%,773,15
Wyoming  Ward 1  Precinct 5,2086,1037,49%,739,22
Wyoming  Ward 1  Precinct 6,1502,729,48%,548,23
Wyoming  Ward 1  Precinct 7,1890,1143,60%,811,13
Wyoming  Ward 1  Precinct 8,1230,576,46%,415,8
Wyoming  Ward 1  Precinct 9,2268,1029,45%,759,30
Wyoming  Ward 2  Precinct 10,1478,665,44%,479,16
Wyoming  Ward 2  Precinct 11,1351,568,42%,386,16
Wyoming  Ward 2  Precinct 12,1280,508,39%,353,17
Wyoming  Ward 2  Precinct 13,1666,873,52%,623,22
Wyoming  Ward 2  Precinct 14,1166,666,57%,499,5
Wyoming  Ward 2  Precinct 15,968,530,54%,378,9
Wyoming  Ward 2  Precinct 16,1352,771,57%,533,13
Wyoming  Ward 2  Precinct 17,1923,793,41%,535,41
Wyoming  Ward 2  Precinct 18,1211,667,55%,465,16
Wyoming  Ward 2  Precinct 19,1853,1047,56%,706,37
Wyoming  Ward 2  Precinct 20,1939,1002,51%,712,24
Wyoming  Ward 3  Precinct 21,2306,1266,54%,868,26
Wyoming  Ward 3  Precinct 22,1327,781,58%,544,21
Wyoming  Ward 3  Precinct 23,2223,1060,47%,710,30
Wyoming  Ward 3  Precinct 24,2330,1202,51%,821,10
TOTALS: 30 of 30 Precincts ,RegisteredVoters,BallotsCast,Turnout,StevenM.Timmers,WriteIn
Wyoming  Ward 3  Precinct 25,1673,1175,70%,752,17
Wyoming  Ward 3  Precinct 26,1254,791,63%,539,11
Wyoming  Ward 3  Precinct 27,1233,767,62%,499,7
Wyoming  Ward 3  Precinct 28,1984,1344,67%,915,20
Wyoming  Ward 3  Precinct 29,1566,1104,70%,731,17
Wyoming  Ward 3  Precinct 30,1989,1405,70%,930,12
