TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,PatriciaD.Gardner,G.PatrickHillary,WriteIn
Totals,459016,283517,61%,175570,158795,3778
Ada Township  Precinct 1,1184,871,73%,565,528,2
Ada Township  Precinct 2,2221,1588,71%,912,894,8
Ada Township  Precinct 3,1308,942,72%,570,539,14
Ada Township  Precinct 4,1038,785,75%,453,472,7
Ada Township  Precinct 5,1910,1374,71%,853,799,12
Ada Township  Precinct 6,892,612,68%,347,348,4
Ada Township  Precinct 7,1078,793,73%,471,459,5
Ada Township  Precinct 8,1120,816,72%,484,492,4
Algoma Township  Precinct 1,1246,830,66%,536,477,6
Algoma Township  Precinct 2,1512,1078,71%,558,573,7
Algoma Township  Precinct 3,1597,1108,69%,688,625,13
Algoma Township  Precinct 4,1731,1092,63%,575,565,5
Algoma Township  Precinct 5,2098,1452,69%,784,749,1
Alpine Township  Precinct 1,1052,688,65%,411,392,1
Alpine Township  Precinct 2,1344,835,62%,572,477,7
Alpine Township  Precinct 3,2208,1494,67%,957,914,20
Alpine Township  Precinct 4,2164,1175,54%,766,641,20
Alpine Township  Precinct 5,1013,694,68%,403,405,9
Alpine Township  Precinct 6,1936,672,34%,436,309,24
Bowne Township  Precinct 1,2363,1677,70%,971,1054,12
Byron Township  Precinct 1,2421,1747,72%,1011,987,20
Byron Township  Precinct 2,2599,1956,75%,1190,1252,9
Byron Township  Precinct 3,2685,1108,41%,749,566,29
Byron Township  Precinct 4,2009,1514,75%,871,961,8
Byron Township  Precinct 5,2372,1731,72%,1031,1012,6
Byron Township  Precinct 6,1468,1077,73%,628,646,4
Byron Township  Precinct 7,2234,1469,65%,938,880,7
Byron Township  Precinct 8,2169,1526,70%,960,934,13
Caledonia Township  Precinct 1,1133,758,66%,478,431,9
Caledonia Township  Precinct 2,2162,1486,68%,901,899,8
Caledonia Township  Precinct 3,2063,1480,71%,927,895,10
Caledonia Township  Precinct 4,1291,953,73%,548,562,10
Caledonia Township  Precinct 5,2334,1566,67%,1010,928,11
Caledonia Township  Precinct 6,1871,1284,68%,822,799,9
Cannon Township  Precinct 1,2060,1524,73%,901,836,8
Cannon Township  Precinct 2,1931,1341,69%,782,784,17
Cannon Township  Precinct 3,1591,1175,73%,716,661,15
Cannon Township  Precinct 4,2241,1608,71%,997,990,14
Cannon Township  Precinct 5,1562,1147,73%,741,677,10
Cannon Township  Precinct 6,1862,1343,72%,762,771,8
Cascade Charter Township  Precinct 1,1348,1041,77%,661,632,2
Cascade Charter Township  Precinct 2,1661,1245,74%,775,786,9
Cascade Charter Township  Precinct 3,1105,849,76%,530,500,9
Cascade Charter Township  Precinct 4,1619,1263,78%,764,769,9
Cascade Charter Township  Precinct 5,2259,1714,75%,1102,1036,9
Cascade Charter Township  Precinct 6,1465,1097,74%,682,676,8
Cascade Charter Township  Precinct 7,1187,792,66%,518,473,4
Cascade Charter Township  Precinct 8,1292,1035,80%,634,626,8
Cascade Charter Township  Precinct 9,1392,1098,78%,701,619,4
Cascade Charter Township  Precinct 10,1318,974,73%,567,580,8
Cedar Springs  Precinct 1,2310,1087,47%,699,605,9
Courtland Township  Precinct 1,2011,1433,71%,808,832,11
Courtland Township  Precinct 2,2201,1518,68%,922,831,15
Courtland Township  Precinct 3,2268,1427,62%,811,805,17
East Grand Rapids  Ward 1  Precinct 1,1509,1137,75%,713,651,3
East Grand Rapids  Ward 1  Precinct 2,1476,1134,76%,686,643,5
East Grand Rapids  Ward 2  Precinct 3,1514,1116,73%,642,641,8
East Grand Rapids  Ward 2  Precinct 4,1391,1052,75%,653,603,18
East Grand Rapids  Ward 3  Precinct 5,1476,1091,73%,637,610,3
East Grand Rapids  Ward 3  Precinct 6,1506,1125,74%,681,636,10
Gaines Charter Township  Precinct 1,2081,1502,72%,889,881,17
Gaines Charter Township  Precinct 2,1630,1069,65%,645,639,20
Gaines Charter Township  Precinct 3,2172,1272,58%,817,720,30
Gaines Charter Township  Precinct 4,2879,1178,40%,776,659,39
Gaines Charter Township  Precinct 5,1905,937,49%,591,492,34
Gaines Charter Township  Precinct 6,1965,1385,70%,854,855,24
Gaines Charter Township  Precinct 7,2566,1811,70%,1187,1126,20
Gaines Charter Township  Precinct 8,2266,1430,63%,924,915,18
Gaines Charter Township  Precinct 9,1764,1133,64%,757,670,29
Grand Rapids  Ward 1  Precinct 1,2432,1089,44%,641,529,29
Grand Rapids  Ward 1  Precinct 2,1324,516,38%,323,258,14
Grand Rapids  Ward 1  Precinct 3,1992,1336,67%,838,741,12
Grand Rapids  Ward 1  Precinct 4,1786,1157,64%,726,615,2
Grand Rapids  Ward 1  Precinct 5,1312,691,52%,402,327,13
Grand Rapids  Ward 1  Precinct 6,2149,1457,67%,935,832,14
Grand Rapids  Ward 1  Precinct 7,937,622,66%,356,343,7
Grand Rapids  Ward 1  Precinct 8,1265,920,72%,546,531,11
Grand Rapids  Ward 1  Precinct 9,2671,895,33%,536,424,21
Grand Rapids  Ward 1  Precinct 10,1757,1061,60%,674,561,15
Grand Rapids  Ward 1  Precinct 11,819,634,77%,373,382,3
Grand Rapids  Ward 1  Precinct 12,1895,732,38%,393,298,15
Grand Rapids  Ward 1  Precinct 13,2150,940,43%,554,456,15
Grand Rapids  Ward 1  Precinct 14,2101,1271,60%,792,642,17
Grand Rapids  Ward 1  Precinct 15,2003,573,28%,402,259,11
Grand Rapids  Ward 1  Precinct 16,2074,678,32%,458,296,12
Grand Rapids  Ward 1  Precinct 17,2352,1170,49%,705,594,17
Grand Rapids  Ward 1  Precinct 18,1152,438,38%,283,181,24
Grand Rapids  Ward 1  Precinct 19,2134,990,46%,615,500,32
Grand Rapids  Ward 1  Precinct 20,2160,1614,74%,1029,965,22
Grand Rapids  Ward 1  Precinct 21,1827,1363,74%,818,849,18
Grand Rapids  Ward 1  Precinct 22,747,238,31%,146,113,9
