TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,MarkA.Trusock,ChristopherP.Yates,WriteIn
Totals,459016,283517,61%,165193,169095,4037
Ada Township  Precinct 1,1184,871,73%,546,553,1
Ada Township  Precinct 2,2221,1588,71%,854,935,10
Ada Township  Precinct 3,1308,942,72%,571,564,11
Ada Township  Precinct 4,1038,785,75%,447,460,4
Ada Township  Precinct 5,1910,1374,71%,846,833,13
Ada Township  Precinct 6,892,612,68%,341,358,9
Ada Township  Precinct 7,1078,793,73%,467,456,3
Ada Township  Precinct 8,1120,816,72%,482,521,3
Algoma Township  Precinct 1,1246,830,66%,521,478,6
Algoma Township  Precinct 2,1512,1078,71%,596,579,5
Algoma Township  Precinct 3,1597,1108,69%,693,635,12
Algoma Township  Precinct 4,1731,1092,63%,576,572,4
Algoma Township  Precinct 5,2098,1452,69%,794,747,2
Alpine Township  Precinct 1,1052,688,65%,432,398,7
Alpine Township  Precinct 2,1344,835,62%,536,510,10
Alpine Township  Precinct 3,2208,1494,67%,978,936,19
Alpine Township  Precinct 4,2164,1175,54%,770,658,17
Alpine Township  Precinct 5,1013,694,68%,433,403,10
Alpine Township  Precinct 6,1936,672,34%,354,377,25
Bowne Township  Precinct 1,2363,1677,70%,977,1061,14
Byron Township  Precinct 1,2421,1747,72%,1072,983,18
Byron Township  Precinct 2,2599,1956,75%,1247,1254,7
Byron Township  Precinct 3,2685,1108,41%,649,650,25
Byron Township  Precinct 4,2009,1514,75%,907,939,9
Byron Township  Precinct 5,2372,1731,72%,1069,977,5
Byron Township  Precinct 6,1468,1077,73%,630,664,4
Byron Township  Precinct 7,2234,1469,65%,951,878,9
Byron Township  Precinct 8,2169,1526,70%,916,975,13
Caledonia Township  Precinct 1,1133,758,66%,457,445,7
Caledonia Township  Precinct 2,2162,1486,68%,891,934,11
Caledonia Township  Precinct 3,2063,1480,71%,942,898,9
Caledonia Township  Precinct 4,1291,953,73%,543,562,10
Caledonia Township  Precinct 5,2334,1566,67%,996,944,13
Caledonia Township  Precinct 6,1871,1284,68%,768,842,13
Cannon Township  Precinct 1,2060,1524,73%,878,856,13
Cannon Township  Precinct 2,1931,1341,69%,782,804,16
Cannon Township  Precinct 3,1591,1175,73%,713,676,13
Cannon Township  Precinct 4,2241,1608,71%,981,1027,14
Cannon Township  Precinct 5,1562,1147,73%,732,681,13
Cannon Township  Precinct 6,1862,1343,72%,782,807,4
Cascade Charter Township  Precinct 1,1348,1041,77%,657,638,0
Cascade Charter Township  Precinct 2,1661,1245,74%,774,802,6
Cascade Charter Township  Precinct 3,1105,849,76%,524,516,9
Cascade Charter Township  Precinct 4,1619,1263,78%,733,781,14
Cascade Charter Township  Precinct 5,2259,1714,75%,1110,1067,7
Cascade Charter Township  Precinct 6,1465,1097,74%,675,693,6
Cascade Charter Township  Precinct 7,1187,792,66%,487,504,4
Cascade Charter Township  Precinct 8,1292,1035,80%,593,657,9
Cascade Charter Township  Precinct 9,1392,1098,78%,667,670,6
Cascade Charter Township  Precinct 10,1318,974,73%,559,605,8
Cedar Springs  Precinct 1,2310,1087,47%,685,649,12
Courtland Township  Precinct 1,2011,1433,71%,815,823,16
Courtland Township  Precinct 2,2201,1518,68%,929,824,19
Courtland Township  Precinct 3,2268,1427,62%,803,835,23
East Grand Rapids  Ward 1  Precinct 1,1509,1137,75%,630,740,2
East Grand Rapids  Ward 1  Precinct 2,1476,1134,76%,631,736,4
East Grand Rapids  Ward 2  Precinct 3,1514,1116,73%,593,713,5
East Grand Rapids  Ward 2  Precinct 4,1391,1052,75%,584,674,21
East Grand Rapids  Ward 3  Precinct 5,1476,1091,73%,575,719,3
East Grand Rapids  Ward 3  Precinct 6,1506,1125,74%,622,735,7
Gaines Charter Township  Precinct 1,2081,1502,72%,926,877,17
Gaines Charter Township  Precinct 2,1630,1069,65%,626,669,21
Gaines Charter Township  Precinct 3,2172,1272,58%,817,743,32
Gaines Charter Township  Precinct 4,2879,1178,40%,686,750,56
Gaines Charter Township  Precinct 5,1905,937,49%,546,547,40
Gaines Charter Township  Precinct 6,1965,1385,70%,854,902,25
Gaines Charter Township  Precinct 7,2566,1811,70%,1221,1116,22
Gaines Charter Township  Precinct 8,2266,1430,63%,898,951,17
Gaines Charter Township  Precinct 9,1764,1133,64%,696,711,32
Grand Rapids  Ward 1  Precinct 1,2432,1089,44%,556,605,25
Grand Rapids  Ward 1  Precinct 2,1324,516,38%,272,297,16
Grand Rapids  Ward 1  Precinct 3,1992,1336,67%,738,820,20
Grand Rapids  Ward 1  Precinct 4,1786,1157,64%,641,667,3
Grand Rapids  Ward 1  Precinct 5,1312,691,52%,356,363,14
Grand Rapids  Ward 1  Precinct 6,2149,1457,67%,900,857,13
Grand Rapids  Ward 1  Precinct 7,937,622,66%,363,361,7
Grand Rapids  Ward 1  Precinct 8,1265,920,72%,522,506,10
Grand Rapids  Ward 1  Precinct 9,2671,895,33%,441,531,24
Grand Rapids  Ward 1  Precinct 10,1757,1061,60%,621,595,19
Grand Rapids  Ward 1  Precinct 11,819,634,77%,357,374,4
Grand Rapids  Ward 1  Precinct 12,1895,732,38%,314,352,20
Grand Rapids  Ward 1  Precinct 13,2150,940,43%,479,546,13
Grand Rapids  Ward 1  Precinct 14,2101,1271,60%,722,719,16
