TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,CurtBenson,AlidaBryant,ChristinaElmore,ScottA.Noto,WriteIn
Totals,459016,283518,61%,101355,84276,99219,88042,3519
Ada Township  Precinct 1,1184,871,73%,367,277,278,280,1
Ada Township  Precinct 2,2221,1588,71%,500,433,531,482,12
Ada Township  Precinct 3,1308,942,72%,335,209,358,309,14
Ada Township  Precinct 4,1038,785,75%,294,176,233,299,3
Ada Township  Precinct 5,1910,1374,71%,606,347,393,448,13
Ada Township  Precinct 6,892,612,68%,199,153,201,208,4
Ada Township  Precinct 7,1078,793,73%,290,187,296,271,5
Ada Township  Precinct 8,1120,816,72%,321,191,251,283,4
Algoma Township  Precinct 1,1246,830,66%,383,193,212,287,4
Algoma Township  Precinct 2,1512,1078,71%,380,214,300,375,8
Algoma Township  Precinct 3,1597,1108,69%,437,215,359,419,14
Algoma Township  Precinct 4,1731,1092,63%,394,263,306,354,0
Algoma Township  Precinct 5,2098,1452,69%,563,342,396,413,2
Alpine Township  Precinct 1,1052,688,65%,259,179,217,223,5
Alpine Township  Precinct 2,1344,835,62%,318,234,362,234,4
Alpine Township  Precinct 3,2208,1494,67%,646,412,477,507,21
Alpine Township  Precinct 4,2164,1175,54%,535,326,343,332,18
Alpine Township  Precinct 5,1013,694,68%,274,177,218,233,9
Alpine Township  Precinct 6,1936,672,34%,160,226,305,140,21
Bowne Township  Precinct 1,2363,1677,70%,692,324,364,789,14
Byron Township  Precinct 1,2421,1747,72%,804,340,349,687,23
Byron Township  Precinct 2,2599,1956,75%,808,422,536,841,12
Byron Township  Precinct 3,2685,1108,41%,366,288,447,348,26
Byron Township  Precinct 4,2009,1514,75%,680,256,273,766,2
Byron Township  Precinct 5,2372,1731,72%,807,321,358,681,11
Byron Township  Precinct 6,1468,1077,73%,392,246,326,434,6
Byron Township  Precinct 7,2234,1469,65%,543,271,503,610,8
Byron Township  Precinct 8,2169,1526,70%,625,390,454,600,12
Caledonia Township  Precinct 1,1133,758,66%,313,210,214,232,7
Caledonia Township  Precinct 2,2162,1486,68%,531,404,441,550,11
Caledonia Township  Precinct 3,2063,1480,71%,574,292,474,643,12
Caledonia Township  Precinct 4,1291,953,73%,370,215,249,378,10
Caledonia Township  Precinct 5,2334,1566,67%,679,386,418,574,13
Caledonia Township  Precinct 6,1871,1284,68%,452,387,453,454,14
Cannon Township  Precinct 1,2060,1524,73%,543,308,520,504,9
Cannon Township  Precinct 2,1931,1341,69%,586,320,385,521,16
Cannon Township  Precinct 3,1591,1175,73%,480,299,323,380,10
Cannon Township  Precinct 4,2241,1608,71%,649,425,522,569,14
Cannon Township  Precinct 5,1562,1147,73%,466,229,409,419,14
Cannon Township  Precinct 6,1862,1343,72%,574,299,332,508,10
Cascade Charter Township  Precinct 1,1348,1041,77%,462,271,336,353,1
Cascade Charter Township  Precinct 2,1661,1245,74%,435,329,424,496,10
Cascade Charter Township  Precinct 3,1105,849,76%,293,212,326,318,7
Cascade Charter Township  Precinct 4,1619,1263,78%,483,332,397,538,7
