TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,JaneMarieBeckering,DouglasB.Shapiro,WriteIn
Totals,459016,283517,61%,177693,161096,3780
Ada Township  Precinct 1,1184,871,73%,580,507,2
Ada Township  Precinct 2,2221,1588,71%,978,891,9
Ada Township  Precinct 3,1308,942,72%,602,534,10
Ada Township  Precinct 4,1038,785,75%,452,459,3
Ada Township  Precinct 5,1910,1374,71%,883,823,11
Ada Township  Precinct 6,892,612,68%,373,342,4
Ada Township  Precinct 7,1078,793,73%,498,447,8
Ada Township  Precinct 8,1120,816,72%,514,500,4
Algoma Township  Precinct 1,1246,830,66%,531,465,7
Algoma Township  Precinct 2,1512,1078,71%,585,590,5
Algoma Township  Precinct 3,1597,1108,69%,691,645,9
Algoma Township  Precinct 4,1731,1092,63%,573,563,3
Algoma Township  Precinct 5,2098,1452,69%,808,746,2
Alpine Township  Precinct 1,1052,688,65%,414,398,5
Alpine Township  Precinct 2,1344,835,62%,567,487,7
Alpine Township  Precinct 3,2208,1494,67%,969,947,20
Alpine Township  Precinct 4,2164,1175,54%,761,657,18
Alpine Township  Precinct 5,1013,694,68%,425,418,9
Alpine Township  Precinct 6,1936,672,34%,421,321,23
Bowne Township  Precinct 1,2363,1677,70%,991,1070,17
Byron Township  Precinct 1,2421,1747,72%,1069,982,16
Byron Township  Precinct 2,2599,1956,75%,1236,1258,4
Byron Township  Precinct 3,2685,1108,41%,703,611,25
Byron Township  Precinct 4,2009,1514,75%,900,940,4
Byron Township  Precinct 5,2372,1731,72%,1057,982,8
Byron Township  Precinct 6,1468,1077,73%,646,655,4
Byron Township  Precinct 7,2234,1469,65%,952,889,10
Byron Township  Precinct 8,2169,1526,70%,991,939,10
Caledonia Township  Precinct 1,1133,758,66%,471,448,6
Caledonia Township  Precinct 2,2162,1486,68%,904,912,11
Caledonia Township  Precinct 3,2063,1480,71%,933,921,4
Caledonia Township  Precinct 4,1291,953,73%,563,572,11
