TOTALS: 27 of 27 Precincts ,RegisteredVoters,BallotsCast,Turnout,PeteBattey,SylviaA.James,JamesLewisJr.,WriteIn
Totals,53072,25474,47%,11703,15335,12709,471
Byron Township  Precinct 3,2685,911,33%,410,529,398,28
Gaines Charter Township  Precinct 2,1630,1069,65%,538,600,543,14
Gaines Charter Township  Precinct 3,2172,954,43%,432,544,470,28
Gaines Charter Township  Precinct 4,2879,1178,40%,498,679,587,44
Gaines Charter Township  Precinct 5,1905,937,49%,420,550,444,27
Gaines Charter Township  Precinct 6,1965,1085,55%,524,603,526,16
Gaines Charter Township  Precinct 9,1764,1133,64%,541,651,598,23
Grand Rapids  Ward 3  Precinct 51,1724,584,33%,198,381,261,13
Grand Rapids  Ward 3  Precinct 54,1502,85,5%,22,44,33,6
Grand Rapids  Ward 3  Precinct 56,2007,181,9%,88,108,86,0
Grand Rapids  Ward 3  Precinct 57,1234,188,15%,67,111,90,1
Grand Rapids  Ward 3  Precinct 58,1771,651,36%,306,401,323,13
Kentwood  Ward 1  Precinct 2,2787,1711,61%,843,1064,858,32
Kentwood  Ward 1  Precinct 3,1524,971,63%,416,582,486,13
Kentwood  Ward 1  Precinct 6,2226,1085,48%,484,632,563,12
Kentwood  Ward 1  Precinct 7,1944,1074,55%,498,661,526,25
Kentwood  Ward 1  Precinct 8,2348,1578,67%,795,1031,877,12
Kentwood  Ward 1  Precinct 9,2145,1149,53%,504,663,576,13
Kentwood  Ward 2  Precinct 10,2150,1401,65%,701,855,671,13
Kentwood  Ward 2  Precinct 11,2803,1759,62%,856,1115,948,35
Kentwood  Ward 2  Precinct 12,1551,929,59%,410,541,481,17
Kentwood  Ward 2  Precinct 13,2030,1207,59%,613,742,597,6
Kentwood  Ward 2  Precinct 14,787,514,65%,244,324,270,3
Kentwood  Ward 2  Precinct 15,2618,1231,47%,533,767,613,41
TOTALS: 27 of 27 Precincts ,RegisteredVoters,BallotsCast,Turnout,PeteBattey,SylviaA.James,JamesLewisJr.,WriteIn
Kentwood  Ward 2  Precinct 17,1674,765,45%,304,479,335,9
Kentwood  Ward 2  Precinct 18,2017,1003,49%,393,601,471,25
Wyoming  Ward 1  Precinct 8,1230,141,11%,65,77,78,2
