TOTALS: 14 of 14 Precincts ,RegisteredVoters,BallotsCast,Turnout,GaryBlough,PatrickD.Nugent,JamesTurner,WriteIn
Totals,25149,10176,40%,6120,6385,5455,96
Ada Township  Precinct 3,1308,70,5%,44,42,37,0
Ada Township  Precinct 5,1910,423,22%,237,273,233,1
Ada Township  Precinct 8,1120,444,39%,254,257,236,3
Bowne Township  Precinct 1,2363,679,28%,454,413,351,6
Cannon Township  Precinct 1,2060,171,8%,93,115,96,1
Cascade Charter Township  Precinct 5,2259,289,12%,161,170,164,1
Cascade Charter Township  Precinct 10,1318,57,4%,40,39,38,0
Grattan Township  Precinct 2,1598,808,50%,486,560,438,8
Lowell  Precinct 1,1606,965,60%,609,643,523,19
Lowell  Precinct 2,1377,738,53%,455,446,394,3
Lowell Charter Township  Precinct 1,2438,1650,67%,1000,997,874,14
Lowell Charter Township  Precinct 2,2269,1350,59%,767,780,724,27
Vergennes Township  Precinct 1,1870,1365,72%,825,871,728,0
Vergennes Township  Precinct 2,1653,1167,70%,695,779,619,13
