TOTALS: 9 of 9 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,17028,8910,52%,5072,3300
Ada Township  Precinct 4,1038,126,12%,55,61
Grand Rapids Charter Township  Precinct 6,1720,175,10%,104,57
Grand Rapids Charter Township  Precinct 7,1043,199,19%,99,77
Grand Rapids Charter Township  Precinct 9,1156,478,41%,253,198
Plainfield Charter Township  Precinct 3,2112,1215,57%,705,428
Plainfield Charter Township  Precinct 4,2300,1467,63%,864,507
Plainfield Charter Township  Precinct 5,2123,1393,65%,788,535
Plainfield Charter Township  Precinct 7,2717,1948,71%,1104,737
Plainfield Charter Township  Precinct 8,2819,1909,67%,1100,700
