TOTALS: 9 of 9 Precincts ,RegisteredVoters,BallotsCast,Turnout,MichelleL.Gallery,JeffreyLambert,ReneeMontgomery,MatthewJ.Nibbelink,TeresaRamirez,GavynWebb,WriteIn
Totals,17028,8910,52%,3528,3079,3243,2217,3107,1658,149
Ada Township  Precinct 4,1038,126,12%,42,51,39,37,27,29,0
Grand Rapids Charter Township  Precinct 6,1720,175,10%,70,76,53,36,46,33,4
Grand Rapids Charter Township  Precinct 7,1043,199,19%,53,50,72,41,63,36,10
Grand Rapids Charter Township  Precinct 9,1156,478,41%,155,142,156,175,121,68,8
Plainfield Charter Township  Precinct 3,2112,1215,57%,466,387,402,276,510,267,15
Plainfield Charter Township  Precinct 4,2300,1467,63%,556,511,523,309,483,359,35
Plainfield Charter Township  Precinct 5,2123,1393,65%,657,484,528,296,531,277,21
Plainfield Charter Township  Precinct 7,2717,1948,71%,727,784,708,545,656,282,25
Plainfield Charter Township  Precinct 8,2819,1909,67%,802,594,762,502,670,307,31
