TOTALS: 9 of 9 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,17028,8910,52%,4748,3623
Ada Township  Precinct 4,1038,126,12%,48,66
Grand Rapids Charter Township  Precinct 6,1720,175,10%,98,64
Grand Rapids Charter Township  Precinct 7,1043,199,19%,103,75
Grand Rapids Charter Township  Precinct 9,1156,478,41%,245,206
Plainfield Charter Township  Precinct 3,2112,1215,57%,665,463
Plainfield Charter Township  Precinct 4,2300,1467,63%,817,553
Plainfield Charter Township  Precinct 5,2123,1393,65%,741,588
Plainfield Charter Township  Precinct 7,2717,1948,71%,976,864
Plainfield Charter Township  Precinct 8,2819,1909,67%,1055,744
