TOTALS: 64 of 64 Precincts ,Registered Voters,Ballots Cast,Turnout,Bill Huizenga (REP),Rob Davidson (DEM),Ronald E. Graeser (UST),Write In
Totals,117320,66812,56%,32182,31822,1085,116
Byron Township Precinct 4,2009,49,2%,44,4,1,0
Grandville Precinct 1,1577,1029,65%,577,413,21,3
Grandville Precinct 2,2014,1232,61%,682,496,19,0
Grandville Precinct 3,2197,1391,63%,831,498,22,4
Grandville Precinct 4,1979,1483,74%,882,563,19,1
Grandville Precinct 5,2147,1489,69%,908,535,17,2
Grandville Precinct 6,1655,1182,71%,735,406,15,3
Kentwood Ward 1 Precinct 1,2072,1009,48%,454,507,22,1
Kentwood Ward 1 Precinct 2,2787,1711,61%,751,898,25,5
Kentwood Ward 1 Precinct 3,1524,971,63%,452,472,15,2
Kentwood Ward 1 Precinct 4,1385,654,47%,246,358,23,3
Kentwood Ward 1 Precinct 5,1192,647,54%,312,309,9,3
Kentwood Ward 1 Precinct 6,2226,1085,48%,491,546,20,2
Kentwood Ward 1 Precinct 7,1944,1075,55%,403,639,13,2
Kentwood Ward 1 Precinct 8,2348,1578,67%,772,770,13,1
Kentwood Ward 1 Precinct 9,2145,1149,53%,437,672,16,1
Kentwood Ward 2 Precinct 10,2150,1401,65%,624,737,5,0
Kentwood Ward 2 Precinct 11,2803,1759,62%,783,922,12,0
Kentwood Ward 2 Precinct 12,1551,929,59%,334,560,14,0
Kentwood Ward 2 Precinct 13,2030,1207,59%,585,591,15,0
Kentwood Ward 2 Precinct 14,787,514,65%,229,258,12,0
Kentwood Ward 2 Precinct 15,2618,1231,47%,328,850,16,3
Kentwood Ward 2 Precinct 16,2612,1825,69%,876,900,14,4
Kentwood Ward 2 Precinct 17,1674,765,45%,255,486,8,0
Kentwood Ward 2 Precinct 18,2017,1003,49%,326,612,24,3
Walker Ward 1 Precinct 1,2037,997,48%,374,576,22,5
Walker Ward 1 Precinct 2,1733,1176,67%,649,483,15,1
Walker Ward 1 Precinct 3,1996,1316,65%,629,621,23,6
Walker Ward 2 Precinct 4,2243,1567,69%,922,590,21,0
Walker Ward 2 Precinct 5,1904,1341,70%,768,523,11,0
Walker Ward 2 Precinct 6,1880,1193,63%,640,479,28,1
Walker Ward 3 Precinct 7,1966,1352,68%,702,578,22,5
Walker Ward 3 Precinct 8,1759,1268,72%,807,423,13,1
Walker Ward 3 Precinct 9,1981,1274,64%,667,573,11,0
Wyoming Ward 1 Precinct 1,1870,915,48%,364,502,32,1
Wyoming Ward 1 Precinct 2,1311,535,40%,205,296,14,3
Wyoming Ward 1 Precinct 3,2130,940,44%,350,539,25,0
Wyoming Ward 1 Precinct 4,2019,1071,53%,486,528,25,3
Wyoming Ward 1 Precinct 5,2086,1037,49%,422,568,26,0
Wyoming Ward 1 Precinct 6,1502,729,48%,275,407,28,5
Wyoming Ward 1 Precinct 7,1890,1143,60%,623,477,22,1
Wyoming Ward 1 Precinct 8,1230,576,46%,266,271,16,1
Wyoming Ward 1 Precinct 9,2268,1029,45%,390,566,32,3
Wyoming Ward 2 Precinct 10,1478,665,44%,238,390,17,1
Wyoming Ward 2 Precinct 11,1351,568,42%,165,371,15,2
Wyoming Ward 2 Precinct 12,1280,508,39%,184,290,12,2
Wyoming Ward 2 Precinct 13,1666,873,52%,399,440,13,0
Wyoming Ward 2 Precinct 14,1166,666,57%,358,281,13,0
Wyoming Ward 2 Precinct 15,968,530,54%,237,262,10,3
Wyoming Ward 2 Precinct 16,1352,771,57%,394,333,18,2
Wyoming Ward 2 Precinct 17,1923,793,41%,273,479,11,2
Wyoming Ward 2 Precinct 18,1211,667,55%,299,340,13,1
Wyoming Ward 2 Precinct 19,1853,1047,56%,448,544,19,3
Wyoming Ward 2 Precinct 20,1939,1002,51%,434,517,22,0
Wyoming Ward 3 Precinct 21,2306,1266,54%,629,571,24,3
Wyoming Ward 3 Precinct 22,1327,781,58%,384,362,16,0
Wyoming Ward 3 Precinct 23,2223,1060,47%,429,579,19,5
Wyoming Ward 3 Precinct 24,2330,1202,51%,582,562,21,3
Wyoming Ward 3 Precinct 25,1673,1175,70%,695,439,11,2
Wyoming Ward 3 Precinct 26,1254,791,63%,402,361,7,1
Wyoming Ward 3 Precinct 27,1233,767,62%,414,322,13,0
Wyoming Ward 3 Precinct 28,1984,1344,67%,795,509,11,3
Wyoming Ward 3 Precinct 29,1566,1104,70%,666,411,10,2
Wyoming Ward 3 Precinct 30,1989,1405,70%,901,457,14,2
