TOTALS: 189 of 189 Precincts ,Registered Voters,Ballots Cast,Turnout,Justin Amash (REP),Cathy Albro (DEM),Ted Gerrard (UST),Write In
Totals,343705,216707,63%,110084,96156,4285,316
Ada Township Precinct 1,1184,871,73%,482,344,20,1
Ada Township Precinct 2,2221,1588,71%,907,615,21,4
Ada Township Precinct 3,1308,942,72%,554,341,24,3
Ada Township Precinct 4,1038,785,75%,501,258,6,0
Ada Township Precinct 5,1910,1374,71%,901,429,18,3
Ada Township Precinct 6,892,612,68%,332,254,6,0
Ada Township Precinct 7,1078,793,73%,441,325,8,0
Ada Township Precinct 8,1120,816,72%,472,316,16,0
Algoma Township Precinct 1,1246,830,66%,559,215,28,0
Algoma Township Precinct 2,1512,1078,71%,730,288,21,1
Algoma Township Precinct 3,1597,1108,69%,760,284,27,2
Algoma Township Precinct 4,1731,1092,63%,624,390,37,1
Algoma Township Precinct 5,2098,1452,69%,888,480,26,0
Alpine Township Precinct 1,1052,688,65%,423,224,18,0
Alpine Township Precinct 2,1344,835,62%,391,392,25,1
Alpine Township Precinct 3,2208,1494,67%,819,597,33,3
Alpine Township Precinct 4,2164,1175,54%,690,424,23,1
Alpine Township Precinct 5,1013,694,68%,443,215,19,2
Alpine Township Precinct 6,1936,672,34%,180,430,30,5
Bowne Township Precinct 1,2363,1677,70%,1225,368,46,0
Byron Township Precinct 1,2421,1747,72%,1329,323,51,4
Byron Township Precinct 2,2599,1956,75%,1444,426,26,0
Byron Township Precinct 3,2685,1108,41%,517,501,38,6
Byron Township Precinct 4,2009,1465,72%,1152,256,27,1
Byron Township Precinct 5,2372,1731,72%,1362,298,27,2
Byron Township Precinct 6,1468,1077,73%,761,268,20,1
Byron Township Precinct 7,2234,1469,65%,1007,390,29,3
Byron Township Precinct 8,2169,1526,70%,942,502,31,2
Caledonia Township Precinct 1,1133,758,66%,474,249,16,0
Caledonia Township Precinct 2,2162,1486,68%,998,408,33,0
Caledonia Township Precinct 3,2063,1480,71%,1013,393,46,1
Caledonia Township Precinct 4,1291,953,73%,661,250,24,0
Caledonia Township Precinct 5,2334,1566,67%,1084,406,33,2
Caledonia Township Precinct 6,1871,1284,68%,791,420,26,3
Cannon Township Precinct 1,2060,1524,73%,995,457,28,2
Cannon Township Precinct 2,1931,1341,69%,875,416,25,1
Cannon Township Precinct 3,1591,1175,73%,701,411,27,2
Cannon Township Precinct 4,2241,1608,71%,1035,503,29,1
Cannon Township Precinct 5,1562,1147,73%,751,323,30,4
Cannon Township Precinct 6,1862,1343,72%,853,422,32,1
Cascade Charter Township Precinct 1,1348,1041,77%,666,339,12,0
Cascade Charter Township Precinct 2,1661,1245,74%,747,452,20,1
Cascade Charter Township Precinct 3,1105,849,76%,499,323,9,1
Cascade Charter Township Precinct 4,1619,1263,78%,743,484,8,1
Cascade Charter Township Precinct 5,2259,1714,75%,1080,574,19,2
Cascade Charter Township Precinct 6,1465,1097,74%,589,449,25,1
Cascade Charter Township Precinct 7,1187,792,66%,442,311,14,0
Cascade Charter Township Precinct 8,1292,1035,80%,545,449,16,3
Cascade Charter Township Precinct 9,1392,1098,78%,626,413,22,2
Cascade Charter Township Precinct 10,1318,974,73%,608,329,11,0
Cedar Springs Precinct 1,2310,1087,47%,656,358,34,2
Courtland Township Precinct 1,2011,1433,71%,898,476,20,2
Courtland Township Precinct 2,2201,1518,68%,1012,420,35,0
Courtland Township Precinct 3,2268,1427,62%,943,412,29,2
East Grand Rapids Ward 1 Precinct 1,1509,1137,75%,455,651,9,0
East Grand Rapids Ward 1 Precinct 2,1476,1134,76%,498,598,17,1
East Grand Rapids Ward 2 Precinct 3,1514,1116,73%,459,630,7,1
East Grand Rapids Ward 2 Precinct 4,1391,1052,75%,418,601,11,0
East Grand Rapids Ward 3 Precinct 5,1476,1091,73%,421,660,3,0
East Grand Rapids Ward 3 Precinct 6,1506,1125,74%,401,696,7,1
Gaines Charter Township Precinct 1,2081,1502,72%,1122,313,27,0
Gaines Charter Township Precinct 2,1630,1069,65%,659,374,15,0
Gaines Charter Township Precinct 3,2172,1272,58%,843,371,28,4
Gaines Charter Township Precinct 4,2879,1178,40%,555,539,48,3
Gaines Charter Township Precinct 5,1905,937,49%,386,508,21,0
Gaines Charter Township Precinct 6,1965,1385,70%,972,357,28,1
Gaines Charter Township Precinct 7,2566,1811,70%,1252,485,31,2
Gaines Charter Township Precinct 8,2266,1430,63%,903,445,37,0
Gaines Charter Township Precinct 9,1764,1133,64%,583,505,17,1
Grand Rapids Ward 1 Precinct 1,2432,1089,44%,321,684,33,7
Grand Rapids Ward 1 Precinct 2,1324,516,38%,132,354,10,0
Grand Rapids Ward 1 Precinct 3,1992,1336,67%,492,806,16,0
Grand Rapids Ward 1 Precinct 4,1786,1157,64%,319,813,8,1
Grand Rapids Ward 1 Precinct 5,1312,691,52%,210,437,14,1
Grand Rapids Ward 1 Precinct 6,2149,1457,67%,699,690,22,2
Grand Rapids Ward 1 Precinct 7,937,622,66%,307,275,17,4
Grand Rapids Ward 1 Precinct 8,1265,920,72%,395,487,16,4
Grand Rapids Ward 1 Precinct 9,2671,895,33%,232,618,15,3
Grand Rapids Ward 1 Precinct 10,1757,1061,60%,418,578,20,0
Grand Rapids Ward 1 Precinct 11,819,634,77%,328,285,11,0
Grand Rapids Ward 1 Precinct 12,1895,732,38%,191,482,28,1
Grand Rapids Ward 1 Precinct 13,2150,940,43%,329,560,22,2
Grand Rapids Ward 1 Precinct 14,2101,1271,60%,520,682,31,1
Grand Rapids Ward 1 Precinct 15,2003,573,28%,80,462,15,1
Grand Rapids Ward 1 Precinct 16,2074,678,32%,115,521,18,0
Grand Rapids Ward 1 Precinct 17,2352,1170,49%,435,646,41,5
Grand Rapids Ward 1 Precinct 18,1152,438,38%,48,363,6,3
Grand Rapids Ward 1 Precinct 19,2134,990,46%,334,580,37,4
Grand Rapids Ward 1 Precinct 20,2160,1614,74%,873,671,25,4
Grand Rapids Ward 1 Precinct 21,1827,1363,74%,783,521,32,0
Grand Rapids Ward 1 Precinct 22,747,238,31%,42,175,6,0
Grand Rapids Ward 1 Precinct 23,1820,1338,73%,751,526,15,1
Grand Rapids Ward 1 Precinct 24,1782,479,26%,53,384,17,1
Grand Rapids Ward 2 Precinct 25,1324,797,60%,161,601,15,1
Grand Rapids Ward 2 Precinct 26,1710,1009,59%,362,600,22,2
Grand Rapids Ward 2 Precinct 27,1297,757,58%,258,467,18,0
Grand Rapids Ward 2 Precinct 28,2027,1159,57%,378,724,19,4
Grand Rapids Ward 2 Precinct 29,1926,806,41%,210,547,21,2
Grand Rapids Ward 2 Precinct 30,1694,1248,73%,408,805,14,2
Grand Rapids Ward 2 Precinct 31,2277,1205,52%,365,765,35,1
Grand Rapids Ward 2 Precinct 32,1428,746,52%,214,496,11,2
Grand Rapids Ward 2 Precinct 33,1072,742,69%,177,540,3,3
Grand Rapids Ward 2 Precinct 34,2128,1248,58%,434,753,23,1
Grand Rapids Ward 2 Precinct 35,1960,1356,69%,584,722,20,1
Grand Rapids Ward 2 Precinct 36,1025,560,54%,217,304,18,2
Grand Rapids Ward 2 Precinct 37,2460,1635,66%,687,875,29,3
Grand Rapids Ward 2 Precinct 38,2774,1449,52%,422,938,20,6
Grand Rapids Ward 2 Precinct 39,1064,600,56%,95,476,4,5
Grand Rapids Ward 2 Precinct 40,1864,1218,65%,233,945,8,7
"



                Grand Rapids Ward 2 Precinct 41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,1175,1428,73,14
Grand Rapids Ward 2 Precinct 42,1918,1359,70%,511,785,19,3
Grand Rapids Ward 2 Precinct 43,1741,1142,65%,484,589,25,2
