TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,Mary Treder Lang (REP),Jocelyn Benson (DEM),Gregory Scott Stempfle (LIB),Robert Gale (UST),Write In
Totals,459016,283519,61%,130325,137834,6257,2552,298
Ada Township Precinct 1,1184,871,73%,439,396,13,6,2
Ada Township Precinct 2,2221,1588,71%,809,709,22,4,2
Ada Township Precinct 3,1308,942,72%,530,366,17,6,2
Ada Township Precinct 4,1038,785,75%,494,262,11,4,0
Ada Township Precinct 5,1910,1374,71%,848,468,28,6,3
Ada Township Precinct 6,892,612,68%,308,271,16,0,2
Ada Township Precinct 7,1078,793,73%,396,368,15,1,1
Ada Township Precinct 8,1120,816,72%,439,343,16,2,0
Algoma Township Precinct 1,1246,830,66%,516,255,19,17,0
Algoma Township Precinct 2,1512,1078,71%,681,344,17,13,1
Algoma Township Precinct 3,1597,1108,69%,687,365,21,14,1
Algoma Township Precinct 4,1731,1092,63%,585,423,37,15,0
Algoma Township Precinct 5,2098,1452,69%,795,559,31,12,0
Alpine Township Precinct 1,1052,688,65%,399,253,15,5,0
Alpine Township Precinct 2,1344,835,62%,351,425,29,9,1
Alpine Township Precinct 3,2208,1494,67%,702,699,36,20,5
Alpine Township Precinct 4,2164,1175,54%,620,484,21,9,1
Alpine Township Precinct 5,1013,694,68%,409,240,22,11,0
Alpine Township Precinct 6,1936,672,34%,148,456,33,13,1
Bowne Township Precinct 1,2363,1677,70%,1188,410,28,14,0
Byron Township Precinct 1,2421,1747,72%,1269,387,40,17,3
Byron Township Precinct 2,2599,1956,75%,1330,546,27,10,0
Byron Township Precinct 3,2685,1108,41%,485,535,30,28,2
Byron Township Precinct 4,2009,1514,75%,1141,321,23,14,0
Byron Township Precinct 5,2372,1731,72%,1295,365,29,8,1
Byron Township Precinct 6,1468,1077,73%,695,328,24,8,0
Byron Township Precinct 7,2234,1469,65%,929,475,28,7,2
Byron Township Precinct 8,2169,1526,70%,881,572,29,12,0
Caledonia Township Precinct 1,1133,758,66%,438,279,15,7,0
Caledonia Township Precinct 2,2162,1486,68%,967,445,27,9,0
Caledonia Township Precinct 3,2063,1480,71%,959,434,37,19,0
Caledonia Township Precinct 4,1291,953,73%,639,274,20,5,0
Caledonia Township Precinct 5,2334,1566,67%,1017,494,24,12,1
Caledonia Township Precinct 6,1871,1284,68%,718,501,18,13,1
Cannon Township Precinct 1,2060,1524,73%,913,533,33,9,0
Cannon Township Precinct 2,1931,1341,69%,812,456,34,12,0
Cannon Township Precinct 3,1591,1175,73%,658,453,30,6,2
Cannon Township Precinct 4,2241,1608,71%,959,577,27,9,1
Cannon Township Precinct 5,1562,1147,73%,722,366,23,9,2
Cannon Township Precinct 6,1862,1343,72%,825,454,22,9,0
