TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Tami Carlone (REP),Richard Zeile (REP),Judith P. Pritchett (DEM),Tiffany Tilley (DEM),Scotty Boman (LIB),John J. Tatar (LIB),Karen Adams (UST),Douglas Levesque (UST),Sherry A. Wells (GRN),Mary Anne Hering (WCP),Logan R. Smith (WCP),WriteIn
Totals,459016,283519,61%,117761,108176,112849,108359,9053,6089,3914,1777,4489,7793,5244,874
Ada Township Precinct 1,1184,871,73%,395,377,325,304,32,23,10,2,8,8,8,1
Ada Township Precinct 2,2221,1588,71%,710,667,603,574,56,36,8,6,20,26,15,4
Ada Township Precinct 3,1308,942,72%,492,472,316,278,44,21,7,4,9,6,4,9
Ada Township Precinct 4,1038,785,75%,457,430,222,201,22,13,6,4,9,9,7,0
Ada Township Precinct 5,1910,1374,71%,777,718,395,380,45,30,17,8,16,23,12,3
Ada Township Precinct 6,892,612,68%,278,267,226,221,24,15,8,1,13,8,3,1
Ada Township Precinct 7,1078,793,73%,368,357,305,284,24,24,11,3,14,10,3,0
Ada Township Precinct 8,1120,816,72%,403,364,293,272,25,18,9,6,10,15,14,1
Algoma Township Precinct 1,1246,830,66%,439,399,210,201,26,26,11,9,11,38,29,1
Algoma Township Precinct 2,1512,1078,71%,607,579,274,257,26,15,8,4,13,29,21,0
Algoma Township Precinct 3,1597,1108,69%,602,559,269,277,40,30,13,14,13,28,24,4
Algoma Township Precinct 4,1731,1092,63%,519,488,353,346,44,39,15,7,19,36,21,0
Algoma Township Precinct 5,2098,1452,69%,725,680,472,429,48,40,16,7,25,25,19,1
Alpine Township Precinct 1,1052,688,65%,351,324,206,182,18,18,13,8,5,20,9,0
Alpine Township Precinct 2,1344,835,62%,316,276,342,335,36,24,16,10,12,25,20,2
Alpine Township Precinct 3,2208,1494,67%,629,573,586,552,52,37,20,18,13,46,26,8
Alpine Township Precinct 4,2164,1175,54%,556,494,357,358,28,24,21,6,21,45,24,6
Alpine Township Precinct 5,1013,694,68%,361,330,198,187,16,11,14,5,6,31,18,2
Alpine Township Precinct 6,1936,672,34%,128,117,363,354,27,25,16,5,17,35,25,1
Bowne Township Precinct 1,2363,1677,70%,1032,962,318,301,46,31,27,13,15,42,42,5
Byron Township Precinct 1,2421,1747,72%,1172,1091,303,297,57,37,22,12,17,44,28,6
Byron Township Precinct 2,2599,1956,75%,1241,1163,449,416,47,30,16,6,10,21,24,2
Byron Township Precinct 3,2685,1108,41%,449,411,381,396,35,18,20,12,21,44,28,6
Byron Township Precinct 4,2009,1514,75%,1049,1013,259,235,39,29,11,7,11,18,16,0
