TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,459016,283521,61%,153291,124084
Ada Township  Precinct 1,1184,871,73%,406,453
Ada Township  Precinct 2,2221,1588,71%,733,825
Ada Township  Precinct 3,1308,942,72%,458,473
Ada Township  Precinct 4,1038,785,75%,331,438
Ada Township  Precinct 5,1910,1374,71%,610,739
Ada Township  Precinct 6,892,612,68%,332,271
Ada Township  Precinct 7,1078,793,73%,384,400
Ada Township  Precinct 8,1120,816,72%,408,403
Algoma Township  Precinct 1,1246,830,66%,398,411
Algoma Township  Precinct 2,1512,1078,71%,460,593
Algoma Township  Precinct 3,1597,1108,69%,515,583
Algoma Township  Precinct 4,1731,1092,63%,582,501
Algoma Township  Precinct 5,2098,1452,69%,710,723
Alpine Township  Precinct 1,1052,688,65%,282,387
Alpine Township  Precinct 2,1344,835,62%,516,308
Alpine Township  Precinct 3,2208,1494,67%,815,667
Alpine Township  Precinct 4,2164,1175,54%,597,557
Alpine Township  Precinct 5,1013,694,68%,313,365
Alpine Township  Precinct 6,1936,672,34%,513,140
Bowne Township  Precinct 1,2363,1677,70%,680,957
Byron Township  Precinct 1,2421,1747,72%,521,1201
Byron Township  Precinct 2,2599,1956,75%,597,1330
Byron Township  Precinct 3,2685,1108,41%,693,383
Byron Township  Precinct 4,2009,1514,75%,419,1071
Byron Township  Precinct 5,2372,1731,72%,534,1156
Byron Township  Precinct 6,1468,1077,73%,389,674
Byron Township  Precinct 7,2234,1469,65%,583,860
Byron Township  Precinct 8,2169,1526,70%,608,888
Caledonia Township  Precinct 1,1133,758,66%,376,376
Caledonia Township  Precinct 2,2162,1486,68%,644,832
Caledonia Township  Precinct 3,2063,1480,71%,682,774
Caledonia Township  Precinct 4,1291,953,73%,342,597
Caledonia Township  Precinct 5,2334,1566,67%,653,889
Caledonia Township  Precinct 6,1871,1284,68%,577,696
Cannon Township  Precinct 1,2060,1524,73%,703,795
Cannon Township  Precinct 2,1931,1341,69%,619,702
Cannon Township  Precinct 3,1591,1175,73%,564,598
Cannon Township  Precinct 4,2241,1608,71%,769,807
Cannon Township  Precinct 5,1562,1147,73%,522,609
Cannon Township  Precinct 6,1862,1343,72%,604,714
Cascade Charter Township  Precinct 1,1348,1041,77%,412,599
Cascade Charter Township  Precinct 2,1661,1245,74%,567,656
Cascade Charter Township  Precinct 3,1105,849,76%,428,415
Cascade Charter Township  Precinct 4,1619,1263,78%,615,614
Cascade Charter Township  Precinct 5,2259,1714,75%,819,875
Cascade Charter Township  Precinct 6,1465,1097,74%,499,567
Cascade Charter Township  Precinct 7,1187,792,66%,352,419
Cascade Charter Township  Precinct 8,1292,1035,80%,511,508
Cascade Charter Township  Precinct 9,1392,1098,78%,488,585
Cascade Charter Township  Precinct 10,1318,974,73%,485,476
Cedar Springs  Precinct 1,2310,1087,47%,641,428
Courtland Township  Precinct 1,2011,1434,71%,654,761
Courtland Township  Precinct 2,2201,1518,68%,658,829
Courtland Township  Precinct 3,2268,1427,62%,650,748
East Grand Rapids  Ward 1  Precinct 1,1509,1137,75%,686,426
East Grand Rapids  Ward 1  Precinct 2,1476,1134,76%,625,496
East Grand Rapids  Ward 2  Precinct 3,1514,1116,73%,643,460
East Grand Rapids  Ward 2  Precinct 4,1391,1052,75%,619,418
East Grand Rapids  Ward 3  Precinct 5,1476,1091,73%,648,427
East Grand Rapids  Ward 3  Precinct 6,1506,1125,74%,721,388
Gaines Charter Township  Precinct 1,2081,1502,72%,493,989
Gaines Charter Township  Precinct 2,1630,1069,65%,475,566
Gaines Charter Township  Precinct 3,2172,1272,58%,515,726
Gaines Charter Township  Precinct 4,2879,1178,40%,703,455
Gaines Charter Township  Precinct 5,1905,937,49%,589,336
Gaines Charter Township  Precinct 6,1965,1385,70%,540,819
Gaines Charter Township  Precinct 7,2566,1811,70%,704,1077
Gaines Charter Township  Precinct 8,2266,1430,63%,596,803
Gaines Charter Township  Precinct 9,1764,1133,64%,547,557
Grand Rapids  Ward 1  Precinct 1,2432,1089,44%,840,223
Grand Rapids  Ward 1  Precinct 2,1324,516,38%,421,80
Grand Rapids  Ward 1  Precinct 3,1992,1336,67%,823,474
Grand Rapids  Ward 1  Precinct 4,1786,1157,64%,735,394
Grand Rapids  Ward 1  Precinct 5,1312,691,52%,515,167
Grand Rapids  Ward 1  Precinct 6,2149,1457,67%,775,632
Grand Rapids  Ward 1  Precinct 7,937,622,66%,365,241
Grand Rapids  Ward 1  Precinct 8,1265,920,72%,579,324
Grand Rapids  Ward 1  Precinct 9,2671,895,33%,676,185
Grand Rapids  Ward 1  Precinct 10,1757,1061,60%,650,380
Grand Rapids  Ward 1  Precinct 11,819,634,77%,345,282
Grand Rapids  Ward 1  Precinct 12,1895,732,38%,584,139
Grand Rapids  Ward 1  Precinct 13,2150,940,43%,701,202
Grand Rapids  Ward 1  Precinct 14,2101,1271,60%,884,361
Grand Rapids  Ward 1  Precinct 15,2003,573,28%,408,139
Grand Rapids  Ward 1  Precinct 16,2074,678,32%,476,176
Grand Rapids  Ward 1  Precinct 17,2352,1170,49%,796,344
Grand Rapids  Ward 1  Precinct 18,1152,438,38%,341,79
Grand Rapids  Ward 1  Precinct 19,2134,990,46%,755,219
Grand Rapids  Ward 1  Precinct 20,2160,1614,74%,770,811
Grand Rapids  Ward 1  Precinct 21,1827,1363,74%,694,652
Grand Rapids  Ward 1  Precinct 22,747,238,31%,168,58
Grand Rapids  Ward 1  Precinct 23,1820,1338,73%,638,673
Grand Rapids  Ward 1  Precinct 24,1782,479,26%,358,92
Grand Rapids  Ward 2  Precinct 25,1324,797,60%,647,132
Grand Rapids  Ward 2  Precinct 26,1710,1009,59%,653,328
