TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,459016,283519,61%,168367,103570
Ada Township  Precinct 1,1184,871,73%,511,329
Ada Township  Precinct 2,2221,1588,71%,906,629
Ada Township  Precinct 3,1308,942,72%,533,391
Ada Township  Precinct 4,1038,785,75%,374,384
Ada Township  Precinct 5,1910,1374,71%,691,631
Ada Township  Precinct 6,892,612,68%,350,238
Ada Township  Precinct 7,1078,793,73%,450,326
Ada Township  Precinct 8,1120,816,72%,461,333
Algoma Township  Precinct 1,1246,830,66%,417,376
Algoma Township  Precinct 2,1512,1078,71%,526,502
Algoma Township  Precinct 3,1597,1108,69%,550,525
Algoma Township  Precinct 4,1731,1092,63%,597,443
Algoma Township  Precinct 5,2098,1452,69%,810,581
Alpine Township  Precinct 1,1052,688,65%,351,301
Alpine Township  Precinct 2,1344,835,62%,533,273
Alpine Township  Precinct 3,2208,1494,67%,916,537
Alpine Township  Precinct 4,2164,1175,54%,626,493
Alpine Township  Precinct 5,1013,694,68%,317,345
Alpine Township  Precinct 6,1936,672,34%,474,162
Bowne Township  Precinct 1,2363,1677,70%,707,884
Byron Township  Precinct 1,2421,1747,72%,691,992
Byron Township  Precinct 2,2599,1956,75%,882,988
Byron Township  Precinct 3,2685,1108,41%,653,401
Byron Township  Precinct 4,2009,1514,75%,522,935
Byron Township  Precinct 5,2372,1731,72%,661,987
Byron Township  Precinct 6,1468,1077,73%,488,559
Byron Township  Precinct 7,2234,1469,65%,728,686
Byron Township  Precinct 8,2169,1526,70%,804,662
Caledonia Township  Precinct 1,1133,758,66%,418,319
Caledonia Township  Precinct 2,2162,1486,68%,673,761
Caledonia Township  Precinct 3,2063,1480,71%,683,741
Caledonia Township  Precinct 4,1291,953,73%,407,509
Caledonia Township  Precinct 5,2334,1566,67%,741,763
Caledonia Township  Precinct 6,1871,1284,68%,731,516
Cannon Township  Precinct 1,2060,1524,73%,785,679
Cannon Township  Precinct 2,1931,1341,69%,687,607
Cannon Township  Precinct 3,1591,1175,73%,613,523
Cannon Township  Precinct 4,2241,1608,71%,833,699
Cannon Township  Precinct 5,1562,1147,73%,592,508
Cannon Township  Precinct 6,1862,1343,72%,688,590
Cascade Charter Township  Precinct 1,1348,1041,77%,548,448
Cascade Charter Township  Precinct 2,1661,1245,74%,635,565
Cascade Charter Township  Precinct 3,1105,849,76%,452,375
Cascade Charter Township  Precinct 4,1619,1263,78%,692,502
Cascade Charter Township  Precinct 5,2259,1714,75%,916,733
Cascade Charter Township  Precinct 6,1465,1097,74%,626,414
Cascade Charter Township  Precinct 7,1187,792,66%,469,280
Cascade Charter Township  Precinct 8,1292,1035,80%,612,391
Cascade Charter Township  Precinct 9,1392,1098,78%,597,467
Cascade Charter Township  Precinct 10,1318,974,73%,503,436
Cedar Springs  Precinct 1,2310,1087,47%,556,482
Courtland Township  Precinct 1,2011,1433,71%,732,638
Courtland Township  Precinct 2,2201,1518,68%,727,717
Courtland Township  Precinct 3,2268,1427,62%,719,659
East Grand Rapids  Ward 1  Precinct 1,1509,1137,75%,800,306
East Grand Rapids  Ward 1  Precinct 2,1476,1134,76%,736,365
East Grand Rapids  Ward 2  Precinct 3,1514,1116,73%,743,338
East Grand Rapids  Ward 2  Precinct 4,1391,1052,75%,734,286
East Grand Rapids  Ward 3  Precinct 5,1476,1091,73%,774,290
East Grand Rapids  Ward 3  Precinct 6,1506,1125,74%,828,266
Gaines Charter Township  Precinct 1,2081,1502,72%,579,870
Gaines Charter Township  Precinct 2,1630,1069,65%,610,417
Gaines Charter Township  Precinct 3,2172,1272,58%,598,620
Gaines Charter Township  Precinct 4,2879,1178,40%,694,444
Gaines Charter Township  Precinct 5,1905,937,49%,584,323
