TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,459016,283519,61%,184029,88798
Ada Township  Precinct 1,1184,871,73%,548,304
Ada Township  Precinct 2,2221,1588,71%,1040,489
Ada Township  Precinct 3,1308,942,72%,577,343
Ada Township  Precinct 4,1038,785,75%,429,330
Ada Township  Precinct 5,1910,1374,71%,782,537
Ada Township  Precinct 6,892,612,68%,385,210
Ada Township  Precinct 7,1078,793,73%,502,275
Ada Township  Precinct 8,1120,816,72%,483,319
Algoma Township  Precinct 1,1246,830,66%,445,352
Algoma Township  Precinct 2,1512,1078,71%,580,453
Algoma Township  Precinct 3,1597,1108,69%,618,462
Algoma Township  Precinct 4,1731,1092,63%,648,404
Algoma Township  Precinct 5,2098,1452,69%,899,499
Alpine Township  Precinct 1,1052,688,65%,396,261
Alpine Township  Precinct 2,1344,835,62%,549,265
Alpine Township  Precinct 3,2208,1494,67%,984,471
Alpine Township  Precinct 4,2164,1175,54%,693,439
Alpine Township  Precinct 5,1013,694,68%,367,296
Alpine Township  Precinct 6,1936,672,34%,523,115
Bowne Township  Precinct 1,2363,1677,70%,806,786
Byron Township  Precinct 1,2421,1747,72%,801,888
Byron Township  Precinct 2,2599,1956,75%,979,909
Byron Township  Precinct 3,2685,1108,41%,740,316
Byron Township  Precinct 4,2009,1514,75%,625,836
Byron Township  Precinct 5,2372,1731,72%,806,845
Byron Township  Precinct 6,1468,1077,73%,577,465
Byron Township  Precinct 7,2234,1469,65%,812,604
Byron Township  Precinct 8,2169,1526,70%,880,583
Caledonia Township  Precinct 1,1133,758,66%,487,258
Caledonia Township  Precinct 2,2162,1486,68%,802,644
Caledonia Township  Precinct 3,2063,1480,71%,783,644
Caledonia Township  Precinct 4,1291,953,73%,473,453
Caledonia Township  Precinct 5,2334,1566,67%,853,656
Caledonia Township  Precinct 6,1871,1284,68%,793,461
Cannon Township  Precinct 1,2060,1524,73%,880,586
Cannon Township  Precinct 2,1931,1341,69%,781,522
Cannon Township  Precinct 3,1591,1175,73%,702,442
Cannon Township  Precinct 4,2241,1608,71%,948,597
Cannon Township  Precinct 5,1562,1147,73%,632,468
Cannon Township  Precinct 6,1862,1343,72%,756,534
Cascade Charter Township  Precinct 1,1348,1041,77%,570,430
Cascade Charter Township  Precinct 2,1661,1245,74%,719,490
Cascade Charter Township  Precinct 3,1105,849,76%,509,327
Cascade Charter Township  Precinct 4,1619,1263,78%,763,438
Cascade Charter Township  Precinct 5,2259,1714,75%,988,686
Cascade Charter Township  Precinct 6,1465,1097,74%,689,365
Cascade Charter Township  Precinct 7,1187,792,66%,464,285
Cascade Charter Township  Precinct 8,1292,1035,80%,668,340
Cascade Charter Township  Precinct 9,1392,1098,78%,655,409
Cascade Charter Township  Precinct 10,1318,974,73%,561,374
Cedar Springs  Precinct 1,2310,1087,47%,664,374
Courtland Township  Precinct 1,2011,1433,71%,862,516
Courtland Township  Precinct 2,2201,1518,68%,805,629
Courtland Township  Precinct 3,2268,1427,62%,831,544
East Grand Rapids  Ward 1  Precinct 1,1509,1137,75%,823,285
East Grand Rapids  Ward 1  Precinct 2,1476,1134,76%,793,301
East Grand Rapids  Ward 2  Precinct 3,1514,1116,73%,804,279
East Grand Rapids  Ward 2  Precinct 4,1391,1052,75%,777,249
East Grand Rapids  Ward 3  Precinct 5,1476,1091,73%,817,249
East Grand Rapids  Ward 3  Precinct 6,1506,1125,74%,853,254
Gaines Charter Township  Precinct 1,2081,1502,72%,707,743
Gaines Charter Township  Precinct 2,1630,1069,65%,659,376
Gaines Charter Township  Precinct 3,2172,1272,58%,670,546
Gaines Charter Township  Precinct 4,2879,1178,40%,782,353
Gaines Charter Township  Precinct 5,1905,937,49%,680,236
Gaines Charter Township  Precinct 6,1965,1385,70%,709,629
Gaines Charter Township  Precinct 7,2566,1811,70%,960,795
Gaines Charter Township  Precinct 8,2266,1430,63%,778,583
Gaines Charter Township  Precinct 9,1764,1133,64%,762,327
Grand Rapids  Ward 1  Precinct 1,2432,1089,44%,861,188
Grand Rapids  Ward 1  Precinct 2,1324,516,38%,411,84
Grand Rapids  Ward 1  Precinct 3,1992,1336,67%,1004,287
Grand Rapids  Ward 1  Precinct 4,1786,1157,64%,918,197
Grand Rapids  Ward 1  Precinct 5,1312,691,52%,558,118
Grand Rapids  Ward 1  Precinct 6,2149,1457,67%,937,449
