TOTALS: 27 of 27 Precincts ,RegisteredVoters,BallotsCast,Turnout,Aric Nesbitt (REP),Garnet Lewis (DEM),Erwin Haas (LIB),Robert M. Alway (GRN),WriteIn
Totals,55093,32230,58%,15191,14783,635,295,57
Gaines Charter Township Precinct 1,2081,1502,72%,1091,323,17,9,1
Gaines Charter Township Precinct 2,1630,1069,65%,618,380,22,5,0
Gaines Charter Township Precinct 3,2172,1272,58%,809,384,30,10,3
Gaines Charter Township Precinct 4,2879,1178,40%,530,544,42,15,5
Gaines Charter Township Precinct 5,1905,937,49%,361,503,19,13,2
Gaines Charter Township Precinct 6,1965,1385,70%,933,379,19,12,1
Gaines Charter Township Precinct 7,2566,1811,70%,1172,538,32,10,3
Gaines Charter Township Precinct 8,2266,1430,63%,863,459,33,8,7
Gaines Charter Township Precinct 9,1764,1133,64%,551,521,12,3,0
Kentwood Ward 1 Precinct 1,2072,1009,48%,448,490,18,9,2
Kentwood Ward 1 Precinct 2,2787,1711,61%,715,871,40,14,6
Kentwood Ward 1 Precinct 3,1524,971,63%,444,454,16,11,0
Kentwood Ward 1 Precinct 4,1385,654,47%,229,355,21,12,1
Kentwood Ward 1 Precinct 5,1192,647,54%,293,297,14,9,3
Kentwood Ward 1 Precinct 6,2226,1085,48%,473,519,25,17,3
Kentwood Ward 1 Precinct 7,1944,1075,55%,382,628,14,16,4
Kentwood Ward 1 Precinct 8,2348,1578,67%,749,732,25,14,0
Kentwood Ward 1 Precinct 9,2145,1149,53%,423,655,21,16,1
Kentwood Ward 2 Precinct 10,2150,1401,65%,600,713,26,5,0
Kentwood Ward 2 Precinct 11,2803,1759,62%,740,885,44,12,2
Kentwood Ward 2 Precinct 12,1551,929,59%,318,546,20,8,0
Kentwood Ward 2 Precinct 13,2030,1207,59%,555,574,12,9,3
Kentwood Ward 2 Precinct 14,787,514,65%,216,247,17,7,0
Kentwood Ward 2 Precinct 15,2618,1231,47%,308,832,26,19,5
Kentwood Ward 2 Precinct 16,2612,1825,69%,847,871,20,11,3
Kentwood Ward 2 Precinct 17,1674,765,45%,234,485,8,7,0
Kentwood Ward 2 Precinct 18,2017,1003,49%,289,598,42,14,2
