TOTALS: 104 of 104 Precincts ,RegisteredVoters,BallotsCast,Turnout,Peter MacGregor (REP),Craig Beach (DEM),Nathan Hewer (LIB),WriteIn
Totals,197865,123322,62%,68749,45937,3059,243
Algoma Township Precinct 1,1246,830,66%,542,226,21,0
Algoma Township Precinct 2,1512,1078,71%,689,319,17,1
Algoma Township Precinct 3,1597,1108,69%,721,308,27,3
Algoma Township Precinct 4,1731,1092,63%,599,418,28,0
Algoma Township Precinct 5,2098,1452,69%,802,547,24,0
Alpine Township Precinct 1,1052,688,65%,407,220,19,0
Alpine Township Precinct 2,1344,835,62%,372,396,25,1
Alpine Township Precinct 3,2208,1494,67%,749,629,36,2
Alpine Township Precinct 4,2164,1175,54%,646,432,39,2
Alpine Township Precinct 5,1013,694,68%,426,224,18,0
Alpine Township Precinct 6,1936,672,34%,155,436,41,3
Byron Township Precinct 1,2421,1747,72%,1311,326,39,5
Byron Township Precinct 2,2599,1956,75%,1362,472,29,0
Byron Township Precinct 3,2685,1108,41%,511,495,41,7
Byron Township Precinct 4,2009,1514,75%,1164,271,27,1
Byron Township Precinct 5,2372,1731,72%,1320,304,29,1
Byron Township Precinct 6,1468,1077,73%,725,286,17,3
Byron Township Precinct 7,2234,1469,65%,958,402,34,2
Byron Township Precinct 8,2169,1526,70%,911,506,32,1
Cannon Township Precinct 1,2060,1524,73%,924,527,31,0
Cannon Township Precinct 2,1931,1341,69%,835,446,28,2
Cannon Township Precinct 3,1591,1175,73%,664,451,30,1
Cannon Township Precinct 4,2241,1608,71%,970,564,21,1
Cannon Township Precinct 5,1562,1147,73%,752,335,21,2
Cannon Township Precinct 6,1862,1343,72%,850,422,28,1
Cedar Springs Precinct 1,2310,1087,47%,621,371,33,2
Courtland Township Precinct 1,2011,1433,71%,853,513,20,3
Courtland Township Precinct 2,2201,1518,68%,969,444,36,1
Courtland Township Precinct 3,2268,1427,62%,903,440,29,0
Grandville Precinct 1,1577,1029,65%,558,396,30,4
Grandville Precinct 2,2014,1232,61%,666,475,28,1
Grandville Precinct 3,2197,1391,63%,819,476,34,1
Grandville Precinct 4,1979,1483,74%,875,512,31,2
Grandville Precinct 5,2147,1489,69%,897,509,20,7
Grandville Precinct 6,1655,1182,71%,730,380,23,3
Grattan Township Precinct 1,1502,993,66%,651,275,24,0
Grattan Township Precinct 2,1598,1133,70%,641,434,20,1
Nelson Township Precinct 1,2306,1112,48%,675,346,32,4
Nelson Township Precinct 2,1580,968,61%,624,266,16,2
Oakfield Township Precinct 1,1557,983,63%,576,350,27,2
Oakfield Township Precinct 2,1812,1080,59%,682,343,22,1
Oakfield Township Precinct 3 ,1321,783,59%,458,260,24,2
Plainfield Charter Township Precinct 1,2614,1944,74%,1114,726,35,0
Plainfield Charter Township Precinct 2,2249,1437,63%,810,525,35,5
Plainfield Charter Township Precinct 3,2112,1215,57%,583,532,40,3
Plainfield Charter Township Precinct 4,2300,1467,63%,741,614,37,1
Plainfield Charter Township Precinct 5,2123,1393,65%,689,597,45,5
Plainfield Charter Township Precinct 6,3012,2043,67%,1174,765,38,0
Plainfield Charter Township Precinct 7,2717,1948,71%,1150,700,32,3
Plainfield Charter Township Precinct 8,2819,1909,67%,958,812,49,1
Plainfield Charter Township Precinct 9,2445,1611,65%,881,630,41,1
Plainfield Charter Township Precinct 10,1777,1345,75%,749,525,27,0
Plainfield Charter Township Precinct 11,1706,1286,75%,740,491,26,2
Rockford Precinct 1,1866,1204,64%,576,558,19,3
Rockford Precinct 2,2510,1730,68%,828,799,39,0
Solon Township Precinct 1,1814,1095,60%,680,339,32,1
Solon Township Precinct 2,2765,1630,58%,1047,466,48,3
Sparta Township Precinct 1,2898,1650,56%,870,621,60,6
Sparta Township Precinct 2,1516,912,60%,598,254,19,1
Sparta Township Precinct 3,1969,1135,57%,709,339,29,3
Spencer Township Precinct 1,2952,1803,61%,1133,522,48,7
Tyrone Township Precinct 1,1760,1063,60%,695,283,30,3
Tyrone Township Precinct 2,1401,819,58%,538,231,13,2
Vergennes Township Precinct 1,1870,1365,72%,863,407,26,1
Vergennes Township Precinct 2,1653,1167,70%,700,387,27,4
Walker Ward 1 Precinct 1,2037,997,48%,371,542,40,6
Walker Ward 1 Precinct 2,1733,1176,67%,619,472,29,2
Walker Ward 1 Precinct 3,1996,1316,65%,615,587,35,7
Walker Ward 2 Precinct 4,2243,1567,69%,896,557,28,2
Walker Ward 2 Precinct 5,1904,1341,70%,765,472,35,2
Walker Ward 2 Precinct 6,1880,1193,63%,626,440,44,2
Walker Ward 3 Precinct 7,1966,1352,68%,675,561,34,6
Walker Ward 3 Precinct 8,1759,1268,72%,783,400,26,2
Walker Ward 3 Precinct 9,1981,1274,64%,654,552,25,1
Wyoming Ward 1 Precinct 1,1870,915,48%,359,490,33,2
Wyoming Ward 1 Precinct 2,1311,535,40%,189,297,21,4
Wyoming Ward 1 Precinct 3,2130,940,44%,336,520,37,1
Wyoming Ward 1 Precinct 4,2019,1071,53%,484,503,31,5
Wyoming Ward 1 Precinct 5,2086,1037,49%,400,550,29,1
Wyoming Ward 1 Precinct 6,1502,729,48%,276,392,23,5
Wyoming Ward 1 Precinct 7,1890,1143,60%,622,447,30,3
Wyoming Ward 1 Precinct 8,1230,576,46%,259,270,22,0
Wyoming Ward 1 Precinct 9,2268,1029,45%,382,545,41,3
Wyoming Ward 2 Precinct 10,1478,665,44%,230,394,15,0
Wyoming Ward 2 Precinct 11,1351,568,42%,160,359,23,4
Wyoming Ward 2 Precinct 12,1280,508,39%,173,288,24,3
Wyoming Ward 2 Precinct 13,1666,873,52%,394,429,20,0
Wyoming Ward 2 Precinct 14,1166,666,57%,346,272,22,3
