TOTALS: 121 of 121 Precincts ,RegisteredVoters,BallotsCast,Turnout,Chris Afendoulis (REP),Winnie Brinks (DEM),Robert VanNoller (LIB),Louis Palus (WCP),WriteIn
Totals,206058,127966,62%,50225,70715,1840,1445,174
Ada Township Precinct 1,1184,871,73%,472,354,9,7,1
Ada Township Precinct 2,2221,1588,71%,871,650,23,7,2
Ada Township Precinct 3,1308,942,72%,535,357,17,4,5
Ada Township Precinct 4,1038,785,75%,507,243,7,3,0
Ada Township Precinct 5,1910,1374,71%,870,438,26,7,2
Ada Township Precinct 6,892,612,68%,323,256,11,1,1
Ada Township Precinct 7,1078,793,73%,436,320,13,5,0
Ada Township Precinct 8,1120,816,72%,451,327,11,4,2
Bowne Township Precinct 1,2363,1677,70%,1179,380,35,24,1
Caledonia Township Precinct 1,1133,758,66%,428,283,13,6,0
Caledonia Township Precinct 2,2162,1486,68%,976,425,18,14,1
Caledonia Township Precinct 3,2063,1480,71%,957,434,32,18,2
Caledonia Township Precinct 4,1291,953,73%,660,244,15,7,0
Caledonia Township Precinct 5,2334,1566,67%,1031,459,16,14,2
Caledonia Township Precinct 6,1871,1284,68%,739,463,15,16,1
Cascade Charter Township Precinct 1,1348,1041,77%,666,331,5,2,1
Cascade Charter Township Precinct 2,1661,1245,74%,760,448,10,0,1
Cascade Charter Township Precinct 3,1105,849,76%,486,330,10,7,0
Cascade Charter Township Precinct 4,1619,1263,78%,706,496,18,2,0
Cascade Charter Township Precinct 5,2259,1714,75%,1062,589,17,4,0
Cascade Charter Township Precinct 6,1465,1097,74%,551,487,14,9,1
Cascade Charter Township Precinct 7,1187,792,66%,438,310,13,6,0
Cascade Charter Township Precinct 8,1292,1035,80%,533,467,10,1,2
Cascade Charter Township Precinct 9,1392,1098,78%,611,433,17,7,0
Cascade Charter Township Precinct 10,1318,974,73%,589,334,16,4,1
East Grand Rapids Ward 1 Precinct 1,1509,1137,75%,460,650,5,2,0
East Grand Rapids Ward 1 Precinct 2,1476,1134,76%,494,590,11,5,0
East Grand Rapids Ward 2 Precinct 3,1514,1116,73%,452,625,5,1,1
East Grand Rapids Ward 2 Precinct 4,1391,1052,75%,387,626,13,1,1
East Grand Rapids Ward 3 Precinct 5,1476,1091,73%,398,671,3,1,0
East Grand Rapids Ward 3 Precinct 6,1506,1125,74%,375,713,5,2,0
Grand Rapids Ward 1 Precinct 1,2432,1089,44%,270,702,33,26,5
Grand Rapids Ward 1 Precinct 2,1324,516,38%,106,359,14,14,0
Grand Rapids Ward 1 Precinct 3,1992,1336,67%,411,878,15,12,2
