TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,SamuelBagenstos,MeganKathleenCavanagh,ElizabethT.Clement,DougDern,KerryLeeMorgan,KurtisT.Wilder,WriteIn
Totals,459016,283516,61%,45006,94579,139932,12392,23942,113112,2753
Ada Township  Precinct 1,1184,871,73%,163,312,478,25,54,335,1
Ada Township  Precinct 2,2221,1588,71%,199,570,856,46,85,595,11
Ada Township  Precinct 3,1308,942,72%,124,221,562,56,55,408,15
Ada Township  Precinct 4,1038,785,75%,103,196,413,50,50,385,3
Ada Township  Precinct 5,1910,1374,71%,199,360,715,26,126,715,9
Ada Township  Precinct 6,892,612,68%,95,196,309,9,21,289,4
Ada Township  Precinct 7,1078,793,73%,168,281,405,24,43,292,8
Ada Township  Precinct 8,1120,816,72%,128,306,424,32,45,307,5
Algoma Township  Precinct 1,1246,830,66%,59,188,482,52,63,376,6
Algoma Township  Precinct 2,1512,1078,71%,87,257,531,79,82,496,6
Algoma Township  Precinct 3,1597,1108,69%,107,260,536,39,134,575,10
Algoma Township  Precinct 4,1731,1092,63%,145,328,524,30,55,498,2
Algoma Township  Precinct 5,2098,1452,69%,180,447,741,53,72,562,5
Alpine Township  Precinct 1,1052,688,65%,70,244,350,30,47,254,7
Alpine Township  Precinct 2,1344,835,62%,109,244,476,82,76,303,5
Alpine Township  Precinct 3,2208,1494,67%,173,492,746,92,168,647,16
Alpine Township  Precinct 4,2164,1175,54%,132,347,521,33,139,562,11
Alpine Township  Precinct 5,1013,694,68%,85,205,351,30,33,352,9
Alpine Township  Precinct 6,1936,672,34%,134,269,287,23,86,157,13
Bowne Township  Precinct 1,2363,1677,70%,107,507,975,70,82,812,8
Byron Township  Precinct 1,2421,1747,72%,81,266,1120,88,112,933,20
Byron Township  Precinct 2,2599,1956,75%,150,382,1121,137,171,1097,11
Byron Township  Precinct 3,2685,1108,41%,121,352,491,33,132,494,27
Byron Township  Precinct 4,2009,1514,75%,156,279,834,37,77,963,3
Byron Township  Precinct 5,2372,1731,72%,184,394,988,48,93,896,10
Byron Township  Precinct 6,1468,1077,73%,75,348,626,40,73,488,1
Byron Township  Precinct 7,2234,1469,65%,105,275,916,105,110,709,7
Byron Township  Precinct 8,2169,1526,70%,166,416,794,105,152,727,5
Caledonia Township  Precinct 1,1133,758,66%,99,209,356,25,72,350,4
Caledonia Township  Precinct 2,2162,1486,68%,189,400,761,29,49,824,4
Caledonia Township  Precinct 3,2063,1480,71%,212,473,818,54,85,686,6
Caledonia Township  Precinct 4,1291,953,73%,85,288,553,28,57,432,4
Caledonia Township  Precinct 5,2334,1566,67%,130,318,995,68,108,764,10
Caledonia Township  Precinct 6,1871,1284,68%,113,347,682,85,137,628,8
Cannon Township  Precinct 1,2060,1524,73%,174,396,729,34,160,719,2
Cannon Township  Precinct 2,1931,1341,69%,176,365,709,33,67,737,12
Cannon Township  Precinct 3,1591,1175,73%,204,405,591,31,64,475,14
Cannon Township  Precinct 4,2241,1608,71%,158,533,950,63,87,705,12
Cannon Township  Precinct 5,1562,1147,73%,86,233,731,55,103,582,11
Cannon Township  Precinct 6,1862,1343,72%,153,306,686,105,121,656,7
Cascade Charter Township  Precinct 1,1348,1041,77%,157,302,560,17,99,541,2
Cascade Charter Township  Precinct 2,1661,1245,74%,201,359,680,19,48,637,6
Cascade Charter Township  Precinct 3,1105,849,76%,169,289,473,21,41,342,8
Cascade Charter Township  Precinct 4,1619,1263,78%,196,471,716,39,56,481,5
Cascade Charter Township  Precinct 5,2259,1714,75%,220,415,1072,94,102,796,3
Cascade Charter Township  Precinct 6,1465,1097,74%,163,350,556,63,99,475,6
Cascade Charter Township  Precinct 7,1187,792,66%,108,237,419,7,71,402,3
Cascade Charter Township  Precinct 8,1292,1035,80%,196,349,547,27,44,458,7
