TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,John James (REP),Debbie Stabenow (DEM),George E. Huffman III (UST),Marcia Squier (GRN),John Howard Wilhelm (NLP),Write In
Totals,459016,283519,61%,136227,137089,1699,3364,1095,308
Ada Township Precinct 1,1184,871,73%,465,389,3,4,2,1
Ada Township Precinct 2,2221,1588,71%,856,706,4,6,1,1
Ada Township Precinct 3,1308,942,72%,558,367,1,5,1,2
Ada Township Precinct 4,1038,785,75%,502,267,0,7,0,0
Ada Township Precinct 5,1910,1374,71%,874,469,6,9,3,1
Ada Township Precinct 6,892,612,68%,315,282,3,5,1,1
Ada Township Precinct 7,1078,793,73%,419,363,0,3,3,0
Ada Township Precinct 8,1120,816,72%,451,351,1,4,2,0
Algoma Township Precinct 1,1246,830,66%,545,254,8,8,3,0
Algoma Township Precinct 2,1512,1078,71%,696,347,8,12,7,0
Algoma Township Precinct 3,1597,1108,69%,698,367,6,11,5,2
Algoma Township Precinct 4,1731,1092,63%,615,432,10,11,5,0
Algoma Township Precinct 5,2098,1452,69%,824,578,5,15,3,0
Alpine Township Precinct 1,1052,688,65%,382,281,3,10,2,0
Alpine Township Precinct 2,1344,835,62%,389,409,7,10,5,2
Alpine Township Precinct 3,2208,1494,67%,729,709,13,21,1,3
Alpine Township Precinct 4,2164,1175,54%,649,476,7,17,3,1
Alpine Township Precinct 5,1013,694,68%,419,251,5,8,2,1
Alpine Township Precinct 6,1936,672,34%,161,446,8,28,7,4
Bowne Township Precinct 1,2363,1677,70%,1193,427,10,14,7,1
Byron Township Precinct 1,2421,1747,72%,1311,389,11,14,9,3
Byron Township Precinct 2,2599,1956,75%,1353,559,9,8,1,0
Byron Township Precinct 3,2685,1108,41%,528,508,8,26,11,3
Byron Township Precinct 4,2009,1514,75%,1147,339,10,6,3,0
Byron Township Precinct 5,2372,1731,72%,1324,374,4,10,1,0
Byron Township Precinct 6,1468,1077,73%,724,325,6,7,2,0
Byron Township Precinct 7,2234,1469,65%,968,452,11,11,4,3
Byron Township Precinct 8,2169,1526,70%,903,586,6,11,6,1
Caledonia Township Precinct 1,1133,758,66%,445,283,3,12,2,1
Caledonia Township Precinct 2,2162,1486,68%,1005,439,9,9,2,0
Caledonia Township Precinct 3,2063,1480,71%,984,455,13,10,3,0
Caledonia Township Precinct 4,1291,953,73%,660,275,2,6,1,0
Caledonia Township Precinct 5,2334,1566,67%,1052,482,9,10,0,1
Caledonia Township Precinct 6,1871,1284,68%,759,488,2,12,7,0
Cannon Township Precinct 1,2060,1524,73%,940,535,5,22,1,1
Cannon Township Precinct 2,1931,1341,69%,842,470,5,14,0,2
Cannon Township Precinct 3,1591,1175,73%,685,466,2,9,3,3
Cannon Township Precinct 4,2241,1608,71%,992,580,2,9,5,1
Cannon Township Precinct 5,1562,1147,73%,750,363,10,6,2,2
Cannon Township Precinct 6,1862,1343,72%,822,490,4,11,2,0
Cascade Charter Township Precinct 1,1348,1041,77%,624,401,4,3,0,0
Cascade Charter Township Precinct 2,1661,1245,74%,706,517,2,9,0,0
Cascade Charter Township Precinct 3,1105,849,76%,479,358,3,2,1,0
Cascade Charter Township Precinct 4,1619,1263,78%,697,541,1,8,2,0
Cascade Charter Township Precinct 5,2259,1714,75%,1053,636,2,6,3,0
Cascade Charter Township Precinct 6,1465,1097,74%,545,521,7,10,1,1
Cascade Charter Township Precinct 7,1187,792,66%,425,341,3,7,3,0
Cascade Charter Township Precinct 8,1292,1035,80%,516,494,2,9,6,1
Cascade Charter Township Precinct 9,1392,1098,78%,605,464,6,8,2,0
Cascade Charter Township Precinct 10,1318,974,73%,597,356,1,8,1,0
Cedar Springs Precinct 1,2310,1087,47%,626,401,9,18,9,1
Courtland Township Precinct 1,2011,1433,71%,846,555,8,4,1,1
Courtland Township Precinct 2,2201,1518,68%,967,486,13,14,6,0
Courtland Township Precinct 3,2268,1427,62%,906,478,7,9,5,0
East Grand Rapids Ward 1 Precinct 1,1509,1137,75%,443,676,1,4,0,0
East Grand Rapids Ward 1 Precinct 2,1476,1134,76%,508,615,2,3,1,1
East Grand Rapids Ward 2 Precinct 3,1514,1116,73%,446,657,0,4,0,0
East Grand Rapids Ward 2 Precinct 4,1391,1052,75%,389,643,4,4,1,0
East Grand Rapids Ward 3 Precinct 5,1476,1091,73%,394,685,2,6,1,0
East Grand Rapids Ward 3 Precinct 6,1506,1125,74%,381,726,1,7,0,0
Gaines Charter Township Precinct 1,2081,1502,72%,1106,367,7,12,1,0
Gaines Charter Township Precinct 2,1630,1069,65%,641,408,3,9,2,0
Gaines Charter Township Precinct 3,2172,1272,58%,841,387,13,10,8,4
Gaines Charter Township Precinct 4,2879,1178,40%,534,573,19,21,13,5
Gaines Charter Township Precinct 5,1905,937,49%,376,530,5,15,3,0
Gaines Charter Township Precinct 6,1965,1385,70%,953,408,7,3,2,0
Gaines Charter Township Precinct 7,2566,1811,70%,1174,599,8,12,0,2
Gaines Charter Township Precinct 8,2266,1430,63%,874,510,10,12,4,1
Gaines Charter Township Precinct 9,1764,1133,64%,562,551,3,7,0,1
Grand Rapids Ward 1 Precinct 1,2432,1089,44%,295,718,13,27,9,4
Grand Rapids Ward 1 Precinct 2,1324,516,38%,118,364,6,18,1,0
Grand Rapids Ward 1 Precinct 3,1992,1336,67%,445,864,5,10,1,0
Grand Rapids Ward 1 Precinct 4,1786,1157,64%,267,846,5,22,5,1
Grand Rapids Ward 1 Precinct 5,1312,691,52%,188,451,8,17,6,0
Grand Rapids Ward 1 Precinct 6,2149,1457,67%,647,764,10,11,4,0
Grand Rapids Ward 1 Precinct 7,937,622,66%,294,300,2,8,3,1
Grand Rapids Ward 1 Precinct 8,1265,920,72%,330,553,9,11,5,4
Grand Rapids Ward 1 Precinct 9,2671,895,33%,218,619,6,26,7,3
Grand Rapids Ward 1 Precinct 10,1757,1061,60%,381,640,7,11,4,0
Grand Rapids Ward 1 Precinct 11,819,634,77%,303,316,3,5,0,0
Grand Rapids Ward 1 Precinct 12,1895,732,38%,180,499,6,20,4,1
Grand Rapids Ward 1 Precinct 13,2150,940,43%,302,576,7,19,9,1
Grand Rapids Ward 1 Precinct 14,2101,1271,60%,444,758,16,26,7,1
Grand Rapids Ward 1 Precinct 15,2003,573,28%,77,461,10,13,5,1
Grand Rapids Ward 1 Precinct 16,2074,678,32%,103,534,6,13,7,2
Grand Rapids Ward 1 Precinct 17,2352,1170,49%,386,706,13,23,9,5
Grand Rapids Ward 1 Precinct 18,1152,438,38%,44,364,5,12,3,2
Grand Rapids Ward 1 Precinct 19,2134,990,46%,294,614,16,31,8,3
Grand Rapids Ward 1 Precinct 20,2160,1614,74%,801,774,4,12,8,2
Grand Rapids Ward 1 Precinct 21,1827,1363,74%,753,579,4,11,6,0
Grand Rapids Ward 1 Precinct 22,747,238,31%,39,178,3,7,2,0
Grand Rapids Ward 1 Precinct 23,1820,1338,73%,676,620,2,16,3,0
Grand Rapids Ward 1 Precinct 24,1782,479,26%,50,389,4,12,5,2
Grand Rapids Ward 2 Precinct 25,1324,797,60%,146,603,6,30,2,0
Grand Rapids Ward 2 Precinct 26,1710,1009,59%,338,625,8,18,3,2
Grand Rapids Ward 2 Precinct 27,1297,757,58%,218,506,5,14,3,1
