TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,"AndreaFischer
          Newman  (REP)
        ","Andrew
          Richner (REP)
        ","Jordan
          Acker (DEM)
        ","Paul
          Brown (DEM)
        ","JamesLewis
          Hudler (LIB)
        ","John
          Jascob (LIB)
        ","Joe
          Sanger (UST)
        ","CrystalVan
          Sickle (UST)
        ","KevinA.
          Graves (GRN)
        ","MargeKatchmark
          Sallows (NLP)
        ",WriteIn
Totals,459016,283519,61%,115788,108002,107411,102008,6580,6251,3395,6245,5150,3811,1436
Ada Township  Precinct 1,1184,871,73%,412,375,291,273,20,15,5,16,15,11,3
Ada Township  Precinct 2,2221,1588,71%,699,659,540,520,39,42,13,33,29,16,9
Ada Township  Precinct 3,1308,942,72%,498,462,290,259,29,32,9,11,9,10,9
Ada Township  Precinct 4,1038,785,75%,449,420,191,184,18,10,7,10,14,5,0
Ada Township  Precinct 5,1910,1374,71%,752,717,368,330,31,34,17,25,21,17,5
Ada Township  Precinct 6,892,612,68%,275,253,206,197,18,14,3,9,11,9,1
Ada Township  Precinct 7,1078,793,73%,365,349,266,251,19,25,7,16,12,16,0
Ada Township  Precinct 8,1120,816,72%,403,363,261,255,20,21,4,12,12,14,2
Algoma Township  Precinct 1,1246,830,66%,426,398,193,174,16,18,22,39,16,8,5
Algoma Township  Precinct 2,1512,1078,71%,591,569,241,236,16,20,8,23,17,18,3
Algoma Township  Precinct 3,1597,1108,69%,584,563,259,238,29,27,22,19,18,17,4
Algoma Township  Precinct 4,1731,1092,63%,514,476,314,308,41,38,17,24,15,12,3
Algoma Township  Precinct 5,2098,1452,69%,700,668,407,384,32,28,19,23,24,16,1
Alpine Township  Precinct 1,1052,688,65%,333,304,193,188,14,11,9,16,6,8,3
Alpine Township  Precinct 2,1344,835,62%,320,286,331,326,29,26,12,23,6,10,4
Alpine Township  Precinct 3,2208,1494,67%,628,566,544,511,37,33,25,50,28,26,12
Alpine Township  Precinct 4,2164,1175,54%,527,509,367,348,21,19,13,30,15,11,5
Alpine Township  Precinct 5,1013,694,68%,365,329,179,163,13,14,11,29,10,11,3
Alpine Township  Precinct 6,1936,672,34%,140,116,372,331,22,16,13,24,18,9,5
Bowne Township  Precinct 1,2363,1677,70%,998,953,293,275,34,29,33,44,24,17,6
Byron Township  Precinct 1,2421,1747,72%,1125,1096,270,262,40,30,24,37,19,23,15
Byron Township  Precinct 2,2599,1956,75%,1201,1162,404,387,40,41,15,32,18,16,4
Byron Township  Precinct 3,2685,1108,41%,441,409,395,364,17,26,22,27,29,23,7
Byron Township  Precinct 4,2009,1514,75%,1013,1002,233,211,32,26,22,25,11,9,1
Byron Township  Precinct 5,2372,1731,72%,1160,1110,259,237,36,30,11,23,7,16,4
Byron Township  Precinct 6,1468,1077,73%,622,603,226,212,24,22,11,20,19,14,6
Byron Township  Precinct 7,2234,1469,65%,814,789,357,320,37,33,10,35,15,14,3
Byron Township  Precinct 8,2169,1526,70%,816,765,443,403,35,26,16,34,19,18,4
Caledonia Township  Precinct 1,1133,758,66%,368,361,227,202,23,18,8,15,11,7,3
Caledonia Township  Precinct 2,2162,1486,68%,845,801,341,307,31,22,20,34,21,10,9
Caledonia Township  Precinct 3,2063,1480,71%,848,795,328,323,61,57,24,43,16,19,4
Caledonia Township  Precinct 4,1291,953,73%,570,531,212,184,27,22,7,22,15,6,2
Caledonia Township  Precinct 5,2334,1566,67%,894,895,366,349,28,26,17,32,23,14,3
Caledonia Township  Precinct 6,1871,1284,68%,651,609,354,337,26,30,17,44,29,15,6
Cannon Township  Precinct 1,2060,1524,73%,817,769,412,376,28,35,11,23,31,23,2
Cannon Township  Precinct 2,1931,1341,69%,710,677,342,338,34,34,20,25,19,24,13
Cannon Township  Precinct 3,1591,1175,73%,580,552,361,342,30,32,16,18,12,12,7
Cannon Township  Precinct 4,2241,1608,71%,873,828,437,405,37,35,9,23,28,21,9
Cannon Township  Precinct 5,1562,1147,73%,639,617,262,243,28,25,11,32,12,17,9
Cannon Township  Precinct 6,1862,1343,72%,675,654,341,327,27,35,17,32,30,23,5
Cascade Charter Township  Precinct 1,1348,1041,77%,599,566,288,278,16,15,8,19,10,5,1
Cascade Charter Township  Precinct 2,1661,1245,74%,663,622,382,376,29,27,7,16,9,7,7
Cascade Charter Township  Precinct 3,1105,849,76%,431,401,287,276,15,14,10,11,17,7,5
Cascade Charter Township  Precinct 4,1619,1263,78%,635,586,390,390,30,36,5,13,20,15,2
Cascade Charter Township  Precinct 5,2259,1714,75%,947,885,494,449,30,31,14,22,21,14,2
Cascade Charter Township  Precinct 6,1465,1097,74%,479,453,397,382,30,22,14,27,17,12,2
Cascade Charter Township  Precinct 7,1187,792,66%,385,351,264,250,16,17,4,14,10,5,2
Cascade Charter Township  Precinct 8,1292,1035,80%,467,434,393,368,22,24,10,14,29,16,5
Cascade Charter Township  Precinct 9,1392,1098,78%,541,509,342,331,22,22,11,18,15,16,2
Cascade Charter Township  Precinct 10,1318,974,73%,515,495,277,272,21,19,7,16,15,8,3
Cedar Springs  Precinct 1,2310,1087,47%,503,458,313,284,29,31,21,41,17,23,4
Courtland Township  Precinct 1,2011,1433,71%,717,678,408,380,36,29,22,32,24,15,5
Courtland Township  Precinct 2,2201,1518,68%,807,760,355,340,30,36,26,35,24,16,3
Courtland Township  Precinct 3,2268,1427,62%,774,727,348,344,28,35,17,32,24,20,7
East Grand Rapids  Ward 1  Precinct 1,1509,1137,75%,401,371,568,540,18,13,5,5,17,9,4
East Grand Rapids  Ward 1  Precinct 2,1476,1134,76%,451,417,515,502,26,20,7,13,14,12,1
East Grand Rapids  Ward 2  Precinct 3,1514,1116,73%,397,355,524,512,11,9,5,14,25,15,7
East Grand Rapids  Ward 2  Precinct 4,1391,1052,75%,338,316,523,493,22,26,9,8,29,12,7
East Grand Rapids  Ward 3  Precinct 5,1476,1091,73%,363,317,549,545,18,16,5,6,19,14,2
East Grand Rapids  Ward 3  Precinct 6,1506,1125,74%,342,298,583,575,16,12,5,10,21,14,8
Gaines Charter Township  Precinct 1,2081,1502,72%,948,932,259,250,29,30,20,29,16,11,5
Gaines Charter Township  Precinct 2,1630,1069,65%,558,514,333,308,20,20,7,14,12,6,0
Gaines Charter Township  Precinct 3,2172,1272,58%,701,681,314,305,31,26,15,23,15,18,8
Gaines Charter Township  Precinct 4,2879,1178,40%,451,408,469,439,29,34,20,43,23,12,8
Gaines Charter Township  Precinct 5,1905,937,49%,317,278,432,405,24,24,19,22,18,11,10
Gaines Charter Township  Precinct 6,1965,1385,70%,808,792,331,307,30,28,16,32,13,12,4
Gaines Charter Township  Precinct 7,2566,1811,70%,1052,1013,464,426,44,34,10,23,28,20,5
Gaines Charter Township  Precinct 8,2266,1430,63%,731,733,400,348,33,32,19,29,15,16,14
Gaines Charter Township  Precinct 9,1764,1133,64%,481,483,462,410,17,17,7,20,13,13,2
Grand Rapids  Ward 1  Precinct 1,2432,1089,44%,236,205,539,522,39,38,12,20,47,28,11
Grand Rapids  Ward 1  Precinct 2,1324,516,38%,91,76,295,269,18,13,11,25,18,10,8
Grand Rapids  Ward 1  Precinct 3,1992,1336,67%,374,318,711,648,32,21,11,32,21,22,5
Grand Rapids  Ward 1  Precinct 4,1786,1157,64%,228,200,661,664,21,21,8,24,22,19,6
Grand Rapids  Ward 1  Precinct 5,1312,691,52%,146,138,337,332,21,18,5,13,32,20,2
Grand Rapids  Ward 1  Precinct 6,2149,1457,67%,539,513,578,573,30,22,15,40,25,24,6
Grand Rapids  Ward 1  Precinct 7,937,622,66%,239,227,234,229,13,13,6,10,10,7,5
Grand Rapids  Ward 1  Precinct 8,1265,920,72%,270,248,429,414,33,30,15,14,24,18,6
Grand Rapids  Ward 1  Precinct 9,2671,895,33%,201,160,517,467,22,19,11,31,32,9,10
Grand Rapids  Ward 1  Precinct 10,1757,1061,60%,309,278,503,498,22,15,14,26,30,20,4
Grand Rapids  Ward 1  Precinct 11,819,634,77%,254,237,254,243,14,14,6,14,10,3,2
Grand Rapids  Ward 1  Precinct 12,1895,732,38%,131,114,399,388,23,22,15,25,21,13,8
Grand Rapids  Ward 1  Precinct 13,2150,940,43%,251,221,466,440,38,29,9,24,23,13,9
Grand Rapids  Ward 1  Precinct 14,2101,1271,60%,342,320,585,552,42,42,14,32,34,26,4
Grand Rapids  Ward 1  Precinct 15,2003,573,28%,63,53,397,367,8,11,9,20,11,8,5
Grand Rapids  Ward 1  Precinct 16,2074,678,32%,77,76,433,372,16,11,10,18,20,17,7
Grand Rapids  Ward 1  Precinct 17,2352,1170,49%,312,280,524,497,26,39,17,45,40,21,10
Grand Rapids  Ward 1  Precinct 18,1152,438,38%,44,31,279,291,9,5,4,16,9,8,7
Grand Rapids  Ward 1  Precinct 19,2134,990,46%,228,208,476,470,45,37,23,38,46,25,8
Grand Rapids  Ward 1  Precinct 20,2160,1614,74%,698,624,589,565,32,24,14,36,29,26,13
Grand Rapids  Ward 1  Precinct 21,1827,1363,74%,630,594,440,411,29,31,9,28,19,21,13
Grand Rapids  Ward 1  Precinct 22,747,238,31%,25,21,149,156,4,2,1,6,5,3,0
Grand Rapids  Ward 1  Precinct 23,1820,1338,73%,579,540,478,450,24,26,14,29,22,21,3
Grand Rapids  Ward 1  Precinct 24,1782,479,26%,26,31,306,297,13,9,10,18,6,9,5
Grand Rapids  Ward 2  Precinct 25,1324,797,60%,112,101,508,457,28,25,13,6,37,19,7
Grand Rapids  Ward 2  Precinct 26,1710,1009,59%,281,251,516,480,25,24,7,14,29,20,8
Grand Rapids  Ward 2  Precinct 27,1297,757,58%,168,143,383,379,29,26,12,21,20,10,9
Grand Rapids  Ward 2  Precinct 28,2027,1159,57%,278,253,614,593,44,39,23,38,29,15,7
Grand Rapids  Ward 2  Precinct 29,1926,806,41%,143,135,450,410,23,24,11,25,33,22,7
Grand Rapids  Ward 2  Precinct 30,1694,1248,73%,319,268,680,656,29,23,9,18,34,20,3
Grand Rapids  Ward 2  Precinct 31,2277,1205,52%,260,229,616,583,42,39,21,35,45,35,5
Grand Rapids  Ward 2  Precinct 32,1428,746,52%,154,130,420,395,31,25,3,15,20,6,4
Grand Rapids  Ward 2  Precinct 33,1072,742,69%,123,118,457,429,21,17,6,14,17,12,5
Grand Rapids  Ward 2  Precinct 34,2128,1248,58%,327,283,671,624,28,21,15,20,22,18,8
Grand Rapids  Ward 2  Precinct 35,1960,1356,69%,449,420,619,611,32,26,20,27,20,19,6
Grand Rapids  Ward 2  Precinct 36,1025,560,54%,161,149,261,233,16,15,13,21,13,3,7
Grand Rapids  Ward 2  Precinct 37,2460,1635,66%,534,492,744,705,35,38,16,29,37,27,13
Grand Rapids  Ward 2  Precinct 38,2774,1449,52%,313,276,765,724,44,45,18,33,49,24,19
Grand Rapids  Ward 2  Precinct 39,1064,600,56%,70,58,393,384,15,9,3,8,13,10,3
Grand Rapids  Ward 2  Precinct 40,1864,1218,65%,162,143,807,754,35,30,10,13,45,20,16
"


Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,881,774,1172,1173,89,90,40,57,70,48,24
Grand Rapids  Ward 2  Precinct 42,1918,1359,70%,415,361,652,600,28,28,8,21,38,17,4
Grand Rapids  Ward 2  Precinct 43,1741,1142,65%,381,327,500,467,25,19,16,29,22,24,6
Grand Rapids  Ward 2  Precinct 44,1887,1259,66%,481,425,536,498,30,28,13,31,30,22,6
Grand Rapids  Ward 2  Precinct 45,2124,1495,70%,613,569,593,567,34,31,13,22,22,23,6
Grand Rapids  Ward 2  Precinct 46,2268,1248,55%,424,387,550,550,34,30,13,31,14,24,6
Grand Rapids  Ward 2  Precinct 47,1676,1275,76%,442,385,602,586,18,21,5,13,18,8,2
Grand Rapids  Ward 2  Precinct 48,1482,840,56%,132,129,498,481,23,23,9,20,32,16,3
Grand Rapids  Ward 2  Precinct 49,2046,1136,55%,164,148,722,640,35,22,3,14,35,19,9
Grand Rapids  Ward 2  Precinct 50,2306,1432,62%,183,156,964,907,35,34,3,20,42,15,5
Grand Rapids  Ward 3  Precinct 51,1724,885,51%,202,196,468,456,21,11,16,23,17,21,10
Grand Rapids  Ward 3  Precinct 52,915,521,56%,55,42,348,340,13,8,3,11,21,9,2
Grand Rapids  Ward 3  Precinct 53,2863,1739,60%,764,726,628,606,27,32,14,31,20,11,5
Grand Rapids  Ward 3  Precinct 54,1502,1022,68%,420,391,420,402,21,21,6,15,8,5,4
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,502,479,665,639,26,25,7,18,23,15,7
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,458,426,578,580,31,21,11,24,15,8,1
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,228,209,418,403,15,18,2,17,7,12,1
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,417,395,517,477,20,14,5,21,16,10,6
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,437,401,858,816,32,34,10,20,23,12,6
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,155,134,923,869,22,22,5,11,44,19,2
Grand Rapids  Ward 3  Precinct 61,899,571,63%,102,92,328,330,17,11,3,11,17,2,3
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,113,109,567,544,14,19,6,17,17,12,5
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,88,78,607,594,12,9,12,23,24,12,2
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,181,152,497,474,19,21,17,26,18,7,7
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,225,209,539,522,20,15,11,19,13,8,2
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,43,28,563,576,16,8,9,18,14,14,13
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,47,46,755,752,8,11,8,17,17,9,3
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,224,188,700,687,15,16,5,20,15,12,5
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,412,394,375,373,14,12,9,9,14,7,1
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,25,18,465,476,10,5,7,13,12,11,7
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,141,122,589,590,16,19,4,15,25,8,10
Grand Rapids  Ward 3  Precinct 72,871,603,69%,134,123,325,307,12,12,2,13,16,13,0
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,235,203,387,355,15,16,5,9,9,5,5
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,184,160,432,421,27,25,3,10,22,15,4
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,72,58,368,376,12,23,8,18,12,15,4
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,36,29,461,444,10,11,3,14,14,7,2
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,258,231,484,472,16,21,6,18,10,4,1
Grand Rapids Charter Township  Precinct 1,1513,1075,71%,596,536,314,300,26,22,8,6,20,9,2
Grand Rapids Charter Township  Precinct 2,1016,738,72%,335,313,262,248,18,17,1,8,9,8,2
Grand Rapids Charter Township  Precinct 3,1812,1358,74%,648,598,514,501,27,22,10,21,15,12,4
Grand Rapids Charter Township  Precinct 4,1733,1263,72%,575,514,484,466,27,23,9,13,25,21,10
Grand Rapids Charter Township  Precinct 5,1863,1364,73%,601,552,515,477,28,27,13,20,28,13,6
Grand Rapids Charter Township  Precinct 6,1720,1276,74%,562,523,468,434,27,29,13,27,21,21,8
Grand Rapids Charter Township  Precinct 7,1043,669,64%,277,270,226,207,11,7,10,14,14,11,5
Grand Rapids Charter Township  Precinct 8,1783,1300,72%,607,556,455,436,22,19,11,24,24,20,9
Grand Rapids Charter Township  Precinct 9,1156,892,77%,485,459,246,245,22,21,10,15,6,5,2
Grandville  Precinct 1,1577,1029,65%,470,421,326,309,31,26,17,23,16,13,11
Grandville  Precinct 2,2014,1232,61%,568,508,412,378,36,36,12,25,19,12,9
Grandville  Precinct 3,2197,1391,63%,699,652,402,363,38,35,16,33,16,14,11
Grandville  Precinct 4,1979,1483,74%,765,709,443,415,29,34,21,36,18,15,8
