TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,"Diane
           Dunaskiss (REP)
        ","David
           Nicholson (REP)
        ","BryanC.
           Barnhill (DEM)
        ","Anil
           Kumar (DEM)
        ","Jon
           Elgas  (LIB)
        ","JohnT.
           Hargenrader  (LIB)
        ","ChristineC.
           Schwartz (UST)
        ","MarcJoseph
           Sosnowski  (UST)
        ",WriteIn
Totals,459016,283519,61%,114031,104717,104441,98912,8089,6072,8110,3781,1715
Ada Township  Precinct 1,1184,871,73%,388,357,286,271,24,24,12,6,5
Ada Township  Precinct 2,2221,1588,71%,693,618,515,477,49,32,26,11,10
Ada Township  Precinct 3,1308,942,72%,481,453,267,263,34,26,17,3,11
Ada Township  Precinct 4,1038,785,75%,436,398,186,183,13,12,9,6,0
Ada Township  Precinct 5,1910,1374,71%,740,703,352,339,41,29,26,8,7
Ada Township  Precinct 6,892,612,68%,264,250,197,195,15,12,8,2,1
Ada Township  Precinct 7,1078,793,73%,355,334,265,246,29,18,17,4,0
Ada Township  Precinct 8,1120,816,72%,389,363,253,253,26,18,18,9,1
Algoma Township  Precinct 1,1246,830,66%,426,386,191,171,21,20,43,17,8
Algoma Township  Precinct 2,1512,1078,71%,584,553,239,213,28,17,28,12,2
Algoma Township  Precinct 3,1597,1108,69%,577,548,262,229,27,23,35,25,6
Algoma Township  Precinct 4,1731,1092,63%,487,456,314,296,47,40,26,16,2
Algoma Township  Precinct 5,2098,1452,69%,680,636,390,383,34,22,26,20,1
Alpine Township  Precinct 1,1052,688,65%,316,314,186,165,20,13,18,9,4
Alpine Township  Precinct 2,1344,835,62%,307,278,325,289,35,22,32,13,5
Alpine Township  Precinct 3,2208,1494,67%,602,542,541,493,50,30,67,26,14
Alpine Township  Precinct 4,2164,1175,54%,537,489,364,323,22,16,39,16,4
Alpine Township  Precinct 5,1013,694,68%,352,319,181,163,17,9,29,16,2
Alpine Township  Precinct 6,1936,672,34%,136,116,355,335,32,19,33,7,9
Bowne Township  Precinct 1,2363,1677,70%,993,943,274,269,39,29,42,31,6
Byron Township  Precinct 1,2421,1747,72%,1110,1030,292,241,42,42,44,30,13
Byron Township  Precinct 2,2599,1956,75%,1201,1130,390,352,45,34,34,20,6
Byron Township  Precinct 3,2685,1108,41%,444,403,394,360,31,22,52,24,11
Byron Township  Precinct 4,2009,1514,75%,1004,957,224,203,36,22,30,18,1
Byron Township  Precinct 5,2372,1731,72%,1154,1061,254,217,41,35,32,12,4
Byron Township  Precinct 6,1468,1077,73%,614,581,212,196,34,24,30,12,7
Byron Township  Precinct 7,2234,1469,65%,811,767,343,296,49,24,38,14,5
Byron Township  Precinct 8,2169,1526,70%,796,740,437,399,43,33,36,14,6
Caledonia Township  Precinct 1,1133,758,66%,359,344,209,206,23,23,17,7,2
Caledonia Township  Precinct 2,2162,1486,68%,837,772,325,307,33,17,42,16,7
Caledonia Township  Precinct 3,2063,1480,71%,844,798,333,306,47,52,51,28,4
Caledonia Township  Precinct 4,1291,953,73%,548,524,208,183,27,23,20,9,2
Caledonia Township  Precinct 5,2334,1566,67%,898,839,358,321,33,28,39,22,3
Caledonia Township  Precinct 6,1871,1284,68%,643,592,348,328,28,26,45,19,9
Cannon Township  Precinct 1,2060,1524,73%,804,739,373,364,38,29,30,13,2
Cannon Township  Precinct 2,1931,1341,69%,711,644,337,310,38,34,42,24,16
Cannon Township  Precinct 3,1591,1175,73%,569,525,355,342,32,27,25,10,6
