TOTALS: 30 of 30 Precincts ,RegisteredVoters,BallotsCast,Turnout,SamBolt,KentVanderwood,WriteIn
Totals,50378,26960,53%,15267,15222,666
Wyoming  Ward 1  Precinct 1,1870,915,48%,519,519,27
Wyoming  Ward 1  Precinct 2,1311,535,40%,293,314,13
Wyoming  Ward 1  Precinct 3,2130,940,44%,505,489,26
Wyoming  Ward 1  Precinct 4,2019,1071,53%,580,622,25
Wyoming  Ward 1  Precinct 5,2086,1037,49%,621,555,24
Wyoming  Ward 1  Precinct 6,1502,729,48%,432,465,25
Wyoming  Ward 1  Precinct 7,1890,1143,60%,686,668,16
Wyoming  Ward 1  Precinct 8,1230,576,46%,304,330,11
Wyoming  Ward 1  Precinct 9,2268,1029,45%,616,602,34
Wyoming  Ward 2  Precinct 10,1478,665,44%,378,372,14
Wyoming  Ward 2  Precinct 11,1351,568,42%,298,300,23
Wyoming  Ward 2  Precinct 12,1280,508,39%,295,269,15
Wyoming  Ward 2  Precinct 13,1666,873,52%,518,470,20
Wyoming  Ward 2  Precinct 14,1166,666,57%,411,405,9
Wyoming  Ward 2  Precinct 15,968,530,54%,321,288,20
Wyoming  Ward 2  Precinct 16,1352,771,57%,424,435,12
Wyoming  Ward 2  Precinct 17,1923,793,41%,425,420,36
Wyoming  Ward 2  Precinct 18,1211,667,55%,357,393,18
Wyoming  Ward 2  Precinct 19,1853,1047,56%,580,581,38
Wyoming  Ward 2  Precinct 20,1939,1002,51%,554,588,34
Wyoming  Ward 3  Precinct 21,2306,1266,54%,731,673,44
Wyoming  Ward 3  Precinct 22,1327,781,58%,429,441,18
Wyoming  Ward 3  Precinct 23,2223,1060,47%,616,556,29
Wyoming  Ward 3  Precinct 24,2330,1202,51%,661,694,18
TOTALS: 30 of 30 Precincts ,RegisteredVoters,BallotsCast,Turnout,SamBolt,KentVanderwood,WriteIn
Wyoming  Ward 3  Precinct 25,1673,1175,70%,667,642,26
Wyoming  Ward 3  Precinct 26,1254,791,63%,461,462,10
Wyoming  Ward 3  Precinct 27,1233,767,62%,419,412,14
Wyoming  Ward 3  Precinct 28,1984,1344,67%,752,805,25
Wyoming  Ward 3  Precinct 29,1566,1104,70%,658,631,14
Wyoming  Ward 3  Precinct 30,1989,1405,70%,756,821,28
